selection_category,selection_reason,case_stratum,strategy_id,case_id,suite,task_id,init_state_id,rollout_seed,baseline_success,success,delta
non_surrogate_adaptive,win,known_boundary,requery_l1_h8,long_milk_task9_init0_surrogate_confirm,libero_10_with_milk,9,0,950679,False,True,1
non_surrogate_adaptive,loss,known_boundary,requery_l1_h8,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960388,True,False,-1
non_surrogate_adaptive,win,new_ood_holdout,requery_l1_h8,new_ood_spatial_swap_task8_init0_surrogate_confirm,libero_spatial_swap,8,0,990000,False,True,1
surrogate_adaptive,win,known_boundary,phase_surrogate_l1_r0.5_e0.0884176756291_h8,long_milk_task9_init0_surrogate_confirm,libero_10_with_milk,9,0,951164,False,True,1
surrogate_adaptive,loss,known_boundary,phase_surrogate_l1_r0.5_e0.0884176756291_h8,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960097,True,False,-1
surrogate_adaptive,win,new_ood_holdout,phase_surrogate_l1_r0.5_e0.0884176756291_h8,new_ood_spatial_swap_task8_init0_surrogate_confirm,libero_spatial_swap,8,0,990873,False,True,1
surrogate_adaptive,loss,new_ood_holdout,phase_surrogate_l1_r0.5_e0.0884176756291_h8,new_ood_spatial_swap_task8_init0_surrogate_confirm,libero_spatial_swap,8,0,990485,True,False,-1
