role,strategy_id,rollouts,successes,success_rate,mean_queries,query_count_ratio_vs_baseline
baseline,max_value,168,100,0.5952380952380952,13.648809523809524,1.0
selection_only,action_l1,168,90,0.5357142857142857,14.339285714285714,1.050588748364588
horizon_only,horizon_only_l1_h8,168,114,0.6785714285714286,16.196428571428573,1.1866550370693416
combined,requery_l1_h8,168,121,0.7202380952380952,15.791666666666666,1.1569995638901003
