case_id,suite,task_id,init_state_id,rollout_seed,success,final_t,num_queries,target_drop_candidate,failure_type,official_safety_violation,prediction_mode,num_open_loop_steps,query_idx,t,t_after,executed_steps,max_value_selected,video_path,prediction_error_horizon_aligned,sim_state_json,task_description,q0_action_pool_sha256,method,factor,source_trace,new_init_relative_to_development
tc2_object,libero_object_object,0,0,18000000,True,181,12,False,success,False,parallel,16,0,0,16,16,True,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_smoke/videos/trajectory_consensus_20260908_smoke__object_t0_first/trajectory_consensus_20260908_smoke__object_t0_first__libero_object_object__task0__init0__first__l0p0/libero_object_object__task0__init0__pair0__rollout0__seed18000000__successTrue__t181__frames181of181__pick_up_the_alphabet_soup_and_place_it_in_the_bask.mp4,True,"[0.5000000000000003, 1.4803126316303751e-12, -0.16103738899999961, 3.746434479764123e-12, -2.44459747, 1.8026570783457013e-12, 2.2267522, 0.7853981633977812, 0.03872920141715636, -0.0387291413149506, -0.11663234597830872, -0.2318128435195449, 0.057592880110357784, -0.00225500684147736, 0.002249629050859428, 0.7077052288515449, 0.7065006462625922, -0.010832286883304669, 0.2639104699195797, -0.0045823453265786615, 0.7071047512840226, -0.001694211824691015, 0.0016940206642976044, 0.7071047522480977, 0.050000706165972054, -0.0999912974419054, 0.07270544980088961, 0.5000063321970697, 0.4999936570577995, 0.5000059110974037, 0.49999409949764023, -0.15399885998731214, 0.06016700429477403, 0.008921477418607906, -1.7626879509867003e-34, 3.1502267063813523e-20, 1.9025409873422653e-17, 1.0, 0.09927166175333224, -0.2023967202226064, 0.0697354763840372, 0.49999991071248323, 0.5000000894751641, 0.4999999310315698, 0.5000000687807571, 0.15023904907137042, 0.030060797038751728, 0.038392596419837124, -0.002261849161282058, 0.0022622561508571135, 0.7076760641478538, 0.7065297972963938, -0.19865832975721737, -0.07790669041336595, 0.008695477418600533, 6.89977070500666e-34, 3.812703560532915e-18, 2.049106734129816e-17, 1.0, -1.1424127848003204e-13, -1.049761362631953e-16, -9.225110432121708e-14, -1.3402745284375925e-17, 3.8777183423960907e-13, 3.44376617122374e-17, 7.111789651714286e-13, 0.0031880897239172025, -0.00318808663543177, -2.9102363997254865e-11, -1.0271038192296501e-11, 9.559740022358372e-11, -1.788914508021741e-10, 2.8137746073970756e-13, -5.066399778399505e-10, 5.2099593175796064e-17, -1.0360054139219455e-14, 2.8413483823760027e-12, -1.1038884340668692e-14, 2.255045622060869e-12, -5.21189750554493e-17, -6.797990724048193e-11, 1.9030083653300166e-09, 2.605617049878262e-07, -9.451790697664243e-10, 6.553058812644562e-13, -2.646622244787797e-08, 1.387618470568568e-21, -5.318278069392507e-18, 1.4076271958270698e-14, -6.881389722555971e-16, -4.9550761881237126e-17, 4.383170882177315e-32, 1.2694777485598225e-12, -4.9860475777967485e-12, 6.132523968089066e-08, 1.8341307986009924e-11, -2.576061955846364e-16, 7.17565519438622e-11, -1.9757928966214833e-16, -2.4828803862681284e-15, 7.355815077976894e-15, -6.470718763468734e-14, 4.0891886205302614e-16, -5.2548405589116275e-15, -1.4010764474808574e-22, -1.5636901807729148e-18, 5.071391678251042e-13, -5.398927598271559e-16, -1.113350426314675e-16, -4.357291344523609e-32]",pick up the alphabet soup and place it in the basket,9fb710f9856a744923119d50026e6589f3dd9a377f7f4562b196e5b0729448ef,first,Object,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_smoke/runs/trajectory_consensus_20260908_smoke__object_t0_first__libero_object_object__task0__init0__first__l0p0__query_traces.parquet,False
tc2_object,libero_object_object,0,0,18000000,True,163,11,False,success,False,parallel,16,0,0,16,16,True,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_smoke/videos/trajectory_consensus_20260908_smoke__object_t0_max_value/trajectory_consensus_20260908_smoke__object_t0_max_value__libero_object_object__task0__init0__max_value__l0p0/libero_object_object__task0__init0__pair0__rollout0__seed18000000__successTrue__t163__frames163of163__pick_up_the_alphabet_soup_and_place_it_in_the_bask.mp4,True,"[0.5000000000000003, 1.4803126316303751e-12, -0.16103738899999961, 3.746434479764123e-12, -2.44459747, 1.8026570783457013e-12, 2.2267522, 0.7853981633977812, 0.03872920141715636, -0.0387291413149506, -0.11663234597830872, -0.2318128435195449, 0.057592880110357784, -0.00225500684147736, 0.002249629050859428, 0.7077052288515449, 0.7065006462625922, -0.010832286883304669, 0.2639104699195797, -0.0045823453265786615, 0.7071047512840226, -0.001694211824691015, 0.0016940206642976044, 0.7071047522480977, 0.050000706165972054, -0.0999912974419054, 0.07270544980088961, 0.5000063321970697, 0.4999936570577995, 0.5000059110974037, 0.49999409949764023, -0.15399885998731214, 0.06016700429477403, 0.008921477418607906, -1.7626879509867003e-34, 3.1502267063813523e-20, 1.9025409873422653e-17, 1.0, 0.09927166175333224, -0.2023967202226064, 0.0697354763840372, 0.49999991071248323, 0.5000000894751641, 0.4999999310315698, 0.5000000687807571, 0.15023904907137042, 0.030060797038751728, 0.038392596419837124, -0.002261849161282058, 0.0022622561508571135, 0.7076760641478538, 0.7065297972963938, -0.19865832975721737, -0.07790669041336595, 0.008695477418600533, 6.89977070500666e-34, 3.812703560532915e-18, 2.049106734129816e-17, 1.0, -1.1424127848003204e-13, -1.049761362631953e-16, -9.225110432121708e-14, -1.3402745284375925e-17, 3.8777183423960907e-13, 3.44376617122374e-17, 7.111789651714286e-13, 0.0031880897239172025, -0.00318808663543177, -2.9102363997254865e-11, -1.0271038192296501e-11, 9.559740022358372e-11, -1.788914508021741e-10, 2.8137746073970756e-13, -5.066399778399505e-10, 5.2099593175796064e-17, -1.0360054139219455e-14, 2.8413483823760027e-12, -1.1038884340668692e-14, 2.255045622060869e-12, -5.21189750554493e-17, -6.797990724048193e-11, 1.9030083653300166e-09, 2.605617049878262e-07, -9.451790697664243e-10, 6.553058812644562e-13, -2.646622244787797e-08, 1.387618470568568e-21, -5.318278069392507e-18, 1.4076271958270698e-14, -6.881389722555971e-16, -4.9550761881237126e-17, 4.383170882177315e-32, 1.2694777485598225e-12, -4.9860475777967485e-12, 6.132523968089066e-08, 1.8341307986009924e-11, -2.576061955846364e-16, 7.17565519438622e-11, -1.9757928966214833e-16, -2.4828803862681284e-15, 7.355815077976894e-15, -6.470718763468734e-14, 4.0891886205302614e-16, -5.2548405589116275e-15, -1.4010764474808574e-22, -1.5636901807729148e-18, 5.071391678251042e-13, -5.398927598271559e-16, -1.113350426314675e-16, -4.357291344523609e-32]",pick up the alphabet soup and place it in the basket,bcf5364a1c50e53faa9cf573f3927988458ed485c1ff5cebee68e42fe9a7398b,max_value,Object,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_smoke/runs/trajectory_consensus_20260908_smoke__object_t0_max_value__libero_object_object__task0__init0__max_value__l0p0__query_traces.parquet,False
tc2_object,libero_object_object,0,0,18000000,True,221,14,False,success,False,parallel,16,0,0,16,16,False,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_smoke/videos/trajectory_consensus_20260908_smoke__object_t0_old_guarded/trajectory_consensus_20260908_smoke__object_t0_old_guarded__libero_object_object__task0__init0__cosmos_consensus_guarded__l0p0/libero_object_object__task0__init0__pair0__rollout0__seed18000000__successTrue__t221__frames221of221__pick_up_the_alphabet_soup_and_place_it_in_the_bask.mp4,True,"[0.5000000000000003, 1.4803126316303751e-12, -0.16103738899999961, 3.746434479764123e-12, -2.44459747, 1.8026570783457013e-12, 2.2267522, 0.7853981633977812, 0.03872920141715636, -0.0387291413149506, -0.11663234597830872, -0.2318128435195449, 0.057592880110357784, -0.00225500684147736, 0.002249629050859428, 0.7077052288515449, 0.7065006462625922, -0.010832286883304669, 0.2639104699195797, -0.0045823453265786615, 0.7071047512840226, -0.001694211824691015, 0.0016940206642976044, 0.7071047522480977, 0.050000706165972054, -0.0999912974419054, 0.07270544980088961, 0.5000063321970697, 0.4999936570577995, 0.5000059110974037, 0.49999409949764023, -0.15399885998731214, 0.06016700429477403, 0.008921477418607906, -1.7626879509867003e-34, 3.1502267063813523e-20, 1.9025409873422653e-17, 1.0, 0.09927166175333224, -0.2023967202226064, 0.0697354763840372, 0.49999991071248323, 0.5000000894751641, 0.4999999310315698, 0.5000000687807571, 0.15023904907137042, 0.030060797038751728, 0.038392596419837124, -0.002261849161282058, 0.0022622561508571135, 0.7076760641478538, 0.7065297972963938, -0.19865832975721737, -0.07790669041336595, 0.008695477418600533, 6.89977070500666e-34, 3.812703560532915e-18, 2.049106734129816e-17, 1.0, -1.1424127848003204e-13, -1.049761362631953e-16, -9.225110432121708e-14, -1.3402745284375925e-17, 3.8777183423960907e-13, 3.44376617122374e-17, 7.111789651714286e-13, 0.0031880897239172025, -0.00318808663543177, -2.9102363997254865e-11, -1.0271038192296501e-11, 9.559740022358372e-11, -1.788914508021741e-10, 2.8137746073970756e-13, -5.066399778399505e-10, 5.2099593175796064e-17, -1.0360054139219455e-14, 2.8413483823760027e-12, -1.1038884340668692e-14, 2.255045622060869e-12, -5.21189750554493e-17, -6.797990724048193e-11, 1.9030083653300166e-09, 2.605617049878262e-07, -9.451790697664243e-10, 6.553058812644562e-13, -2.646622244787797e-08, 1.387618470568568e-21, -5.318278069392507e-18, 1.4076271958270698e-14, -6.881389722555971e-16, -4.9550761881237126e-17, 4.383170882177315e-32, 1.2694777485598225e-12, -4.9860475777967485e-12, 6.132523968089066e-08, 1.8341307986009924e-11, -2.576061955846364e-16, 7.17565519438622e-11, -1.9757928966214833e-16, -2.4828803862681284e-15, 7.355815077976894e-15, -6.470718763468734e-14, 4.0891886205302614e-16, -5.2548405589116275e-15, -1.4010764474808574e-22, -1.5636901807729148e-18, 5.071391678251042e-13, -5.398927598271559e-16, -1.113350426314675e-16, -4.357291344523609e-32]",pick up the alphabet soup and place it in the basket,bcf5364a1c50e53faa9cf573f3927988458ed485c1ff5cebee68e42fe9a7398b,old_guarded,Object,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_smoke/runs/trajectory_consensus_20260908_smoke__object_t0_old_guarded__libero_object_object__task0__init0__cosmos_consensus_guarded__l0p0__query_traces.parquet,False
tc2_object,libero_object_object,0,0,18000000,False,280,18,True,target_drop_candidate,False,parallel,16,0,0,16,16,False,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_smoke/videos/trajectory_consensus_20260908_smoke__object_t0_physical_medoid/trajectory_consensus_20260908_smoke__object_t0_physical_medoid__libero_object_object__task0__init0__trajectory_medoid__l1p0/libero_object_object__task0__init0__pair0__rollout0__seed18000000__successFalse__t280__frames280of280__pick_up_the_alphabet_soup_and_place_it_in_the_bask.mp4,True,"[0.5000000000000003, 1.4803126316303751e-12, -0.16103738899999961, 3.746434479764123e-12, -2.44459747, 1.8026570783457013e-12, 2.2267522, 0.7853981633977812, 0.03872920141715636, -0.0387291413149506, -0.11663234597830872, -0.2318128435195449, 0.057592880110357784, -0.00225500684147736, 0.002249629050859428, 0.7077052288515449, 0.7065006462625922, -0.010832286883304669, 0.2639104699195797, -0.0045823453265786615, 0.7071047512840226, -0.001694211824691015, 0.0016940206642976044, 0.7071047522480977, 0.050000706165972054, -0.0999912974419054, 0.07270544980088961, 0.5000063321970697, 0.4999936570577995, 0.5000059110974037, 0.49999409949764023, -0.15399885998731214, 0.06016700429477403, 0.008921477418607906, -1.7626879509867003e-34, 3.1502267063813523e-20, 1.9025409873422653e-17, 1.0, 0.09927166175333224, -0.2023967202226064, 0.0697354763840372, 0.49999991071248323, 0.5000000894751641, 0.4999999310315698, 0.5000000687807571, 0.15023904907137042, 0.030060797038751728, 0.038392596419837124, -0.002261849161282058, 0.0022622561508571135, 0.7076760641478538, 0.7065297972963938, -0.19865832975721737, -0.07790669041336595, 0.008695477418600533, 6.89977070500666e-34, 3.812703560532915e-18, 2.049106734129816e-17, 1.0, -1.1424127848003204e-13, -1.049761362631953e-16, -9.225110432121708e-14, -1.3402745284375925e-17, 3.8777183423960907e-13, 3.44376617122374e-17, 7.111789651714286e-13, 0.0031880897239172025, -0.00318808663543177, -2.9102363997254865e-11, -1.0271038192296501e-11, 9.559740022358372e-11, -1.788914508021741e-10, 2.8137746073970756e-13, -5.066399778399505e-10, 5.2099593175796064e-17, -1.0360054139219455e-14, 2.8413483823760027e-12, -1.1038884340668692e-14, 2.255045622060869e-12, -5.21189750554493e-17, -6.797990724048193e-11, 1.9030083653300166e-09, 2.605617049878262e-07, -9.451790697664243e-10, 6.553058812644562e-13, -2.646622244787797e-08, 1.387618470568568e-21, -5.318278069392507e-18, 1.4076271958270698e-14, -6.881389722555971e-16, -4.9550761881237126e-17, 4.383170882177315e-32, 1.2694777485598225e-12, -4.9860475777967485e-12, 6.132523968089066e-08, 1.8341307986009924e-11, -2.576061955846364e-16, 7.17565519438622e-11, -1.9757928966214833e-16, -2.4828803862681284e-15, 7.355815077976894e-15, -6.470718763468734e-14, 4.0891886205302614e-16, -5.2548405589116275e-15, -1.4010764474808574e-22, -1.5636901807729148e-18, 5.071391678251042e-13, -5.398927598271559e-16, -1.113350426314675e-16, -4.357291344523609e-32]",pick up the alphabet soup and place it in the basket,93769f4d6d8bdd886634ccb6ccf92a05c8554f0b2869084134d05b68495c762e,physical_medoid,Object,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_smoke/runs/trajectory_consensus_20260908_smoke__object_t0_physical_medoid__libero_object_object__task0__init0__trajectory_medoid__l1p0__query_traces.parquet,False
tc2_object,libero_object_object,0,0,18000000,False,280,18,False,timeout_no_goal,False,parallel,16,0,0,16,16,False,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_smoke/videos/trajectory_consensus_20260908_smoke__object_t0_physical_density/trajectory_consensus_20260908_smoke__object_t0_physical_density__libero_object_object__task0__init0__trajectory_density__l1p0/libero_object_object__task0__init0__pair0__rollout0__seed18000000__successFalse__t280__frames280of280__pick_up_the_alphabet_soup_and_place_it_in_the_bask.mp4,True,"[0.5000000000000003, 1.4803126316303751e-12, -0.16103738899999961, 3.746434479764123e-12, -2.44459747, 1.8026570783457013e-12, 2.2267522, 0.7853981633977812, 0.03872920141715636, -0.0387291413149506, -0.11663234597830872, -0.2318128435195449, 0.057592880110357784, -0.00225500684147736, 0.002249629050859428, 0.7077052288515449, 0.7065006462625922, -0.010832286883304669, 0.2639104699195797, -0.0045823453265786615, 0.7071047512840226, -0.001694211824691015, 0.0016940206642976044, 0.7071047522480977, 0.050000706165972054, -0.0999912974419054, 0.07270544980088961, 0.5000063321970697, 0.4999936570577995, 0.5000059110974037, 0.49999409949764023, -0.15399885998731214, 0.06016700429477403, 0.008921477418607906, -1.7626879509867003e-34, 3.1502267063813523e-20, 1.9025409873422653e-17, 1.0, 0.09927166175333224, -0.2023967202226064, 0.0697354763840372, 0.49999991071248323, 0.5000000894751641, 0.4999999310315698, 0.5000000687807571, 0.15023904907137042, 0.030060797038751728, 0.038392596419837124, -0.002261849161282058, 0.0022622561508571135, 0.7076760641478538, 0.7065297972963938, -0.19865832975721737, -0.07790669041336595, 0.008695477418600533, 6.89977070500666e-34, 3.812703560532915e-18, 2.049106734129816e-17, 1.0, -1.1424127848003204e-13, -1.049761362631953e-16, -9.225110432121708e-14, -1.3402745284375925e-17, 3.8777183423960907e-13, 3.44376617122374e-17, 7.111789651714286e-13, 0.0031880897239172025, -0.00318808663543177, -2.9102363997254865e-11, -1.0271038192296501e-11, 9.559740022358372e-11, -1.788914508021741e-10, 2.8137746073970756e-13, -5.066399778399505e-10, 5.2099593175796064e-17, -1.0360054139219455e-14, 2.8413483823760027e-12, -1.1038884340668692e-14, 2.255045622060869e-12, -5.21189750554493e-17, -6.797990724048193e-11, 1.9030083653300166e-09, 2.605617049878262e-07, -9.451790697664243e-10, 6.553058812644562e-13, -2.646622244787797e-08, 1.387618470568568e-21, -5.318278069392507e-18, 1.4076271958270698e-14, -6.881389722555971e-16, -4.9550761881237126e-17, 4.383170882177315e-32, 1.2694777485598225e-12, -4.9860475777967485e-12, 6.132523968089066e-08, 1.8341307986009924e-11, -2.576061955846364e-16, 7.17565519438622e-11, -1.9757928966214833e-16, -2.4828803862681284e-15, 7.355815077976894e-15, -6.470718763468734e-14, 4.0891886205302614e-16, -5.2548405589116275e-15, -1.4010764474808574e-22, -1.5636901807729148e-18, 5.071391678251042e-13, -5.398927598271559e-16, -1.113350426314675e-16, -4.357291344523609e-32]",pick up the alphabet soup and place it in the basket,bcf5364a1c50e53faa9cf573f3927988458ed485c1ff5cebee68e42fe9a7398b,physical_density,Object,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_smoke/runs/trajectory_consensus_20260908_smoke__object_t0_physical_density__libero_object_object__task0__init0__trajectory_density__l1p0__query_traces.parquet,False
tc2_object,libero_object_object,0,0,18000000,True,129,9,False,success,False,parallel,16,0,0,16,16,True,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_smoke/videos/trajectory_consensus_20260908_smoke__object_t0_v2_0/trajectory_consensus_20260908_smoke__object_t0_v2_0__libero_object_object__task0__init0__trajectory_value_density__l0p25/libero_object_object__task0__init0__pair0__rollout0__seed18000000__successTrue__t129__frames129of129__pick_up_the_alphabet_soup_and_place_it_in_the_bask.mp4,True,"[0.5000000000000003, 1.4803126316303751e-12, -0.16103738899999961, 3.746434479764123e-12, -2.44459747, 1.8026570783457013e-12, 2.2267522, 0.7853981633977812, 0.03872920141715636, -0.0387291413149506, -0.11663234597830872, -0.2318128435195449, 0.057592880110357784, -0.00225500684147736, 0.002249629050859428, 0.7077052288515449, 0.7065006462625922, -0.010832286883304669, 0.2639104699195797, -0.0045823453265786615, 0.7071047512840226, -0.001694211824691015, 0.0016940206642976044, 0.7071047522480977, 0.050000706165972054, -0.0999912974419054, 0.07270544980088961, 0.5000063321970697, 0.4999936570577995, 0.5000059110974037, 0.49999409949764023, -0.15399885998731214, 0.06016700429477403, 0.008921477418607906, -1.7626879509867003e-34, 3.1502267063813523e-20, 1.9025409873422653e-17, 1.0, 0.09927166175333224, -0.2023967202226064, 0.0697354763840372, 0.49999991071248323, 0.5000000894751641, 0.4999999310315698, 0.5000000687807571, 0.15023904907137042, 0.030060797038751728, 0.038392596419837124, -0.002261849161282058, 0.0022622561508571135, 0.7076760641478538, 0.7065297972963938, -0.19865832975721737, -0.07790669041336595, 0.008695477418600533, 6.89977070500666e-34, 3.812703560532915e-18, 2.049106734129816e-17, 1.0, -1.1424127848003204e-13, -1.049761362631953e-16, -9.225110432121708e-14, -1.3402745284375925e-17, 3.8777183423960907e-13, 3.44376617122374e-17, 7.111789651714286e-13, 0.0031880897239172025, -0.00318808663543177, -2.9102363997254865e-11, -1.0271038192296501e-11, 9.559740022358372e-11, -1.788914508021741e-10, 2.8137746073970756e-13, -5.066399778399505e-10, 5.2099593175796064e-17, -1.0360054139219455e-14, 2.8413483823760027e-12, -1.1038884340668692e-14, 2.255045622060869e-12, -5.21189750554493e-17, -6.797990724048193e-11, 1.9030083653300166e-09, 2.605617049878262e-07, -9.451790697664243e-10, 6.553058812644562e-13, -2.646622244787797e-08, 1.387618470568568e-21, -5.318278069392507e-18, 1.4076271958270698e-14, -6.881389722555971e-16, -4.9550761881237126e-17, 4.383170882177315e-32, 1.2694777485598225e-12, -4.9860475777967485e-12, 6.132523968089066e-08, 1.8341307986009924e-11, -2.576061955846364e-16, 7.17565519438622e-11, -1.9757928966214833e-16, -2.4828803862681284e-15, 7.355815077976894e-15, -6.470718763468734e-14, 4.0891886205302614e-16, -5.2548405589116275e-15, -1.4010764474808574e-22, -1.5636901807729148e-18, 5.071391678251042e-13, -5.398927598271559e-16, -1.113350426314675e-16, -4.357291344523609e-32]",pick up the alphabet soup and place it in the basket,93769f4d6d8bdd886634ccb6ccf92a05c8554f0b2869084134d05b68495c762e,v2_0,Object,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_smoke/runs/trajectory_consensus_20260908_smoke__object_t0_v2_0__libero_object_object__task0__init0__trajectory_value_density__l0p25__query_traces.parquet,False
tc2_object,libero_object_object,0,0,18000000,True,163,11,False,success,False,parallel,16,0,0,16,16,True,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_smoke/videos/trajectory_consensus_20260908_smoke__object_t0_v2_1/trajectory_consensus_20260908_smoke__object_t0_v2_1__libero_object_object__task0__init0__trajectory_value_density_aligned__l0p25/libero_object_object__task0__init0__pair0__rollout0__seed18000000__successTrue__t163__frames163of163__pick_up_the_alphabet_soup_and_place_it_in_the_bask.mp4,True,"[0.5000000000000003, 1.4803126316303751e-12, -0.16103738899999961, 3.746434479764123e-12, -2.44459747, 1.8026570783457013e-12, 2.2267522, 0.7853981633977812, 0.03872920141715636, -0.0387291413149506, -0.11663234597830872, -0.2318128435195449, 0.057592880110357784, -0.00225500684147736, 0.002249629050859428, 0.7077052288515449, 0.7065006462625922, -0.010832286883304669, 0.2639104699195797, -0.0045823453265786615, 0.7071047512840226, -0.001694211824691015, 0.0016940206642976044, 0.7071047522480977, 0.050000706165972054, -0.0999912974419054, 0.07270544980088961, 0.5000063321970697, 0.4999936570577995, 0.5000059110974037, 0.49999409949764023, -0.15399885998731214, 0.06016700429477403, 0.008921477418607906, -1.7626879509867003e-34, 3.1502267063813523e-20, 1.9025409873422653e-17, 1.0, 0.09927166175333224, -0.2023967202226064, 0.0697354763840372, 0.49999991071248323, 0.5000000894751641, 0.4999999310315698, 0.5000000687807571, 0.15023904907137042, 0.030060797038751728, 0.038392596419837124, -0.002261849161282058, 0.0022622561508571135, 0.7076760641478538, 0.7065297972963938, -0.19865832975721737, -0.07790669041336595, 0.008695477418600533, 6.89977070500666e-34, 3.812703560532915e-18, 2.049106734129816e-17, 1.0, -1.1424127848003204e-13, -1.049761362631953e-16, -9.225110432121708e-14, -1.3402745284375925e-17, 3.8777183423960907e-13, 3.44376617122374e-17, 7.111789651714286e-13, 0.0031880897239172025, -0.00318808663543177, -2.9102363997254865e-11, -1.0271038192296501e-11, 9.559740022358372e-11, -1.788914508021741e-10, 2.8137746073970756e-13, -5.066399778399505e-10, 5.2099593175796064e-17, -1.0360054139219455e-14, 2.8413483823760027e-12, -1.1038884340668692e-14, 2.255045622060869e-12, -5.21189750554493e-17, -6.797990724048193e-11, 1.9030083653300166e-09, 2.605617049878262e-07, -9.451790697664243e-10, 6.553058812644562e-13, -2.646622244787797e-08, 1.387618470568568e-21, -5.318278069392507e-18, 1.4076271958270698e-14, -6.881389722555971e-16, -4.9550761881237126e-17, 4.383170882177315e-32, 1.2694777485598225e-12, -4.9860475777967485e-12, 6.132523968089066e-08, 1.8341307986009924e-11, -2.576061955846364e-16, 7.17565519438622e-11, -1.9757928966214833e-16, -2.4828803862681284e-15, 7.355815077976894e-15, -6.470718763468734e-14, 4.0891886205302614e-16, -5.2548405589116275e-15, -1.4010764474808574e-22, -1.5636901807729148e-18, 5.071391678251042e-13, -5.398927598271559e-16, -1.113350426314675e-16, -4.357291344523609e-32]",pick up the alphabet soup and place it in the basket,bcf5364a1c50e53faa9cf573f3927988458ed485c1ff5cebee68e42fe9a7398b,v2_1,Object,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_smoke/runs/trajectory_consensus_20260908_smoke__object_t0_v2_1__libero_object_object__task0__init0__trajectory_value_density_aligned__l0p25__query_traces.parquet,False
