method,job_seconds,queries,episodes,switched,switch_rate,job_seconds_per_episode,job_seconds_per_query
first,235.0,12,1,0,0.0,235.0,19.583333333333332
max_value,291.0,11,1,0,0.0,291.0,26.454545454545453
old_guarded,317.0,14,1,7,0.5,317.0,22.642857142857142
physical_density,273.0,18,1,17,0.9444444444444444,273.0,15.166666666666666
physical_medoid,341.0,18,1,13,0.7222222222222222,341.0,18.944444444444443
v2_0,186.0,9,1,0,0.0,186.0,20.666666666666668
v2_1,131.0,11,1,0,0.0,131.0,11.909090909090908
