planning_strategy,planning_risk_lambda,episodes,successes,success_rate,mean_final_t,mean_queries,selected_not_max_value_rate,selected_value_mean,max_value_mean,selected_risk_mean
frozen_factor_ridge,0.0,1,1,1.0,219.0,14.0,0.9285714285714286,0.45374285323279245,0.4560681517635073,-0.004412523791268938
max_value,0.0,1,0,0.0,280.0,18.0,0.0,0.3624374700917138,0.3624374700917138,0.0
