proposal,deployable,n_states,n_groups,strict_replay_rate,successes,success_rate,success_ci_low,success_ci_high,rescued_cells,rescued_tasks,drop_rate,baseline_drop_rate,wrong_rate,baseline_wrong_rate,safety_rate,baseline_safety_rate,mean_final_t,mean_queries,mean_executed_steps,drop_rate_delta,wrong_rate_delta,safety_rate_delta,gate_passed,failed_gate_checks
lift_hold_h8,True,80,79,1.0,8,0.1,0.0375,0.16455696202531644,5,4,0.1375,0.05,0.1375,0.2375,0.0,0.0,275.9625,25.5,211.9625,0.08750000000000001,-0.09999999999999998,0.0,False,drop_delta_at_most_5pp
frequent_requery_h4,True,80,79,1.0,7,0.0875,0.036585365853658534,0.1518987341772152,2,2,0.0625,0.05,0.05,0.2375,0.0,0.0,276.1625,51.0875,212.1625,0.012499999999999997,-0.1875,0.0,False,sr_at_least_10pct;rescues_in_at_least_4_cells;rescues_in_at_least_3_tasks
privileged_regrasp_h8,False,80,79,1.0,62,0.775,0.6835443037974683,0.8641975308641975,8,5,0.0625,0.05,0.075,0.2375,0.0,0.0,218.375,15.5,154.375,0.012499999999999997,-0.16249999999999998,0.0,False,diagnostic_privileged_proposal
