metric,aggregation,n,success_mean,fail_mean,failure_auc,failure_auc_strength
candidate_value_internal_consistency_mean,max,240,0.008379348336005366,0.01680987116600747,0.9193689745836985,0.4193689745836985
candidate_value_internal_consistency_mean,mean,240,0.0073450026366533245,0.009186365986499622,0.91379172974265,0.41379172974265
candidate_action_chunk_consistency_mean,max,240,0.009140704431897633,0.011181873475070015,0.8812843598119672,0.3812843598119672
candidate_future_proprio_internal_consistency_mean,mean,240,0.007945259783810096,0.008408916741135189,0.8452712931240539,0.3452712931240539
candidate_value_range,max,240,0.015527877714726832,0.05226500158660982,0.8424826707035296,0.34248267070352956
candidate_value_std,max,240,0.006126726499014812,0.02012233864701713,0.8392159987252011,0.33921599872520114
candidate_value_range,mean,240,0.003129632753200725,0.007055261654344277,0.8188192175922238,0.31881921759222376
candidate_value_std,mean,240,0.0012293515676557712,0.002745863940716348,0.8181818181818182,0.31818181818181823
candidate_future_proprio_internal_consistency_mean,max,240,0.009495861646900703,0.011245735492443015,0.7979443869014421,0.2979443869014421
candidate_future_proprio_across_sample_std_mean,max,240,0.009947321743571333,0.025148150506800762,0.7909329933869811,0.2909329933869811
planning_predicted_proprio_error,max,240,0.15241001878748683,0.22759702849767036,0.7902955939765756,0.29029559397657556
planning_predicted_proprio_error,mean,240,0.0669537539744084,0.07878003652830667,0.7819297267150028,0.2819297267150028
candidate_action_internal_consistency_mean,mean,240,0.022499347048929086,0.02369277220795935,0.7692614134331925,0.26926141343319254
candidate_action_internal_consistency_mean,max,240,0.031592729489331124,0.040270276721909734,0.766552465938969,0.266552465938969
candidate_value_internal_consistency_mean,first,240,0.007053284083384198,0.007652569962151212,0.743446737311768,0.24344673731176802
candidate_action_consensus_chunk_mean,max,240,1.4219690017498934,2.065176229306891,0.7288662257987412,0.22886622579874116
candidate_action_chunk_consistency_mean,mean,240,0.008083223367099464,0.008341637574723806,0.7249621544100072,0.22496215441000722
candidate_future_proprio_across_sample_std_mean,mean,240,0.0020493234726018,0.0034538788981740027,0.7049637479085332,0.20496374790853322
candidate_action_chunk_consistency_mean,first,240,0.008438101721709812,0.008898165411218727,0.6886303880168911,0.18863038801689114
candidate_value_mean,max,240,0.9920824077222254,0.8483630623554159,0.3465062544817146,0.15349374551828537
candidate_future_proprio_across_sample_std_mean,first,240,0.0022088711530986157,0.005288273633344876,0.6465620269301251,0.1465620269301251
planning_predicted_proprio_error,first,240,0.05733179650266896,0.07440888809095433,0.640347382678671,0.14034738267867097
candidate_value_std,first,240,0.0009714976243573459,0.0019077272676541206,0.60345789180145,0.10345789180145004
candidate_value_range,first,240,0.002506683399150898,0.0049158129955361955,0.6025416301489921,0.10254163014899209
candidate_action_consensus_first_mean,max,240,0.5964583556663681,0.7213359173912943,0.588957055214724,0.08895705521472397
candidate_value_mean,first,240,0.44172818165320854,0.4419927485515735,0.4268185801928133,0.07318141980718668
candidate_action_consensus_chunk_mean,mean,240,0.3199230578053974,0.3727614575562682,0.5542984622739224,0.05429846227392243
candidate_future_proprio_internal_consistency_mean,first,240,0.00839716178522288,0.00843246453698793,0.4537487052824476,0.046251294717552405
candidate_action_internal_consistency_mean,first,240,0.025418269121414656,0.025325092835568944,0.5348577802565533,0.034857780256553283
candidate_action_consensus_chunk_mean,first,240,0.554895515275466,0.5885425840441617,0.5205162935224285,0.020516293522428453
candidate_action_consensus_first_mean,first,240,0.1370584795662722,0.12236954521479233,0.4890446976336547,0.010955302366345288
candidate_action_consensus_first_mean,mean,240,0.06507333969154945,0.05562494382409384,0.502987809736276,0.0029878097362759926
candidate_value_mean,mean,240,0.6788428848208993,0.6605538828904782,0.49956178790534617,0.0004382120946538337
