family,scheme,target,kind,positives,negatives,spearman,auc,rmse
relative_object_global,leave_one_task,feedback_drop,binary,16.0,624.0,,0.4090544871794871,0.1602412448390274
relative_object_global,leave_one_task,commit_wrong,binary,21.0,619.0,,0.5400415416570505,0.1842236506045784
relative_object_global,leave_one_task,feedback_wrong,binary,39.0,601.0,,0.5355603908016554,0.257795247094373
relative_object_global,leave_one_task,commit_deadlock,binary,35.0,605.0,,0.5839905548996458,0.2281613786952337
relative_object_global,leave_one_task,feedback_deadlock,binary,83.0,557.0,,0.3043412428889706,0.3654670809760906
relative_object_global,leave_one_level,commit_target_lift,continuous,,,0.3869952799423061,,0.0354340517063315
relative_object_global,leave_one_level,feedback_target_lift,continuous,,,0.3005669880593145,,0.038746888224726
relative_object_global,leave_one_level,lift_advantage,continuous,,,-0.0868983917613991,,0.0071921484585576
relative_object_global,leave_one_level,commit_target_eef_distance,continuous,,,0.1414146213735873,,0.0737484583218629
relative_object_global,leave_one_level,feedback_target_eef_distance,continuous,,,0.1368762954743542,,0.0746387426742362
relative_object_global,leave_one_level,distance_advantage,continuous,,,0.4041176604665374,,0.0042146707089937
relative_object_global,leave_one_level,commit_target_contact_count,continuous,,,0.3736336313708387,,31.956275922582524
relative_object_global,leave_one_level,feedback_target_contact_count,continuous,,,0.3594403883244115,,36.903721912348615
relative_object_global,leave_one_level,commit_target_contact,binary,141.0,499.0,,0.6562486675478617,0.351724620388057
relative_object_global,leave_one_level,feedback_target_contact,binary,126.0,514.0,,0.7283676116360941,0.3101855288530007
relative_object_global,leave_one_level,commit_drop,binary,29.0,611.0,,0.5013826965404368,0.2202215677542776
relative_object_global,leave_one_level,feedback_drop,binary,16.0,624.0,,0.3183092948717949,0.1689941795410128
relative_object_global,leave_one_level,commit_wrong,binary,21.0,619.0,,0.2904838833756443,0.1892430079783997
relative_object_global,leave_one_level,feedback_wrong,binary,39.0,601.0,,0.3536840308886897,0.2749149955960123
relative_object_global,leave_one_level,commit_deadlock,binary,35.0,605.0,,0.58913813459268,0.2332929910474671
relative_object_global,leave_one_level,feedback_deadlock,binary,83.0,557.0,,0.371417447167485,0.357575069625698
relative_object_global,leave_one_cell,commit_target_lift,continuous,,,0.3258482058595806,,0.0398619227897751
relative_object_global,leave_one_cell,feedback_target_lift,continuous,,,0.2865465872279928,,0.0422241446580323
relative_object_global,leave_one_cell,lift_advantage,continuous,,,-0.208405865832331,,0.0062813554638072
relative_object_global,leave_one_cell,commit_target_eef_distance,continuous,,,0.230662413116243,,0.0667740244385813
relative_object_global,leave_one_cell,feedback_target_eef_distance,continuous,,,0.2189686742399273,,0.0673237605590513
relative_object_global,leave_one_cell,distance_advantage,continuous,,,0.5058588456894864,,0.0038609582788907
relative_object_global,leave_one_cell,commit_target_contact_count,continuous,,,0.3790621397025251,,33.26689621825239
relative_object_global,leave_one_cell,feedback_target_contact_count,continuous,,,0.3880706377116902,,38.10492066229984
relative_object_global,leave_one_cell,commit_target_contact,binary,141.0,499.0,,0.6571298625620035,0.365476241656752
