family,deployable,feature_count,target_variant,alpha,scheme,query_rate,raw_gain,adjusted_gain,rescues,harms,rescue_vs_harm_auc,effect_spearman,worst_cell_adjusted_gain,quintile_monotonic_rho,quintile_top_minus_bottom
relative,True,80,direct_terminal_utility,1.0,leave_one_level,0.2,-0.0234375,-0.0284374999999999,10,25,0.3656914893617021,-0.1182861933260604,-0.2093749999999999,-0.8999999999999998,-0.21875
relative,True,80,direct_grounded,1.0,leave_one_level,0.2,-0.0234375,-0.0284374999999999,11,26,0.3676861702127659,-0.1159055870771934,-0.2087499999999999,-0.8999999999999998,-0.1875
relative,True,80,potential_success,1.0,leave_one_level,0.2,-0.003125,-0.0081249999999999,15,17,0.3632978723404255,-0.1319353583930942,-0.1406249999999999,-0.3,-0.15625
relative,True,80,direct_success,1.0,leave_one_cell,0.2,0.003125,-0.0018749999999999,14,12,0.4613031914893617,-0.0230434635919747,-0.1049999999999999,-0.3,-0.015625
relative,True,80,direct_terminal_utility,1.0,leave_one_cell,0.2,-0.0046875,-0.0096874999999999,14,17,0.4347074468085106,-0.0497586540204374,-0.1049999999999999,-0.4999999999999999,-0.0703125
relative,True,80,direct_grounded,1.0,leave_one_cell,0.2,-0.003125,-0.0081249999999999,14,16,0.4392287234042553,-0.0476186955655735,-0.1124999999999999,-0.4999999999999999,-0.046875
relative,True,80,potential_success,1.0,leave_one_cell,0.2,-0.0046875,-0.0096874999999999,17,20,0.4496010638297872,-0.0484819065945745,-0.1868749999999999,-0.2051956704170308,-0.1015625
relative,True,80,direct_success,10.0,leave_one_task,0.2,0.00625,0.00125,17,13,0.5852393617021276,0.0858886760620667,-0.0399999999999999,0.8720815992723809,0.1015625
relative,True,80,direct_terminal_utility,10.0,leave_one_task,0.2,0.0046875,-0.0003124999999999,15,12,0.5602393617021276,0.0618920665146631,-0.0343749999999999,0.8999999999999998,0.0625
relative,True,80,direct_grounded,10.0,leave_one_task,0.2,0.003125,-0.0018749999999999,15,13,0.5638297872340425,0.0659190157774526,-0.0606249999999999,0.7999999999999999,0.0703125
relative,True,80,potential_success,10.0,leave_one_task,0.2,-0.0140625,-0.0190625,17,26,0.451063829787234,-0.0563284209290756,-0.32375,-0.5642880936468347,-0.015625
relative,True,80,direct_success,10.0,leave_one_level,0.2,-0.01875,-0.02375,9,21,0.3964095744680851,-0.0908268837803048,-0.1849999999999999,-0.6,-0.1875
