role,scheme,adjusted_gain,ci_low,ci_high,gain_vs_relative,gain_vs_relative_ci_low,gain_vs_relative_ci_high
relative_control,leave_one_task,0.0028125,-0.0169941406249999,0.0226591796874999,0.0,0.0,0.0
best_object_candidate,leave_one_task,-0.0034374999999999,-0.0221484374999999,0.0152353515624999,-0.00625,-0.020390625,0.0078515625
relative_control,leave_one_level,-0.0049999999999999,-0.0240234374999999,0.01375,0.0,0.0,0.0
best_object_candidate,leave_one_level,-0.0096874999999999,-0.0288671874999999,0.00921875,-0.0046874999999999,-0.0251953124999999,0.0160937499999999
relative_control,leave_one_cell,-0.0003124999999999,-0.0180078124999999,0.017265625,0.0,0.0,0.0
best_object_candidate,leave_one_cell,-0.0128124999999999,-0.0312890625,0.005078125,-0.0125,-0.0286328125,0.0026181640624999
