quintile,states,mean_effect,mean_score,family,target_variant,alpha,scheme
3,128,0.015625,0.0512460343841895,relative,potential_success,0.1,leave_one_task
4,128,0.0390625,0.262083878486709,relative,potential_success,0.1,leave_one_task
0,128,0.046875,-0.5971064291172579,relative,direct_success,0.1,leave_one_level
1,128,0.0078125,-0.1958960052880702,relative,direct_success,0.1,leave_one_level
2,128,0.0,0.0168130724416212,relative,direct_success,0.1,leave_one_level
3,128,-0.078125,0.2062706044688614,relative,direct_success,0.1,leave_one_level
4,128,-0.0859375,0.5310875033922282,relative,direct_success,0.1,leave_one_level
0,128,0.0546875,-0.5414634525845621,relative,direct_terminal_utility,0.1,leave_one_level
1,128,0.0,-0.1560611815182004,relative,direct_terminal_utility,0.1,leave_one_level
2,128,0.0390625,0.0338227670248019,relative,direct_terminal_utility,0.1,leave_one_level
3,128,-0.1015625,0.1902825973811561,relative,direct_terminal_utility,0.1,leave_one_level
4,128,-0.1015625,0.4779466983950783,relative,direct_terminal_utility,0.1,leave_one_level
0,128,0.0625,-0.6578116670802711,relative,direct_grounded,0.1,leave_one_level
1,128,-0.0234375,-0.1972243602988865,relative,direct_grounded,0.1,leave_one_level
2,128,0.0234375,0.0418201258495265,relative,direct_grounded,0.1,leave_one_level
3,128,-0.0703125,0.2409767894369963,relative,direct_grounded,0.1,leave_one_level
4,128,-0.1015625,0.5712565391210949,relative,direct_grounded,0.1,leave_one_level
0,128,0.1328125,-0.3108222148640529,relative,potential_success,0.1,leave_one_level
1,128,-0.1015625,-0.0856286253472437,relative,potential_success,0.1,leave_one_level
2,128,-0.0625,-0.0019210685156362,relative,potential_success,0.1,leave_one_level
3,128,-0.078125,0.0915373993804947,relative,potential_success,0.1,leave_one_level
4,128,0.0,0.3039013287495014,relative,potential_success,0.1,leave_one_level
0,128,0.0546875,-0.5184981119427869,relative,direct_success,0.1,leave_one_cell
1,128,-0.0859375,-0.2089471045990965,relative,direct_success,0.1,leave_one_cell
2,128,0.0234375,-0.0189588240605793,relative,direct_success,0.1,leave_one_cell
3,128,-0.109375,0.1588328211243186,relative,direct_success,0.1,leave_one_cell
4,128,0.0078125,0.4381572263168806,relative,direct_success,0.1,leave_one_cell
0,128,0.078125,-0.4726734385719925,relative,direct_terminal_utility,0.1,leave_one_cell
1,128,-0.0625,-0.1850749624352109,relative,direct_terminal_utility,0.1,leave_one_cell
