factor,level,task_id,arm,count,sum,mean
Position,y0.2,2,decoder_medoid,3,0,0.0
Position,y0.2,2,first,3,0,0.0
Position,y0.2,2,max_value,3,0,0.0
Position,y0.2,3,action_medoid,3,0,0.0
Position,y0.2,3,decoder_medoid,3,0,0.0
Position,y0.2,3,first,3,0,0.0
Position,y0.2,3,max_value,3,0,0.0
Position,y0.2,4,action_medoid,3,2,0.6666666666666666
Position,y0.2,4,decoder_medoid,3,2,0.6666666666666666
Position,y0.2,4,first,3,1,0.3333333333333333
Position,y0.2,4,max_value,3,2,0.6666666666666666
Position,y0.2,5,action_medoid,3,3,1.0
Position,y0.2,5,decoder_medoid,3,3,1.0
Position,y0.2,5,first,3,2,0.6666666666666666
Position,y0.2,5,max_value,3,3,1.0
Position,y0.2,6,action_medoid,3,1,0.3333333333333333
Position,y0.2,6,decoder_medoid,3,1,0.3333333333333333
Position,y0.2,6,first,3,1,0.3333333333333333
Position,y0.2,6,max_value,3,2,0.6666666666666666
Position,y0.2,7,action_medoid,3,1,0.3333333333333333
Position,y0.2,7,decoder_medoid,3,1,0.3333333333333333
Position,y0.2,7,first,3,1,0.3333333333333333
Position,y0.2,7,max_value,3,2,0.6666666666666666
Position,y0.2,8,action_medoid,3,3,1.0
Position,y0.2,8,decoder_medoid,3,3,1.0
Position,y0.2,8,first,3,3,1.0
Position,y0.2,8,max_value,3,3,1.0
Position,y0.2,9,action_medoid,3,1,0.3333333333333333
Position,y0.2,9,decoder_medoid,3,2,0.6666666666666666
Position,y0.2,9,first,3,0,0.0
Position,y0.2,9,max_value,3,0,0.0
