factor,seed_group,arm,selected,0
Environment,0,action_medoid,0,3
Environment,0,action_medoid,1,3
Environment,0,action_medoid,2,14
Environment,0,decoder_medoid,0,1
Environment,0,decoder_medoid,1,14
Environment,0,decoder_medoid,2,5
Environment,0,first,0,20
Environment,0,max_value,0,2
Environment,0,max_value,1,7
Environment,0,max_value,2,11
Environment,1,action_medoid,0,8
Environment,1,action_medoid,1,8
Environment,1,action_medoid,2,4
Environment,1,decoder_medoid,0,14
Environment,1,decoder_medoid,1,3
Environment,1,decoder_medoid,2,3
Environment,1,first,0,20
Environment,1,max_value,0,3
Environment,1,max_value,1,13
Environment,1,max_value,2,4
Environment,2,action_medoid,0,7
Environment,2,action_medoid,1,6
Environment,2,action_medoid,2,7
Environment,2,decoder_medoid,0,4
Environment,2,decoder_medoid,1,2
Environment,2,decoder_medoid,2,14
Environment,2,first,0,20
Environment,2,max_value,0,17
Environment,2,max_value,1,3
Object,0,action_medoid,0,8
Object,0,action_medoid,1,7
Object,0,action_medoid,2,5
Object,0,decoder_medoid,0,1
Object,0,decoder_medoid,1,16
Object,0,decoder_medoid,2,3
Object,0,first,0,20
Object,0,max_value,0,5
Object,0,max_value,1,5
Object,0,max_value,2,10
Object,1,action_medoid,0,8
Object,1,action_medoid,1,7
Object,1,action_medoid,2,5
Object,1,decoder_medoid,0,13
Object,1,decoder_medoid,1,4
Object,1,decoder_medoid,2,3
Object,1,first,0,20
Object,1,max_value,0,3
Object,1,max_value,1,14
Object,1,max_value,2,3
Object,2,action_medoid,0,9
Object,2,action_medoid,1,5
Object,2,action_medoid,2,6
Object,2,decoder_medoid,0,4
Object,2,decoder_medoid,1,1
Object,2,decoder_medoid,2,15
Object,2,first,0,20
Object,2,max_value,0,15
Object,2,max_value,1,2
Object,2,max_value,2,3
Position,0,action_medoid,0,5
Position,0,action_medoid,1,9
Position,0,action_medoid,2,6
Position,0,decoder_medoid,0,2
Position,0,decoder_medoid,1,13
Position,0,decoder_medoid,2,5
Position,0,first,0,20
Position,0,max_value,0,6
Position,0,max_value,1,2
Position,0,max_value,2,12
Position,1,action_medoid,0,7
Position,1,action_medoid,1,7
Position,1,action_medoid,2,6
Position,1,decoder_medoid,0,10
Position,1,decoder_medoid,1,8
Position,1,decoder_medoid,2,2
Position,1,first,0,20
Position,1,max_value,0,4
Position,1,max_value,1,13
Position,1,max_value,2,3
Position,2,action_medoid,0,8
Position,2,action_medoid,1,4
Position,2,action_medoid,2,8
Position,2,decoder_medoid,0,4
Position,2,decoder_medoid,1,2
Position,2,decoder_medoid,2,14
Position,2,first,0,20
Position,2,max_value,0,13
Position,2,max_value,1,3
Position,2,max_value,2,4
