planning_strategy,episodes,successes,success_rate,mean_final_t,mean_queries
cosmos_consensus_guarded,20,6,0.3,251.75,50.45
max_value,20,5,0.25,249.0,49.9
keystone_cluster_medoid,20,3,0.15,268.5,53.75
