factor,case_id,suite,task_id,task_description,query_idx,snapshots,independent_groups,candidates_min,candidates_max,heterogeneous_snapshots,success_rescues,utility_rescues,all_candidates_fail,all_candidates_succeed,maxv_sr,oracle_sr,maxv_utility,oracle_utility,oracle_gap_pp,rescue_rate
Object,terminal_critic_object_development,libero_object_object,0,pick the alphabet soup and place it in the basket,0,5,5,8,8,3,3,3,0,2,0.4,1.0,0.8,3.0,60.0,0.6
Object,pro_object__object,libero_object_object,0,pick the alphabet soup and place it in the basket,3,2,2,4,4,2,1,1,0,0,0.5,1.0,1.5,3.0,50.0,0.5
Object,proposal_k16_object_task0,libero_object_object,0,pick the alphabet soup and place it in the basket,3,5,5,16,16,3,2,2,1,1,0.4,0.8,1.0,2.4,40.0,0.4
Object,terminal_critic_object_development,libero_object_object,0,pick the alphabet soup and place it in the basket,3,5,5,8,8,3,2,2,1,1,0.4,0.8,1.2,2.4,40.0,0.4
Position,proposal_k16_position_y0p3_task0,libero_object_temp,0,pick the alphabet soup and place it in the basket,0,5,5,16,16,2,2,2,3,0,0.0,0.4,0.0,1.2,40.0,0.4
Object,proposal_k16_object_task0,libero_object_object,0,pick the alphabet soup and place it in the basket,0,5,5,16,16,4,1,1,1,0,0.6,0.8,1.8,2.4,20.000000000000007,0.2
Object,pro_object__object,libero_object_object,0,pick the alphabet soup and place it in the basket,0,5,4,4,4,2,1,1,0,3,0.8,1.0,2.4,3.0,19.999999999999996,0.2
Position,pro_object__position,libero_object_temp,0,pick the alphabet soup and place it in the basket,0,8,1,4,4,1,0,1,4,3,0.5,0.5,1.375,1.4375,0.0,0.0
Environment,pro_object__environment,libero_object_env,0,pick the alphabet soup and place it in the basket,0,5,5,4,4,0,0,1,5,0,0.0,0.0,-0.2,-0.1,0.0,0.0
Environment,pro_object__environment,libero_object_env,2,pick the salad dressing and place it in the basket,3,5,5,4,4,0,0,1,5,0,0.0,0.0,-0.1,0.0,0.0,0.0
Environment,proposal_k16_environment_task0,libero_object_env,0,pick the alphabet soup and place it in the basket,0,5,5,16,16,0,0,1,5,0,0.0,0.0,-0.1,0.0,0.0,0.0
Environment,proposal_k16_environment_task0,libero_object_env,0,pick the alphabet soup and place it in the basket,3,5,5,16,16,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
Environment,proposal_k16_environment_task2,libero_object_env,2,pick the salad dressing and place it in the basket,0,5,5,16,16,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
Environment,proposal_k16_environment_task2,libero_object_env,2,pick the salad dressing and place it in the basket,3,5,5,16,16,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
Object,terminal_critic_object_calibration,libero_object_object,6,pick the butter and place it in the basket,0,5,5,8,8,0,0,0,0,5,1.0,1.0,3.0,3.0,0.0,0.0
Object,terminal_critic_object_calibration,libero_object_object,6,pick the butter and place it in the basket,3,5,5,8,8,0,0,0,0,5,1.0,1.0,3.0,3.0,0.0,0.0
Object,terminal_critic_object_calibration,libero_object_object,7,pick the milk and place it in the basket,0,5,5,8,8,1,0,0,0,4,1.0,1.0,3.0,3.0,0.0,0.0
Object,terminal_critic_object_calibration,libero_object_object,7,pick the milk and place it in the basket,3,5,5,8,8,0,0,0,0,5,1.0,1.0,3.0,3.0,0.0,0.0
Object,terminal_critic_object_development,libero_object_object,1,pick the cream cheese and place it in the basket,0,5,5,8,8,0,0,0,0,5,1.0,1.0,3.0,3.0,0.0,0.0
Object,terminal_critic_object_development,libero_object_object,1,pick the cream cheese and place it in the basket,3,5,5,8,8,0,0,0,0,5,1.0,1.0,3.0,3.0,0.0,0.0
Object,terminal_critic_object_development,libero_object_object,2,pick the salad dressing and place it in the basket,0,5,5,8,8,0,0,0,0,5,1.0,1.0,3.0,3.0,0.0,0.0
Object,terminal_critic_object_development,libero_object_object,2,pick the salad dressing and place it in the basket,3,5,5,8,8,0,0,0,0,5,1.0,1.0,3.0,3.0,0.0,0.0
Object,terminal_critic_object_development,libero_object_object,3,pick the bbq sauce and place it in the basket,0,5,5,8,8,1,0,0,0,4,1.0,1.0,3.0,3.0,0.0,0.0
Object,terminal_critic_object_development,libero_object_object,3,pick the bbq sauce and place it in the basket,3,5,5,8,8,0,0,0,0,5,1.0,1.0,3.0,3.0,0.0,0.0
