arm,count,mean,std,min,max
first_k1,1,55.0976430976431,,55.0976430976431,55.0976430976431
h8_at72,1,54.754208754208754,,54.754208754208754,54.754208754208754
max_value_h16,1,53.420875420875426,,53.420875420875426,53.420875420875426
p3_at72,1,54.101010101010104,,54.101010101010104,54.101010101010104
p3_event,1,53.420875420875426,,53.420875420875426,53.420875420875426
