query_cost,method,mean_utility
0.01,maxV-H16,0.2
0.01,maxV-H8,0.19052202380952382
0.01,maxV-gripper-H8/H16,0.22062812147003324
0.025,maxV-H16,0.2
0.025,maxV-H8,0.17630505952380954
0.025,maxV-gripper-H8/H16,0.21407030367508312
0.05,maxV-H16,0.2
0.05,maxV-H8,0.15261011904761904
0.05,maxV-gripper-H8/H16,0.2031406073501662
