method,factor,case_id,suite,task_id,init_state_id,rollout_seed,success,final_t,query_count,h16_reference_queries,query_multiplier,requery_count,trigger_rate,max_value_selected_rate,timeout,time_to_success,target_drop_candidate,wrong_object_interaction,official_safety_violation,state_key
maxV-H8,Object,feedback_object_task0,libero_object_object,0,47,7170000,True,157,20,10,2.0,0,0.0,1.0,False,157.0,False,False,False,Object|libero_object_object|task0|init47|seed7170000
maxV-H8,Object,feedback_object_task0,libero_object_object,0,48,7180000,True,213,27,14,1.9285714285714286,0,0.0,1.0,False,213.0,False,False,False,Object|libero_object_object|task0|init48|seed7180000
maxV-H8,Object,feedback_object_task0,libero_object_object,0,49,7190000,True,235,30,15,2.0,0,0.0,1.0,False,235.0,False,False,False,Object|libero_object_object|task0|init49|seed7190000
maxV-H8,Position,feedback_position_y0p3_task0,libero_object_temp,0,40,7300000,False,280,35,18,1.9444444444444444,0,0.0,1.0,True,,False,False,False,Position|libero_object_temp|task0|init40|seed7300000
maxV-H8,Position,feedback_position_y0p3_task0,libero_object_temp,0,41,7310000,False,280,35,18,1.9444444444444444,0,0.0,1.0,True,,False,False,False,Position|libero_object_temp|task0|init41|seed7310000
maxV-H8,Position,feedback_position_y0p3_task0,libero_object_temp,0,42,7320000,False,280,35,18,1.9444444444444444,0,0.0,1.0,True,,False,False,False,Position|libero_object_temp|task0|init42|seed7320000
maxV-H8,Position,feedback_position_y0p3_task0,libero_object_temp,0,43,7330000,False,280,35,18,1.9444444444444444,0,0.0,1.0,True,,False,False,False,Position|libero_object_temp|task0|init43|seed7330000
maxV-H8,Position,feedback_position_y0p3_task0,libero_object_temp,0,44,7340000,False,280,35,18,1.9444444444444444,0,0.0,1.0,True,,False,False,False,Position|libero_object_temp|task0|init44|seed7340000
maxV-H8,Position,feedback_position_y0p3_task0,libero_object_temp,0,45,7350000,False,280,35,18,1.9444444444444444,0,0.0,1.0,True,,False,False,False,Position|libero_object_temp|task0|init45|seed7350000
maxV-H8,Position,feedback_position_y0p3_task0,libero_object_temp,0,46,7360000,False,280,35,18,1.9444444444444444,0,0.0,1.0,True,,False,False,False,Position|libero_object_temp|task0|init46|seed7360000
maxV-H8,Position,feedback_position_y0p3_task0,libero_object_temp,0,47,7370000,False,280,35,18,1.9444444444444444,0,0.0,1.0,True,,False,False,False,Position|libero_object_temp|task0|init47|seed7370000
maxV-H8,Position,feedback_position_y0p3_task0,libero_object_temp,0,48,7380000,False,280,35,18,1.9444444444444444,0,0.0,1.0,True,,False,False,False,Position|libero_object_temp|task0|init48|seed7380000
maxV-H8,Position,feedback_position_y0p3_task0,libero_object_temp,0,49,7390000,False,280,35,18,1.9444444444444444,0,0.0,1.0,True,,False,False,False,Position|libero_object_temp|task0|init49|seed7390000
maxV-gripper-H8/H16,Environment,feedback_environment_task0_2,libero_object_env,0,40,7200000,False,280,32,18,1.7777777777777777,29,0.90625,1.0,True,,False,False,False,Environment|libero_object_env|task0|init40|seed7200000
