rank,suite,task_id,init_state_id,task_description,benchmark_task_description,task_instruction_source,instruction_shift,num_rollouts,num_success,num_failed,success_rate,success_rate_ci95_low,success_rate_ci95_high,minority_outcome_count,boundary_balance,screen_status,target_drop_failures,wrong_object_failures,official_safety_failures,failures_without_physical_event,successful_release_episodes,mean_final_t
1,libero_10_with_milk,9,0,turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it,bddl,False,12,5,7,0.4166666666666667,0.19326031365875665,0.6804886874504503,5,0.9722222222222221,confirmed_mixed,0,0,0,7,0,415.25
2,libero_goal_with_mug,9,0,put the wine bottle on the rack,put the wine bottle on the rack,bddl,False,12,8,4,0.6666666666666666,0.39062208887279953,0.8618799089087867,4,0.888888888888889,confirmed_mixed,1,0,0,3,0,216.0
3,libero_spatial_task,7,0,pick the akita black bowl on the top of the cabinet and place it on the plate,pick up the black bowl on the stove and place it on the plate,bddl,True,6,5,1,0.8333333333333334,0.43649717781352987,0.9699466302516935,1,0.5555555555555555,provisional_mixed,1,0,0,0,0,138.16666666666666
