family,protocol,spearman,sign_auc,balanced_accuracy,rmse
scalar,group_oof,0.470975971926387,0.7113951622148343,0.6482288203599679,0.04445350123255382
scalar,factor_oof,0.21930129020578484,0.5877565057892927,0.5247907829875043,0.048584627293617955
semantic,group_oof,0.1310776078937081,0.5340479192938209,0.5581795253926402,0.04988421826332245
semantic,factor_oof,-0.24389923843150838,0.38002980625931443,0.3990312965722802,0.05457889852755147
combined,group_oof,0.433786293637126,0.6988421414650923,0.629542588558982,0.04544478877420218
combined,factor_oof,0.2474087632366911,0.6022010776109137,0.5475753754442279,0.04933922508089665
