scope,metric,factor,roc_auc,average_precision,rows,failures
all_queries,ensemble_total_mean,Environment,0.6620320855614973,0.28876021761466736,310,55
all_queries,ensemble_total_mean,Object,0.6484983314794216,0.7112038564589801,120,62
all_queries,ensemble_total_mean,Position,0.6216056670602125,0.5391625544565801,187,77
all_queries,value_std,Environment,0.643921568627451,0.2339342965306029,310,55
all_queries,value_std,Object,0.5767519466073415,0.6092314146215367,120,62
all_queries,value_std,Position,0.723258559622196,0.5640425751463138,187,77
all_queries,value_range,Environment,0.6446345811051694,0.23619017670844247,310,55
all_queries,value_range,Object,0.5773081201334817,0.6096354178818107,120,62
all_queries,value_range,Position,0.7201889020070839,0.5614571496850841,187,77
all_queries,action_std_mean,Environment,0.8056327985739751,0.35770338188642353,310,55
all_queries,action_std_mean,Object,0.5786985539488321,0.6452279437372511,120,62
all_queries,action_std_mean,Position,0.7233766233766233,0.5555281991107464,187,77
all_queries,action_first_step_l2_std,Environment,0.6742959001782531,0.3152310458276076,310,55
all_queries,action_first_step_l2_std,Object,0.5909343715239155,0.6473341992803806,120,62
all_queries,action_first_step_l2_std,Position,0.732349468713105,0.6088377596716764,187,77
all_queries,action_pairwise_l2_mean,Environment,0.8076292335115864,0.3624461433624028,310,55
all_queries,action_pairwise_l2_mean,Object,0.5761957730812013,0.6447010676940077,120,62
all_queries,action_pairwise_l2_mean,Position,0.7160566706021252,0.5503789736442675,187,77
all_queries,future_proprio_std_mean,Environment,0.8422816399286988,0.47094446318541994,310,55
all_queries,future_proprio_std_mean,Object,0.5881535038932146,0.6546701240122169,120,62
all_queries,future_proprio_std_mean,Position,0.7365997638724912,0.5705884142619545,187,77
all_queries,future_image_pixel_std_mean,Environment,0.7793939393939394,0.34491871931004775,310,55
all_queries,future_image_pixel_std_mean,Object,0.5942714126807565,0.6659285548702629,120,62
all_queries,future_image_pixel_std_mean,Position,0.7543093270365998,0.61100105472668,187,77
all_queries,future_wrist_pixel_std_mean,Environment,0.8376470588235294,0.5152459413379169,310,55
all_queries,future_wrist_pixel_std_mean,Object,0.553392658509455,0.5966992483202737,120,62
all_queries,future_wrist_pixel_std_mean,Position,0.7957497048406139,0.7035524553426882,187,77
all_queries,latent_action_across_seed_std_mean,Environment,0.805204991087344,0.35621054695851045,310,55
all_queries,latent_action_across_seed_std_mean,Object,0.5767519466073415,0.6457001668849928,120,62
all_queries,latent_action_across_seed_std_mean,Position,0.7219598583234947,0.5540888331734003,187,77
all_queries,latent_future_proprio_across_seed_std_mean,Environment,0.8467023172905526,0.4763637245074618,310,55
all_queries,latent_future_proprio_across_seed_std_mean,Object,0.517797552836485,0.6222693958337662,120,62
all_queries,latent_future_proprio_across_seed_std_mean,Position,0.7343565525383707,0.5684005089095043,187,77
all_queries,latent_value_across_seed_std_mean,Environment,0.660891265597148,0.2413985086962663,310,55
all_queries,latent_value_across_seed_std_mean,Object,0.5756395995550612,0.6137649139423267,120,62
all_queries,latent_value_across_seed_std_mean,Position,0.727508854781582,0.5720849451805484,187,77
