scope,metric,factor,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,average_precision_ci_low,average_precision_ci_high,balanced_average_precision,balanced_average_precision_ci_low,balanced_average_precision_ci_high,id_groups,ood_groups
matched_query,ensemble_jrd,Environment,0.5,0.5,0.5,0.49990477939690176,0.49990477939690176,0.49990477939690176,0.30864814578984756,0.30864814578984756,0.30864814578984756,56,139
matched_query,ensemble_jrd,Object,0.5,0.5,0.5,0.23762430549057054,0.23762430549057054,0.23762430549057054,0.31356392660195204,0.31356392660195204,0.31356392660195204,56,37
matched_query,ensemble_jrd,Position,0.5,0.5,0.5,0.36924917345247615,0.36924917345247615,0.36924917345247615,0.3101750419091674,0.3101750419091674,0.3101750419091674,56,75
matched_query,ensemble_jrd,All OOD,0.5,0.5,0.5,0.6220062831511679,0.6220062831511679,0.6220062831511679,0.30784784333053233,0.30784784333053233,0.30784784333053233,56,251
matched_query,ensemble_epistemic_mean,Environment,0.8769270298047277,0.7998394141829394,0.936549331963001,0.90403507899881,0.8477298099953593,0.9626906238224606,0.79539411404657,0.6854074783403146,0.9130129823740387,56,139
matched_query,ensemble_epistemic_mean,Object,0.5883204633204633,0.4628257722007722,0.7051640926640926,0.45787438271249986,0.3765836015638519,0.5831154864669371,0.5581235716403139,0.47627684944257875,0.6644450069841912,56,37
matched_query,ensemble_epistemic_mean,Position,0.28095238095238095,0.1954642857142857,0.3714345238095238,0.45612929361399257,0.4181346385079007,0.5159155024164133,0.3866318178051791,0.35382349295419774,0.44227754060487257,56,75
matched_query,ensemble_epistemic_mean,All OOD,0.6563033579965851,0.5822869237336369,0.7278119664200342,0.8859533740737733,0.8492418932393114,0.9261083917065522,0.6483645968759296,0.5635882069107115,0.7612432519687317,56,251
matched_query,ensemble_epistemic_max,Environment,0.6325796505652621,0.5398830935251799,0.7162480729701952,0.7645614543083536,0.7054775764576079,0.8354548691212413,0.5704350119353148,0.4985011900438231,0.673900088924993,56,139
matched_query,ensemble_epistemic_max,Object,0.3812741312741313,0.2716216216216216,0.5038730694980694,0.32541073167421763,0.2868340413599053,0.38386953324155193,0.4191620871587081,0.3771640763014308,0.48263078596211006,56,37
matched_query,ensemble_epistemic_max,Position,0.1657142857142857,0.10166666666666667,0.24119047619047618,0.40306687224151655,0.3864868483099528,0.4319424066350838,0.3393124635547832,0.32488412854829546,0.365327726469083,56,75
matched_query,ensemble_epistemic_max,All OOD,0.4560330108138873,0.37774437962435975,0.5308124644280023,0.7943427135624946,0.7574488477697211,0.8400503421157443,0.46721433584660554,0.41521661179317826,0.5445402074950905,56,251
matched_query,ensemble_aleatoric_mean,Environment,0.1671377183967112,0.11792780061664954,0.22841726618705036,0.5438119873922701,0.5250414233986599,0.5690960702602846,0.3371533286518966,0.3243621338422391,0.3572120946348399,56,139
matched_query,ensemble_aleatoric_mean,Object,0.2876447876447876,0.19013030888030888,0.39866071428571426,0.2951296725371984,0.2651084298807765,0.3434228000816655,0.38527370346684736,0.35108440897178905,0.4388217104469509,56,37
matched_query,ensemble_aleatoric_mean,Position,0.6152380952380953,0.5225535714285715,0.7085833333333332,0.7311072674993607,0.6568646569302486,0.8059235577187168,0.6789672213789273,0.5929350749760559,0.7643108363771759,56,75
