planning_strategy,planning_risk_lambda,suite,task_id,init_state_id,episodes,successes,success_rate,mean_final_t,selected_not_max_value_rate
disagreement_requery_action,1.0,libero_10_with_mug,4,0,24,22,0.9166666666666666,242.79166666666666,0.41830869508888086
max_value_disagreement_requery,1.0,libero_10_with_mug,4,0,24,22,0.9166666666666666,242.79166666666666,0.0
max_value,0.0,libero_10_with_mug,4,0,24,21,0.875,263.3333333333333,0.0
uncertainty_penalty_action,1.0,libero_10_with_mug,4,0,24,18,0.75,300.875,0.37777777777777777
