factor,states,independent_groups,candidates_min,candidates_max,heterogeneous_states,success_rescues,all_candidates_fail,all_candidates_succeed,maxv_sr,oracle_sr,oracle_gap_pp,maxv_utility,oracle_utility,maxv_sr_ci_low,maxv_sr_ci_high,oracle_sr_ci_low,oracle_sr_ci_high,oracle_gap_pp_ci_low,oracle_gap_pp_ci_high,selector_gate_pass
Environment,20,10,16,16,0,0,20,0,0.0,0.0,0.0,-0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Object,10,5,16,16,7,3,2,1,0.5,0.8,30.000000000000004,1.4,2.4,0.2,0.8,0.4,1.0,9.999999999999998,50.0,True
Position,20,5,16,16,2,2,18,0,0.0,0.1,10.0,-0.075,0.3,0.0,0.0,0.0,0.2,0.0,20.0,True
