factor,budget,states,independent_groups,candidates_min,candidates_max,heterogeneous_states,success_rescues,all_candidates_fail,all_candidates_succeed,maxv_sr,oracle_sr,oracle_gap_pp,maxv_utility,oracle_utility,maxv_sr_ci_low,maxv_sr_ci_high,oracle_sr_ci_low,oracle_sr_ci_high,oracle_gap_pp_ci_low,oracle_gap_pp_ci_high,selector_gate_pass
Environment,4,20,10,4,4,0,0,20,0,0.0,0.0,0.0,-0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Environment,8,20,10,8,8,0,0,20,0,0.0,0.0,0.0,-0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Environment,16,20,10,16,16,0,0,20,0,0.0,0.0,0.0,-0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Object,4,10,5,4,4,5,4,2,3,0.4,0.8,40.0,1.0,2.4,0.1,0.7,0.4,1.0,9.999999999999998,70.0,True
Object,8,10,5,8,8,6,4,2,2,0.4,0.8,40.0,1.0,2.4,0.1,0.7,0.4,1.0,9.999999999999998,70.0,True
Object,16,10,5,16,16,7,3,2,1,0.5,0.8,30.000000000000004,1.4,2.4,0.2,0.8,0.4,1.0,9.999999999999998,50.0,True
Position,4,20,5,4,4,1,0,19,0,0.05,0.05,0.0,0.075,0.15,0.0,0.15,0.0,0.15,0.0,0.0,False
Position,8,20,5,8,8,2,2,18,0,0.0,0.1,10.0,-0.075,0.3,0.0,0.0,0.0,0.2,0.0,20.0,True
Position,16,20,5,16,16,2,2,18,0,0.0,0.1,10.0,-0.075,0.3,0.0,0.0,0.0,0.2,0.0,20.0,True
