campaign,factor,candidates,states,independent_groups,heterogeneous_states,success_rescues,all_candidates_fail,maxv_sr,oracle_sr,oracle_gap_pp
counterfactual_feedback_dense_relabel_20260827,Environment,4,20,18,0,0,11,0.45,0.45,0.0
proposal_opportunity_k16_20260830,Environment,16,20,10,0,0,20,0.0,0.0,0.0
counterfactual_feedback_dense_relabel_20260827,Object,4,19,12,5,2,0,0.8947368421052632,1.0,10.526315789473683
counterfactual_feedback_h32_dense_relabel_20260827,Object,6,1,1,1,0,0,1.0,1.0,0.0
terminal_grounded_critic_20260829__development,Object,8,80,40,8,5,1,0.925,0.9875,6.25
terminal_grounded_critic_20260829__holdout,Object,8,20,10,0,0,0,1.0,1.0,0.0
proposal_opportunity_k16_20260830,Object,16,10,5,7,3,2,0.5,0.8,30.000000000000004
counterfactual_feedback_dense_relabel_20260827,Position,4,13,2,1,0,4,0.6923076923076923,0.6923076923076923,0.0
proposal_opportunity_k16_20260830,Position,16,20,5,2,2,18,0.0,0.1,10.0
