method,job_seconds,queries,episodes,switched,switch_rate,job_seconds_per_episode,job_seconds_per_query
first,9181.0,755,56,0,0.0,163.94642857142858,12.160264900662252
max_value,6468.0,736,56,0,0.0,115.5,8.78804347826087
old_guarded,7079.0,713,56,332,0.46563814866760167,126.41071428571429,9.928471248246844
physical_density,5065.0,719,56,577,0.8025034770514604,90.44642857142857,7.044506258692628
physical_medoid,6237.0,720,56,574,0.7972222222222223,111.375,8.6625
v2_0,4922.0,739,56,27,0.036535859269282815,87.89285714285714,6.660351826792963
v2_1,4974.0,739,56,28,0.037889039242219216,88.82142857142857,6.730717185385656
