planning_strategy,planning_risk_lambda,suite,task_id,init_state_id,episodes,successes,success_rate,mean_final_t,selected_not_max_value_rate
disagreement_requery_action,1.0,libero_spatial_with_yellow_book,8,0,24,18,0.75,145.54166666666666,0.4138732340357727
max_value_disagreement_requery,1.0,libero_spatial_with_yellow_book,8,0,24,16,0.6666666666666666,154.95833333333334,0.0
max_value,0.0,libero_spatial_with_yellow_book,8,0,24,11,0.4583333333333333,188.125,0.0
uncertainty_penalty_action,1.0,libero_spatial_with_yellow_book,8,0,24,11,0.4583333333333333,183.70833333333334,0.41150793650793654
