factor,paired_rollouts,independent_groups,max_value_successes,max_value_sr,frozen_ranker_successes,frozen_ranker_sr,sr_delta,frozen_gains,frozen_losses,same_outcome,mcnemar_exact_p
Environment,120,15,45,0.375,41,0.3416666666666667,-0.033333333333333326,1,5,114,0.21875
Object,120,10,120,1.0,120,1.0,0.0,0,0,120,1.0
Position,120,20,0,0.0,3,0.025,0.025,3,0,117,0.25
