family,spearman,sign_auc,balanced_accuracy,rmse
scalar,0.24475217495410648,0.62,0.5771428571428572,0.09596868114106641
scalar+agent-disagreement,0.24335541543618805,0.6190476190476191,0.5771428571428572,0.09588351700189539
scalar+crossview,0.19893846276638202,0.6123809523809524,0.6171428571428572,0.09579212399846361
scalar+semantic2,0.20009577779551443,0.6133333333333333,0.6171428571428572,0.09578184754112792
