factor,states,h16_mean_vof,h32_mean_vof,h16_positive_rate,h32_positive_rate,sign_agreement,correlation
All,48,-0.019070235573355798,-0.005437255799562579,0.4583333333333333,0.2708333333333333,0.6458333333333334,0.3206539467886398
Environment,12,-0.011832917243794422,-0.0056100109202825476,0.6666666666666666,0.4166666666666667,0.75,0.6031458629291356
Object,12,-0.04264632060678412,-0.007008465278802153,0.25,0.4166666666666667,0.6666666666666666,0.30781340545129676
Position,24,-0.010900852221422322,-0.004565273499582807,0.4583333333333333,0.125,0.5833333333333334,-0.2580262806859792
