factor,snapshots,h16_non_tied,h32_non_tied,both_non_tied,h16_utility_range_mean,h32_utility_range_mean,h16_utility_range_median,h32_utility_range_median
All,48,48,35,35,0.009628181139544376,0.007268957059162946,0.007500936132909253,0.00292068370274029
Environment,12,12,12,12,0.008823609605284782,0.011401562918744957,0.00451432898060951,0.005467999072951091
Object,12,12,9,9,0.0062850965546418685,0.0030118610732886852,0.0031481402254295854,0.001574730573393024
Position,24,24,14,14,0.011702009199125426,0.00733120212230907,0.010062482784364557,0.0036406916458034955
