target,model,states,available_groups,evaluated_groups,features,mae,correlation,sign_accuracy,positive_vof_auc
local_vof,grouped_oof_ridge,48,11,11,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",0.0,,1.0,
local_vof,factor_phase_oof_mean,48,11,11,"factor,phase_at_snapshot",0.0,,1.0,
dense_vof_v2,grouped_oof_ridge,48,11,11,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",0.058406038679111316,0.12931027140656248,0.5625,0.513986013986014
dense_vof_v2,factor_phase_oof_mean,48,11,11,"factor,phase_at_snapshot",0.06758144750680262,-0.270080848928294,0.5833333333333334,0.5690559440559441
h32_dense_vof_v2,grouped_oof_ridge,48,11,11,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",0.0802402396944485,0.019483048211708046,0.4375,0.5406593406593406
h32_dense_vof_v2,factor_phase_oof_mean,48,11,11,"factor,phase_at_snapshot",0.06757435284819964,0.14909044019394874,0.7916666666666666,0.7362637362637363
