variant,metric,risk_lambda,candidate_spearman,snapshots,selection_change_rate,baseline_residual_mean,selected_residual_mean,pooled_residual_delta,pooled_relative_delta,environment_residual_delta,object_residual_delta,position_residual_delta,worst_factor_residual_delta,metric_order
p4_original,mean_plus_epistemic_rms,2.0,0.5249941420317745,391,0.6035805626598465,1.0826671750039396,1.0663666315090932,-0.016300543494846508,-0.01505591364658044,-0.011045781735381389,-0.009811843236287435,-0.033647436844675166,-0.009811843236287435,2
p4_original,epistemic_mean,1.0,0.6137083620853175,391,0.45268542199488493,1.0826671750039396,1.070467049356007,-0.012200125647932672,-0.011268583669665868,-0.006501228830933031,-0.008644951184590658,-0.02826427597748606,-0.006501228830933031,0
p4_original,epistemic_mean,2.0,0.6137083620853175,391,0.6138107416879796,1.0826671750039396,1.070054933695537,-0.012612241308402527,-0.011649232192115397,-0.005690594873816719,-0.011667931079864502,-0.029459684773495323,-0.005690594873816719,0
mean_mse_shared,epistemic_mean,2.0,0.5963807771351807,391,0.59846547314578,1.0826671750039396,1.0687741086915936,-0.013893066312346007,-0.012832259657540143,-0.005501239278197828,-0.011406916777292888,-0.03537785567735371,-0.005501239278197828,0
mean_mse_shared,epistemic_mean,1.0,0.5963807771351807,391,0.4219948849104859,1.0826671750039396,1.0716501264011158,-0.01101704860282371,-0.010175840606586805,-0.005431438733010271,-0.013541133403778076,-0.02201824250974153,-0.005431438733010271,0
p4_original,mean_plus_epistemic_rms,1.0,0.5249941420317745,391,0.42455242966751916,1.0826671750039396,1.0713497417052384,-0.011317433298701215,-0.010453289394924192,-0.008890818147098316,-0.005338698228200277,-0.021682560443878174,-0.005338698228200277,2
mean_mse_shared,epistemic_mean,0.5,0.5963807771351807,391,0.21994884910485935,1.0826671750039396,1.0757254862114596,-0.0069416887924799225,-0.006411655357016493,-0.004660895507260145,-0.005506863594055176,-0.01338029096001073,-0.004660895507260145,0
p4_original,epistemic_mean,0.5,0.6137083620853175,391,0.21739130434782608,1.0826671750039396,1.0747021233944027,-0.007965051609536877,-0.007356879190050159,-0.006967624657833738,-0.0029006505012512205,-0.01428359307740864,-0.0029006505012512205,0
p4_original,mean_plus_epistemic_rms,0.5,0.5249941420317745,391,0.22506393861892582,1.0826671750039396,1.074045801863951,-0.008621373139988736,-0.007963087215567762,-0.008539978465343493,-0.002788654963175456,-0.013415500364805523,-0.002788654963175456,2
mean_mse_shared,epistemic_mean,0.25,0.5963807771351807,391,0.11508951406649616,1.0826671750039396,1.0788157887166114,-0.0038513862873282272,-0.003557313250320176,-0.0028033849880166723,-0.0020232518513997396,-0.00773263228567023,-0.0020232518513997396,0
p4_original,mean_plus_epistemic_rms,0.25,0.5249941420317745,391,0.10485933503836317,1.0826671750039396,1.0777400416486405,-0.004927133355299225,-0.004550921528844999,-0.004326508325688979,-0.0012211211522420247,-0.009250175952911378,-0.0012211211522420247,2
p4_original,epistemic_mean,0.25,0.6137083620853175,391,0.10741687979539642,1.0826671750039396,1.0776540220850874,-0.005013152918852199,-0.004630373058861748,-0.004337479625891776,-0.0005748263994852701,-0.0100889243577656,-0.0005748263994852701,0
