variant,metric,candidate_spearman,trajectory_spearman,minimum,median,maximum,unique_values
p4_original,epistemic_mean,0.6137083620853175,0.6090201552933877,0.03978384658694267,0.15941257774829865,0.5527955889701843,2272
p4_original,predicted_mean_residual_rms,0.3809674045507454,0.5032656236909925,0.43417155742645264,0.6796906590461731,1.109557032585144,2272
p4_original,mean_plus_epistemic_rms,0.5249941420317745,0.5944919869043265,0.49699968099594116,0.7836663126945496,1.2915905714035034,2272
p4_original,expected_residual_rms,0.17273640528301404,0.013476815067158044,0.8828288912773132,1.3880105018615723,2.523651123046875,2271
p4_original,epistemic_snr,0.4638272764255656,0.5205318728024227,0.021558554843068123,0.267581045627594,6.966649055480957,2272
p4_original,common_covariance_jrd,0.4904371789188284,0.46747193507384766,0.6757720112800598,1.6081936359405518,1.6094379425048828,1463
p4_original,mc_predictive_mi,0.40634950752622645,0.36971142770431964,1.4183250665664673,1.6094363927841187,1.609438180923462,839
hetero_earlystop,epistemic_mean,-0.010726903461297559,-0.050851492506982066,0.013562810607254505,0.028986722230911255,0.16378508508205414,2272
hetero_earlystop,predicted_mean_residual_rms,-0.12086250861127058,-0.12137345314199117,0.16535691916942596,0.3369855284690857,0.8204161524772644,2272
hetero_earlystop,mean_plus_epistemic_rms,-0.1163752238413579,-0.09045578551230975,0.20682598650455475,0.37921884655952454,0.8669038414955139,2271
hetero_earlystop,expected_residual_rms,-0.07368097431051175,-0.14032103809839008,0.8254377841949463,0.8804209232330322,1.162247657775879,2270
hetero_earlystop,epistemic_snr,0.140490034696869,0.15308575310491387,0.020276222378015518,0.06449815630912781,0.5070998072624207,2272
hetero_earlystop,common_covariance_jrd,0.13986997737546505,0.13032675314721684,0.6540513038635254,1.3677761554718018,1.6094310283660889,2272
hetero_earlystop,mc_predictive_mi,0.08778469848282318,0.1174059147449767,0.8529090881347656,1.4914913177490234,1.609437346458435,2258
hetero_regularized,epistemic_mean,-0.006306992664791534,-0.04266089023705425,0.013447416946291924,0.028552234172821045,0.15992555022239685,2271
hetero_regularized,predicted_mean_residual_rms,-0.11223090620979911,-0.11697975014702357,0.16544421017169952,0.33465152978897095,0.816169798374176,2272
hetero_regularized,mean_plus_epistemic_rms,-0.10921222879312377,-0.09281148052943416,0.2060409039258957,0.3765571713447571,0.8666836023330688,2270
hetero_regularized,expected_residual_rms,-0.0731923938530839,-0.13173851121733857,0.8292391896247864,0.8861508965492249,1.1725916862487793,2270
hetero_regularized,epistemic_snr,0.1494742918605363,0.16070650943231898,0.019358616322278976,0.059821125119924545,0.4518797993659973,2272
hetero_regularized,common_covariance_jrd,0.14584762303638454,0.1449051044759035,0.6272631287574768,1.3240110874176025,1.6093989610671997,2272
hetero_regularized,mc_predictive_mi,0.05957571550628695,0.07413264387780578,0.8174203038215637,1.471308946609497,1.6094375848770142,2267
mean_mse_shared,epistemic_mean,0.5963807771351807,0.5435169033559529,0.018667032942175865,0.12264591455459595,0.6727237701416016,2272
mean_mse_shared,predicted_mean_residual_rms,0.38516604341592603,0.4524531162776037,0.41722166538238525,0.6989015340805054,1.122279405593872,2271
mean_mse_shared,mean_plus_epistemic_rms,0.47913845441529507,0.5198753472369108,0.5063589811325073,0.7711039781570435,1.2021853923797607,2272
mean_mse_shared,expected_residual_rms,0.47913845441529507,0.5198753472369108,0.8218264579772949,1.006777286529541,1.36537504196167,2272
mean_mse_shared,epistemic_snr,0.6175552459855114,0.5576954501077896,0.050772760063409805,0.3409267067909241,1.771828055381775,2272
mean_mse_shared,common_covariance_jrd,0.6279512663284641,0.6057689396851612,1.2454723119735718,1.6094105243682861,1.6094379425048828,1251
mean_mse_shared,mc_predictive_mi,0.5839877140138219,0.5457661159236281,1.104038119316101,1.6092792749404907,1.6094372272491455,1328
