variant,artifact_dir,artifact_manifest_sha256,artifact_checksum_sha256,variance_temperature,calibration_mixture_nll,heads
p4_original,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/frozen_models/p4_residual_dynamics_20260906,46b7992730a6e30475b1bf56aea9514ed3412825929e2fc9710cf5979ade35da,769aa13b896fe269372e392f44012d833fa28a0a737c8a01616112760a5d228c,10.0,72.9830322265625,5
hetero_earlystop,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/frozen_models/p4b_residual_risk_20260907/hetero_earlystop,765117b15275322b982da3f459458ef124087c4228fa77a9e762c53743d03b17,99efecd7c57bce59f8b5987868bce878452e08bcf492d044446a705881462a33,1.0,74.10151672363281,5
hetero_regularized,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/frozen_models/p4b_residual_risk_20260907/hetero_regularized,2ae240da9f287804716eca7dd0f9a96cfad7bc15ff38f6a6345c36df8a9a747e,7a21f85cd29ed58a8f021d21c845068effbcae067ef7966ff5a126d64df537c0,1.0,74.30045318603516,5
mean_mse_shared,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/frozen_models/p4b_residual_risk_20260907/mean_mse_shared,c37d72e076dfcba8550fb7d2005c31d46cc05a08edda9618ad8d6c778f6ee4be,947d1382a449911210176cefb79a31e804587a40fb285c450f087023b7897c3b,0.6812920690579611,63.20536422729492,5
