subset,pairs,baseline_success_rate,method_success_rate,success_delta,success_delta_ci_low,success_delta_ci_high,rescues,harms,mcnemar_pvalue,adjusted_delta,baseline_mean_queries,method_mean_queries
nominal,100,0.46,0.57,0.11,-0.01,0.23,24,13,0.09887174959294498,0.08500000000000002,14.66,14.84
strict,40,0.375,0.525,0.15,-0.05,0.35,12,6,0.237884521484375,0.12500000000000003,15.6,15.65
