suite,task_id,episode_id,pair_id,rollout_id,rollout_seed,init_state_id,base_seed,query_idx,t,task_description,task_level,task_level_id,intervention_mode,intervention_start_t,intervention_end_t,intervention_start_query,intervention_end_query,num_samples,action_std_mean,action_std_max,action_first_step_l2_std,action_xyz_std_mean,action_rot_std_mean,action_gripper_std_mean,action_pairwise_l2_mean,value_mean,value_std,value_range,future_proprio_std_mean,future_proprio_std_max,future_image_pixel_std_mean,future_image_pixel_std_p95,future_image_pixel_std_max,future_wrist_pixel_std_mean,future_wrist_pixel_std_p95,future_wrist_pixel_std_max,latent_action_across_seed_std_mean,latent_action_across_seed_std_p95,latent_action_across_seed_std_max,latent_future_proprio_across_seed_std_mean,latent_future_proprio_across_seed_std_p95,latent_future_proprio_across_seed_std_max,latent_value_across_seed_std_mean,latent_value_across_seed_std_p95,latent_value_across_seed_std_max,latent_action_copy_std_mean_mean_over_samples,latent_action_copy_std_mean_max_over_samples,latent_action_copy_std_max_mean_over_samples,latent_action_copy_std_max_max_over_samples,latent_action_first_step_copy_l2_std_mean_over_samples,latent_action_first_step_copy_l2_std_max_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_max_over_samples,latent_future_proprio_copy_std_max_mean_over_samples,latent_future_proprio_copy_std_max_max_over_samples,latent_value_element_std_mean_mean_over_samples,latent_value_element_std_mean_max_over_samples,latent_value_element_std_max_mean_over_samples,latent_value_element_std_max_max_over_samples,planning_strategy,planning_risk_lambda,selected_sample_idx,selected_value,selected_value_z,selected_risk,selected_planning_score,max_value_sample_idx,max_value,max_value_selected,candidate_value_mean,candidate_value_std,candidate_value_range,candidate_action_internal_consistency_mean,candidate_action_internal_consistency_std,candidate_value_internal_consistency_mean,candidate_value_internal_consistency_std,selected_seed,max_value_seed,t_after,executed_steps,intervention_steps,intervention_applied,chunk_success,observed_goal_progress_end,observed_goal_progress_delta,observed_target_lift_max,observed_target_eef_distance_min,observed_non_target_displacement_max,observed_non_target_lift_max,observed_target_drop_candidate,observed_wrong_object_interaction_candidate,observed_official_safety_violation,observed_official_safety_cost_sum,observed_robot_contact_count_sum,observed_robot_contact_count_max,observed_robot_target_contact_count_sum,observed_action_motion_norm_mean,observed_action_motion_norm_max,observed_action_sign_flip_rate,observed_eef_path_length,observed_eef_net_displacement,observed_eef_speed_mean,observed_eef_acceleration_mean,observed_eef_jerk_mean,observed_eef_jerk_max,observed_eef_dimensionless_jerk_proxy,prediction_error_future_image_mse,prediction_error_future_image_mae,prediction_error_future_image_psnr,prediction_error_future_image_ssim_global,prediction_error_future_wrist_mse,prediction_error_future_wrist_mae,prediction_error_future_wrist_psnr,prediction_error_future_wrist_ssim_global,prediction_error_future_proprio_l2,prediction_error_future_proprio_mae,prediction_error_future_proprio_max_abs,prediction_error_future_proprio_eef_pos_l2,prediction_error_future_proprio_eef_quat_l2,prediction_error_value_abs_chunk_success,prediction_value_executed_sample,actual_object_state_delta_l2_mean,actual_object_state_delta_l2_max,actual_object_state_num_keys,actual_object_state_delta_l2__akita_black_bowl_1_pos,actual_object_state_delta_l2__akita_black_bowl_1_quat,actual_object_state_delta_l2__akita_black_bowl_2_pos,actual_object_state_delta_l2__akita_black_bowl_2_quat,actual_object_state_delta_l2__cookies_1_pos,actual_object_state_delta_l2__cookies_1_quat,actual_object_state_delta_l2__glazed_rim_porcelain_ramekin_1_pos,actual_object_state_delta_l2__glazed_rim_porcelain_ramekin_1_quat,actual_object_state_delta_l2__plate_1_pos,actual_object_state_delta_l2__plate_1_quat,actual_object_state_delta_l2__libero_mug_yellow_1_pos,actual_object_state_delta_l2__libero_mug_yellow_1_quat,success,final_t,num_queries,failure_type,failure_event_t,safe_task_success,safety_terminated,official_safety_violation,official_safety_violation_t,official_safety_cost_types,target_objects,target_drop_candidate,target_drop_candidate_t,wrong_object_interaction_candidate,wrong_object_interaction_candidate_t,kinematic_deadlock_candidate,episode_goal_progress_initial,episode_goal_progress_max,episode_time_to_first_goal_progress,episode_time_to_first_target_lift,episode_target_lift_max,episode_eef_path_length,episode_eef_net_displacement,episode_eef_jerk_mean,episode_eef_dimensionless_jerk_proxy,prediction_error_value_abs_final_success,steps_to_failure_event,query_is_pre_failure,failure_event_in_executed_chunk
libero_spatial_with_mug,0,0,0,0,131000,0,131000,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0038319171871989,0.0353302210569381,0.0204987172037363,0.0079240603372454,0.0007260674028657,0.0008730370900593,0.0235440265387296,0.4557151198387146,0.0008160272845998,0.002019464969635,0.0007681010756641,0.0020134684164077,0.83735191822052,2.692582368850708,42.11294174194336,2.2041056156158447,11.683320999145508,64.45153045654297,0.0080622965469956,0.0191468521952629,0.0515730008482933,0.0056396857835352,0.0099818296730518,0.0188878159970045,0.0055917804129421,0.0099930539727211,0.020328102633357,0.0080608313437551,0.0081290369853377,0.0110371487680822,0.0112605169415473,0.0239213579334318,0.0249412879347801,0.0074003125773742,0.0074918363243341,0.0077322336146607,0.0078606540337204,0.0069534679641947,0.0071205627173185,0.0069534679641947,0.0071205627173185,first,1.0,0.0,0.4547799825668335,-1.145963191986084,0.0,0.4547799825668335,2.0,0.4567994475364685,False,0.4557151198387146,0.0008160272845998,0.002019464969635,0.0239213556051254,0.0006928374059498,0.00695346808061,0.0001185503933811,131000,131002,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.2947677351768984,2.724381856814304e-06,2.4378680735237523e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8432541640076912,1.082888353008095,0.0227272727272727,0.1497709181664878,0.1463523317291077,0.1872136477081098,0.4714819221086277,3.9388613991440034,9.405759993709236,220.2563970974228,556.8604125976562,10.15432357788086,20.673340160280524,0.8900592676864721,1288.5096435546875,15.577719688415527,17.029926875914533,0.7934994840102315,0.0063424869440495,0.001725356793031,0.0048832036554813,0.002865174319595,0.0056130727753043,0.4547799825668335,0.4547799825668335,5.403613779121614e-05,0.0006456186340803,12.0,2.934624683612725e-07,5.8837568205634124e-09,2.934624683612516e-07,5.883756828429599e-09,2.530519738197512e-07,4.693870411059346e-17,2.6346862755526685e-07,3.568444200826748e-09,2.673608637928073e-07,9.18779978112974e-09,1.4196892547206094e-06,0.0006456186340803,False,220,14,target_drop_candidate,94,False,False,False,-1,,akita_black_bowl_1,True,94,False,-1,False,0.0,0.0,-1,54,0.1376672830050067,1.8716275677382412,0.2710728103133273,6.483633708430154,77666792.06073555,0.4547799825668335,94.0,True,False
libero_spatial_with_mug,0,0,0,0,131000,0,131000,1,16,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.001966853858903,0.0093593820929527,0.0055372659116983,0.0035566457081586,0.0008215031703002,0.000633529969491,0.0111242914572358,0.5166468620300293,0.0005088239558972,0.0013409256935119,0.0006449811626225,0.0010956047335639,0.9646975994110109,3.2015621662139893,46.61745834350586,2.8201587200164795,14.512757301330566,62.93399429321289,0.0064923432655632,0.0118838716298341,0.0199430603533983,0.0055189351551234,0.0098210396245121,0.0180363878607749,0.0053319744765758,0.009540275670588,0.0182461142539978,0.0085745032411068,0.0087540792301297,0.0119949309155344,0.0127052711322903,0.0221807844936847,0.0230266507714986,0.0072590052150189,0.0074046468362212,0.00762001844123,0.0077414126135408,0.0068187875440344,0.0068989843130111,0.0068187875440344,0.0068989843130111,first,1.0,0.0,0.5171689391136169,1.026046633720398,0.0,0.5171689391136169,0.0,0.5171689391136169,True,0.5166468620300293,0.0005088239558972,0.0013409256935119,0.0221807844936847,0.0004950229777023,0.0068187871947884,6.0187150666024536e-05,132000,132000,32,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.1585501395384922,4.0289453436835805e-06,2.07709151922586e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0811494426273056,1.2544264749308078,0.0888888888888888,0.2050291894306309,0.1752483403282046,0.2562864867882887,0.6612655790015877,4.701505017668216,8.90245410310737,145.57673728014433,840.7674560546875,12.778593063354492,18.884044679445417,0.8448069249005762,1324.6431884765625,17.881383895874023,16.909814502511963,0.8245046642088003,0.0218443907797336,0.0044373772107064,0.0202697478234767,0.006127614993602,0.0208273883908987,0.5171689391136169,0.5171689391136169,6.729847775054853e-07,5.959568071899461e-06,12.0,0.0,3.7474662146167584e-17,0.0,3.688679632294686e-17,0.0,4.290415367286168e-18,0.0,2.978820328026373e-18,0.0,3.8693844586790084e-18,2.116249258080862e-06,5.959568071899461e-06,False,220,14,target_drop_candidate,94,False,False,False,-1,,akita_black_bowl_1,True,94,False,-1,False,0.0,0.0,-1,54,0.1376672830050067,1.8716275677382412,0.2710728103133273,6.483633708430154,77666792.06073555,0.5171689391136169,78.0,True,False
libero_spatial_with_mug,0,0,0,0,131000,0,131000,2,32,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0023992829956114,0.0130749903619289,0.0078185433521866,0.0041066189296543,0.0009686897974461,0.0015690543223172,0.0132231013849377,0.6409071683883667,0.0011830674484372,0.0030155181884765,0.0007476571481674,0.0018787210574373,0.6462969183921814,1.9202864170074463,21.412612915039062,2.64160680770874,13.388427734375,52.8251838684082,0.0066994093358516,0.0124438283964991,0.0238371472805738,0.0054418887011706,0.0098359445109963,0.0171581115573644,0.0058176601305603,0.010315578430891,0.0194457489997148,0.0086324829608201,0.0087979296222329,0.0151061683427542,0.0163966007530689,0.0251657436601817,0.0263926405459642,0.0075052597094327,0.0075422110967338,0.007907579652965,0.0079495217651128,0.0069384338567033,0.0070660966448485,0.0069384338567033,0.0070660966448485,first,1.0,0.0,0.641574501991272,0.5640706419944763,0.0,0.641574501991272,2.0,0.6419161558151245,False,0.6409071683883667,0.0011830674484372,0.0030155181884765,0.025165744125843,0.00077321450226,0.0069384342059493,7.576397911179811e-05,133000,133002,48,16,0,False,False,0.0,0.0,0.0087019970591661,0.0527115747383483,5.868525357397708e-06,2.0774381899180128e-06,0.0,0.0,0.0,0.0,19.0,6.0,19.0,0.6989070673058699,1.2077544953447548,0.0777777777777777,0.1388561366769524,0.1288824437387232,0.1735701708461905,0.5294322558566155,3.5478122968374595,8.653286115906083,217.9467278629923,820.453125,12.982123374938965,18.990265873439693,0.8452242495000271,1265.451171875,17.42159652709961,17.10834968540261,0.8174652333012206,0.1289392262697219,0.0248278677463531,0.0948250293731689,0.0240394808351993,0.0069595049135386,0.641574501991272,0.641574501991272,0.008684231643881,0.0892982657396789,12.0,0.0148623401352587,0.0892982657396789,0.0,1.6030144962476401e-18,0.0,1.1136117263916748e-18,0.0,9.677480940440373e-19,0.0,1.32638327790222e-18,2.14652126034331e-06,4.8027330375083945e-05,False,220,14,target_drop_candidate,94,False,False,False,-1,,akita_black_bowl_1,True,94,False,-1,False,0.0,0.0,-1,54,0.1376672830050067,1.8716275677382412,0.2710728103133273,6.483633708430154,77666792.06073555,0.641574501991272,62.0,True,False
libero_spatial_with_mug,0,0,0,0,131000,0,131000,3,48,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.001967990770936,0.0087768267840147,0.0102590210735797,0.0032669871579855,0.0010859145550057,0.0007172301411628,0.0104523859918117,0.6892260313034058,0.0004622804408427,0.0012767910957336,0.000870170770213,0.0013011415721848,0.5522038340568542,1.7320507764816284,19.37137031555176,1.792079210281372,8.5293607711792,42.68708801269531,0.0065230224281549,0.0115844337269663,0.0203593987971544,0.0057119848206639,0.0101187070831656,0.0187280625104904,0.0055263089016079,0.0098674958571791,0.0180709026753902,0.0083273805212229,0.0083985617384314,0.0105729999486356,0.0113407745957374,0.0217434312216937,0.0225863792002201,0.0075565956067293,0.0076372781768441,0.0078167300671339,0.0078951530158519,0.0070707005215808,0.0072061116807162,0.0070707005215808,0.0072061116807162,first,1.0,0.0,0.6892502307891846,0.0523480623960495,0.0,0.6892502307891846,1.0,0.6899369359016418,False,0.6892260313034058,0.0004622804408427,0.0012767910957336,0.021743431687355,0.0006126028019934,0.0070707006379961,9.656749898567796e-05,134000,134001,64,16,0,False,False,0.0,0.0,0.1291257920307489,0.0525979816412673,7.866010677081205e-06,2.077448221227129e-06,0.0,0.0,0.0,0.0,109.0,7.0,109.0,0.8529291933068543,1.0384362432400729,0.0222222222222222,0.144663653821465,0.1386347029400654,0.1808295672768312,0.4311945390400163,2.971281857989728,4.776651261130464,107.7027466257846,661.958740234375,11.238354682922363,19.92249440079214,0.8774959252969062,2436.185791015625,25.275243759155277,14.263699550121478,0.6833092666431454,0.1622223854064941,0.0304879508912563,0.1247333884239196,0.0096815144643187,0.0287209991365671,0.6892502307891846,0.6892502307891846,0.0205786889048889,0.1403896912383049,12.0,0.1403896912383049,0.1065027792406169,0.0,5.022042915075464e-19,0.0,1.7158741975879914e-18,0.0,2.0724654916995842e-18,0.0,8.318219771280004e-18,2.147477712417379e-06,4.964890203351896e-05,False,220,14,target_drop_candidate,94,False,False,False,-1,,akita_black_bowl_1,True,94,False,-1,False,0.0,0.0,-1,54,0.1376672830050067,1.8716275677382412,0.2710728103133273,6.483633708430154,77666792.06073555,0.6892502307891846,46.0,True,False
libero_spatial_with_mug,0,0,0,0,131000,0,131000,4,64,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0019654557108879,0.0132437599822878,0.004416961222887,0.0031810095533728,0.0011544108856469,0.0007519300561398,0.011234107427299,0.8643248677253723,0.0007914673187769,0.0019598007202148,0.0007257384131662,0.0013829417293891,0.5735519528388977,1.785357117652893,16.573699951171875,1.4601008892059326,5.356071472167969,56.7026252746582,0.0066535589285194,0.0123952254652976,0.0228032022714614,0.0055003417655825,0.0097302515059709,0.0200373455882072,0.0057751475833356,0.0102131208404898,0.0169769749045372,0.0086923781782388,0.0087407594546675,0.0116107151843607,0.011867101304233,0.0221936730667948,0.0224791541695594,0.0073553493712097,0.0073793581686913,0.0077368716010823,0.0079995822161436,0.007355858455412,0.0074460990726947,0.007355858455412,0.0074460990726947,first,1.0,0.0,0.8656604290008545,1.6874496936798096,0.0,0.8656604290008545,0.0,0.8656604290008545,True,0.8643248677253723,0.0007914673187769,0.0019598007202148,0.0221936739981174,0.0003251133020967,0.0073558585718274,5.465946742333472e-05,135000,135000,80,16,0,False,False,0.0,0.0,0.1376672830050067,0.0521009693717482,0.0029852402844411,2.077447231685348e-06,0.0,0.0,0.0,0.0,105.0,13.0,105.0,1.0112554353888,1.297987703391535,0.0555555555555555,0.1697173821346252,0.1261187654053235,0.2121467276682815,0.909287233316042,7.938854141495191,28.650045785493056,861.2059269702623,863.4141845703125,13.283615112304688,18.76861181697056,0.8493126407115922,2098.027587890625,22.092016220092773,14.912691662430252,0.7369998271179508,0.0509695671498775,0.0122818564996123,0.0382844805717468,0.0312684439122676,0.0111083984375,0.8656604290008545,0.8656604290008545,0.0195165720921999,0.1233470523507277,12.0,0.1233470523507277,0.0700553789483423,0.0,2.894226182127232e-19,0.0,1.1727534738218945e-18,0.0,1.625563516272686e-18,0.0,4.321609910325254e-18,0.0024538431606329,0.0383425906466965,False,220,14,target_drop_candidate,94,False,False,False,-1,,akita_black_bowl_1,True,94,False,-1,False,0.0,0.0,-1,54,0.1376672830050067,1.8716275677382412,0.2710728103133273,6.483633708430154,77666792.06073555,0.8656604290008545,30.0,True,False
libero_spatial_with_mug,0,0,0,0,131000,0,131000,5,80,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0217665899544954,0.8792566061019897,0.0739050656557083,0.0281419232487678,0.0036449388135224,0.0570055395364761,0.1378387957811355,1.0,0.0,0.0,0.0015819777036085,0.0038664513267576,0.9762458205223083,3.674234628677368,47.50263214111328,2.4994513988494877,10.709224700927734,62.8147087097168,0.0274222902953624,0.0778502225875854,0.8940042853355408,0.0058439527638256,0.0105060497298836,0.0186555031687021,0.0059889792464673,0.0106283323839306,0.0202971026301383,0.0102234019432216,0.0108242873102426,0.0177744219545274,0.0209908783435821,0.0333925383165478,0.0360531471669673,0.0078029413707554,0.0079106390476226,0.0081338318996131,0.008331929333508,0.0078902784734964,0.0080072544515132,0.0078902784734964,0.0080072544515132,first,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,True,1.0,0.0,0.0,0.0333925373852252,0.0024567164946347,0.0078902784734964,0.0001071072838385,136000,136000,96,16,0,False,False,0.0,0.0,0.0553017960464639,0.0520666005024139,0.0082434057155681,0.0074620713369263,1.0,0.0,0.0,0.0,39.0,13.0,39.0,0.6651693424958122,0.8887578201829561,0.0777777777777777,0.108396702920984,0.10331054138124,0.13549587865123,0.3489790697718413,3.543845860058673,8.875643725842545,333.27084973283854,1117.2242431640625,16.464624404907227,17.649400097804556,0.7970028578067575,2988.579833984375,30.724550247192383,13.376154992273086,0.6357968928999738,0.0866231918334961,0.0205150488764047,0.0684496462345123,0.0761080011725425,0.0226578898727893,1.0,1.0,0.022244722285617,0.1520683976058257,12.0,0.0363363904420849,0.1520683976058257,0.0,4.753787065441516e-19,0.0,9.80316438761475e-19,0.0,1.5221793882726598e-18,1.2159369037455098e-05,9.264894889059464e-05,0.0055318997406265,0.072895171320939,False,220,14,target_drop_candidate,94,False,False,False,-1,,akita_black_bowl_1,True,94,False,-1,False,0.0,0.0,-1,54,0.1376672830050067,1.8716275677382412,0.2710728103133273,6.483633708430154,77666792.06073555,1.0,14.0,True,True
libero_spatial_with_mug,0,4,0,4,131388,0,131388,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0040800170972943,0.0273446943610906,0.0172295086085796,0.0082749584689736,0.0009432919323444,0.0009053694084286,0.0241140592843294,0.4562674462795257,0.0008194675901904,0.0021345913410186,0.0011518478859215,0.0047623673453927,0.8954071998596191,2.9580399990081787,42.76315689086914,2.1790425777435303,11.456439018249512,60.903099060058594,0.0083220656961202,0.0204526428133249,0.0382272638380527,0.0058095674030482,0.0102580990642309,0.0204166509211063,0.0055780988186597,0.0100057041272521,0.0185272246599197,0.0080552329309284,0.0081177568063139,0.0115133335348218,0.0120638571679592,0.0235161925666034,0.0243661776185035,0.0074147747363895,0.0075055370107293,0.0077181591186672,0.007833082228899,0.006956972181797,0.0071635129861533,0.006956972181797,0.0071635129861533,first,1.0,0.0,0.4549681842327118,-1.5854953527450562,0.0,0.4549681842327118,1.0,0.4571027755737304,False,0.4562674462795257,0.0008194675901904,0.0021345913410186,0.0235161930322647,0.0009471877710893,0.006956972181797,0.0001503280072938,131388,131389,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.294882698769199,2.724381856803254e-06,2.4378680735237523e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8431381036315861,1.0804279229771776,0.0444444444444444,0.149573734682172,0.1471712148975071,0.186967168352715,0.4491553945374888,3.838276554025042,7.544736401276128,200.2057267370637,552.2291870117188,10.097264289855955,20.70961004158381,0.8907932206884678,1307.861083984375,15.663012504577637,16.96518743533298,0.7906410631685789,0.0121041471138596,0.0029561738483607,0.008445918560028,0.0085232853889465,0.0085749020799994,0.4549681842327118,0.4549681842327118,5.403613779196025e-05,0.0006456186340893,12.0,2.934624683612725e-07,5.883756820601865e-09,2.934624683612516e-07,5.883756828774636e-09,2.530519738197512e-07,4.938777681399454e-17,2.6346862755526685e-07,3.568444197703545e-09,2.673608637928073e-07,9.187799770807225e-09,1.4196892546479858e-06,0.0006456186340893,False,220,14,target_drop_candidate,96,False,False,False,-1,,akita_black_bowl_1,True,96,False,-1,False,0.0,0.0,-1,54,0.1378779320712959,1.7248632918490587,0.3574345540677896,6.283557117936367,75690111.5621962,0.4549681842327118,96.0,True,False
libero_spatial_with_mug,0,4,0,4,131388,0,131388,1,16,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.001824251958169,0.0085571184754371,0.0069469911977648,0.0032168002799153,0.0008093169890344,0.0006914127152413,0.010362041182816,0.5183719992637634,0.0012827483005821,0.0032102465629577,0.0005008014268241,0.0011154928943142,0.7822811007499695,2.345207929611206,31.53173065185547,2.3192331790924072,11.157957077026367,48.97703552246094,0.0063516106456518,0.0115365525707602,0.0191949531435966,0.0054934062063694,0.0097352163866162,0.0169729497283697,0.0058787330053746,0.0103652337566018,0.0181277729570865,0.0085776702035218,0.0086319716647267,0.0117956278845667,0.0125259961932897,0.0225519309751689,0.0228360816836357,0.0072485491400584,0.0072842305526137,0.007645042380318,0.0076731671579182,0.0069025239208713,0.0071498691104352,0.0069025239208713,0.0071498691104352,first,1.0,0.0,0.5197021961212158,1.0369898080825806,0.0,0.5197021961212158,0.0,0.5197021961212158,True,0.5183719992637634,0.0012827483005821,0.0032102465629577,0.0225519314408302,0.0003005231556016,0.0069025238044559,0.0002062412386294,132388,132388,32,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.1580747318661417,4.0289453432104e-06,2.07709151922586e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0852137928045584,1.2550397906381472,0.0666666666666666,0.2059061397770976,0.175886278710816,0.257382674721372,0.666334443775419,4.653960040156465,9.4365098346403,143.05943655038664,820.417236328125,12.57942008972168,18.990455848864052,0.8484807234812294,1300.838623046875,17.603469848632812,16.988569378399994,0.8272188036743784,0.0198271144181489,0.0041346121579408,0.0180471576750278,0.005610623396933,0.018855046480894,0.5197021961212158,0.5197021961212158,6.72984777656271e-07,5.95956807394933e-06,12.0,0.0,3.727057753461967e-17,0.0,3.673149343864288e-17,0.0,2.0126889222943174e-18,0.0,1.9426819907602833e-18,0.0,5.3539614559294825e-18,2.116249257842611e-06,5.95956807394933e-06,False,220,14,target_drop_candidate,96,False,False,False,-1,,akita_black_bowl_1,True,96,False,-1,False,0.0,0.0,-1,54,0.1378779320712959,1.7248632918490587,0.3574345540677896,6.283557117936367,75690111.5621962,0.5197021961212158,80.0,True,False
libero_spatial_with_mug,0,4,0,4,131388,0,131388,2,32,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0020547634921967,0.0087203299626708,0.0093327891081571,0.0034042124170809,0.0010181184625253,0.001116351224482,0.0107577452436089,0.639681339263916,0.0005868785083293,0.0016453862190246,0.0011708483798429,0.002701582852751,0.6952211856842041,2.1213202476501465,19.163768768310547,3.250188112258911,17.01205825805664,53.46260452270508,0.0064889984205365,0.0118742128834128,0.0202176701277494,0.0056488113477826,0.0100754182785749,0.0189883783459663,0.005577917676419,0.0099712293595075,0.0176780261099338,0.0085999425500631,0.0087069710716605,0.0147999105975031,0.0152360834181308,0.0245606661774218,0.0261211618781089,0.0075237904675304,0.0075798681937158,0.0079074825625866,0.0080742500722408,0.0070914471289142,0.0073516815900802,0.0070914471289142,0.0073516815900802,first,1.0,0.0,0.6388384699821472,-1.4361903667449951,0.0,0.6388384699821472,3.0,0.6404838562011719,False,0.639681339263916,0.0005868785083293,0.0016453862190246,0.0245606657117605,0.0009866346372291,0.0070914472453296,0.0001504303072579,133388,133391,48,16,0,False,False,0.0,0.0,0.0085143711039248,0.0536054852244098,5.868525357196464e-06,2.0774381899180128e-06,0.0,0.0,0.0,0.0,38.0,11.0,38.0,0.7043210253386339,1.2000236898220882,0.0666666666666666,0.1399390157774983,0.1302924224813021,0.1749237697218728,0.5239152265165408,3.671672068649073,8.3904594813367,212.42183481081824,821.5407104492188,12.99380874633789,18.98451271629537,0.8450129717864245,1170.11474609375,16.4831600189209,17.44851908393701,0.8292862562378354,0.0582518130540847,0.0131510309875011,0.0466663837432861,0.0251075252890586,0.0059044184163212,0.6388384699821472,0.6388384699821472,0.0082334502476889,0.0853731429349568,12.0,0.0133780861856762,0.0853731429349568,0.0,1.784532784473694e-18,0.0,3.209378751433562e-18,0.0,1.4320303210188404e-18,0.0,9.580508054315612e-18,2.1465212605111528e-06,4.802733037382719e-05,False,220,14,target_drop_candidate,96,False,False,False,-1,,akita_black_bowl_1,True,96,False,-1,False,0.0,0.0,-1,54,0.1378779320712959,1.7248632918490587,0.3574345540677896,6.283557117936367,75690111.5621962,0.6388384699821472,64.0,True,False
libero_spatial_with_mug,0,4,0,4,131388,0,131388,3,48,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0022633303888142,0.0130103463307023,0.0073269889689981,0.0039488389156758,0.0011412625899538,0.000573007739149,0.0121109569445252,0.6826863884925842,0.000412231136579,0.0010843873023986,0.0009315747302025,0.0023968117311596,1.010074019432068,3.9370038509368896,59.88061141967773,1.9013227224349976,8.874119758605957,34.945491790771484,0.0067287045530974,0.0121760359033942,0.0216440595686435,0.0056876181624829,0.0101132243871688,0.0169573202729225,0.0054795406758785,0.0097728557884693,0.0171381682157516,0.0083114088047295,0.0084416549652814,0.0106476442888379,0.0108012938871979,0.021647841669619,0.0223137848079204,0.0074921949999406,0.0075708427466452,0.0077523387735709,0.0078856032341718,0.0070363940903916,0.0071456343866884,0.0070363940903916,0.0071456343866884,first,1.0,0.0,0.6831517219543457,1.128816843032837,0.0,0.6831517219543457,0.0,0.6831517219543457,True,0.6826863884925842,0.000412231136579,0.0010843873023986,0.0216478407382965,0.0004899632767774,0.0070363939739763,8.473252091789618e-05,134388,134388,64,16,0,False,False,0.0,0.0,0.1289101708010538,0.0530786966273952,7.866010676809586e-06,2.077448221227129e-06,0.0,0.0,0.0,0.0,164.0,11.0,164.0,0.8274080946228448,1.0167926786931278,0.0111111111111111,0.1414495163667752,0.1368450074811676,0.1768118954584691,0.3860309927750062,2.674612421797707,4.9184584245686445,97.8307684265188,658.8602905273438,11.240918159484863,19.942870274356256,0.8780133960960058,2290.6640625,24.10282516479492,14.53118958496571,0.699603121058366,0.1614775359630584,0.0284002758562564,0.1409872770309448,0.0078867617994546,0.0237883366644382,0.6831517219543457,0.6831517219543457,0.0211290562013368,0.1384965010900257,12.0,0.1384965010900257,0.1150003769462705,0.0,2.2745120482589253e-18,0.0,1.4277361237879306e-18,0.0,2.114025188635252e-18,0.0,1.3776802965834749e-17,2.147477712260531e-06,4.964890203320485e-05,False,220,14,target_drop_candidate,96,False,False,False,-1,,akita_black_bowl_1,True,96,False,-1,False,0.0,0.0,-1,54,0.1378779320712959,1.7248632918490587,0.3574345540677896,6.283557117936367,75690111.5621962,0.6831517219543457,48.0,True,False
