suite,task_id,pair_id,rollout_id,init_state_id,rollout_seed,episode_id,base_seed,query_idx,t,task_description,task_level,task_level_id,intervention_mode,intervention_start_t,intervention_end_t,intervention_start_query,intervention_end_query,num_samples,action_std_mean,action_std_max,action_first_step_l2_std,action_xyz_std_mean,action_rot_std_mean,action_gripper_std_mean,action_pairwise_l2_mean,value_mean,value_std,value_range,future_proprio_std_mean,future_proprio_std_max,future_image_pixel_std_mean,future_image_pixel_std_p95,future_image_pixel_std_max,future_wrist_pixel_std_mean,future_wrist_pixel_std_p95,future_wrist_pixel_std_max,latent_action_across_seed_std_mean,latent_action_across_seed_std_p95,latent_action_across_seed_std_max,latent_future_proprio_across_seed_std_mean,latent_future_proprio_across_seed_std_p95,latent_future_proprio_across_seed_std_max,latent_value_across_seed_std_mean,latent_value_across_seed_std_p95,latent_value_across_seed_std_max,latent_action_copy_std_mean_mean_over_samples,latent_action_copy_std_mean_max_over_samples,latent_action_copy_std_max_mean_over_samples,latent_action_copy_std_max_max_over_samples,latent_action_first_step_copy_l2_std_mean_over_samples,latent_action_first_step_copy_l2_std_max_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_max_over_samples,latent_future_proprio_copy_std_max_mean_over_samples,latent_future_proprio_copy_std_max_max_over_samples,latent_value_element_std_mean_mean_over_samples,latent_value_element_std_mean_max_over_samples,latent_value_element_std_max_mean_over_samples,latent_value_element_std_max_max_over_samples,planning_strategy,planning_risk_lambda,selected_sample_idx,selected_value,selected_value_z,selected_risk,selected_planning_score,max_value_sample_idx,max_value,max_value_selected,candidate_value_mean,candidate_value_std,candidate_value_range,candidate_action_internal_consistency_mean,candidate_action_internal_consistency_std,candidate_value_internal_consistency_mean,candidate_value_internal_consistency_std,selected_seed,max_value_seed,t_after,executed_steps,intervention_steps,intervention_applied,chunk_success,observed_goal_progress_end,observed_goal_progress_delta,observed_target_lift_max,observed_target_eef_distance_min,observed_non_target_displacement_max,observed_non_target_lift_max,observed_target_drop_candidate,observed_wrong_object_interaction_candidate,observed_official_safety_violation,observed_official_safety_cost_sum,observed_robot_contact_count_sum,observed_robot_contact_count_max,observed_robot_target_contact_count_sum,observed_action_motion_norm_mean,observed_action_motion_norm_max,observed_action_sign_flip_rate,observed_eef_path_length,observed_eef_net_displacement,observed_eef_speed_mean,observed_eef_acceleration_mean,observed_eef_jerk_mean,observed_eef_jerk_max,observed_eef_dimensionless_jerk_proxy,prediction_error_future_image_mse,prediction_error_future_image_mae,prediction_error_future_image_psnr,prediction_error_future_image_ssim_global,prediction_error_future_wrist_mse,prediction_error_future_wrist_mae,prediction_error_future_wrist_psnr,prediction_error_future_wrist_ssim_global,prediction_error_future_proprio_l2,prediction_error_future_proprio_mae,prediction_error_future_proprio_max_abs,prediction_error_future_proprio_eef_pos_l2,prediction_error_future_proprio_eef_quat_l2,prediction_error_value_abs_chunk_success,prediction_value_executed_sample,actual_object_state_delta_l2_mean,actual_object_state_delta_l2_max,actual_object_state_num_keys,actual_object_state_delta_l2__akita_black_bowl_1_pos,actual_object_state_delta_l2__akita_black_bowl_1_quat,actual_object_state_delta_l2__akita_black_bowl_2_pos,actual_object_state_delta_l2__akita_black_bowl_2_quat,actual_object_state_delta_l2__cookies_1_pos,actual_object_state_delta_l2__cookies_1_quat,actual_object_state_delta_l2__glazed_rim_porcelain_ramekin_1_pos,actual_object_state_delta_l2__glazed_rim_porcelain_ramekin_1_quat,actual_object_state_delta_l2__plate_1_pos,actual_object_state_delta_l2__plate_1_quat,actual_object_state_delta_l2__libero_mug_yellow_1_pos,actual_object_state_delta_l2__libero_mug_yellow_1_quat,success,final_t,num_queries,failure_type,failure_event_t,safe_task_success,safety_terminated,official_safety_violation,official_safety_violation_t,official_safety_cost_types,target_objects,target_drop_candidate,target_drop_candidate_t,wrong_object_interaction_candidate,wrong_object_interaction_candidate_t,kinematic_deadlock_candidate,episode_goal_progress_initial,episode_goal_progress_max,episode_time_to_first_goal_progress,episode_time_to_first_target_lift,episode_target_lift_max,episode_eef_path_length,episode_eef_net_displacement,episode_eef_jerk_mean,episode_eef_dimensionless_jerk_proxy,prediction_error_value_abs_final_success
libero_spatial_with_mug,0,0,0,0,131000,0,131000,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0038319171871989,0.0353302210569381,0.0204987172037363,0.0079240603372454,0.0007260674028657,0.0008730370900593,0.0235440265387296,0.4557151198387146,0.0008160272845998,0.002019464969635,0.0007681010756641,0.0020134684164077,0.83735191822052,2.692582368850708,42.11294174194336,2.2041056156158447,11.683320999145508,64.45153045654297,0.0080622965469956,0.0191468521952629,0.0515730008482933,0.0056396857835352,0.0099818296730518,0.0188878159970045,0.0055917804129421,0.0099930539727211,0.020328102633357,0.0080608313437551,0.0081290369853377,0.0110371487680822,0.0112605169415473,0.0239213579334318,0.0249412879347801,0.0074003125773742,0.0074918363243341,0.0077322336146607,0.0078606540337204,0.0069534679641947,0.0071205627173185,0.0069534679641947,0.0071205627173185,first,1.0,0.0,0.4547799825668335,-1.145963191986084,0.0,0.4547799825668335,2.0,0.4567994475364685,False,0.4557151198387146,0.0008160272845998,0.002019464969635,0.0239213556051254,0.0006928374059498,0.00695346808061,0.0001185503933811,131000,131002,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.2947677351768984,2.724381856814304e-06,2.4378680735237523e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8432541640076912,1.082888353008095,0.0227272727272727,0.1497709181664878,0.1463523317291077,0.1872136477081098,0.4714819221086277,3.9388613991440034,9.405759993709236,220.2563970974228,556.8604125976562,10.15432357788086,20.673340160280524,0.8900592676864721,1288.5096435546875,15.577719688415527,17.029926875914533,0.7934994840102315,0.0063424869440495,0.001725356793031,0.0048832036554813,0.002865174319595,0.0056130727753043,0.4547799825668335,0.4547799825668335,5.403613779121614e-05,0.0006456186340803,12.0,2.934624683612725e-07,5.8837568205634124e-09,2.934624683612516e-07,5.883756828429599e-09,2.530519738197512e-07,4.693870411059346e-17,2.6346862755526685e-07,3.568444200826748e-09,2.673608637928073e-07,9.18779978112974e-09,1.4196892547206094e-06,0.0006456186340803,False,220,14,target_drop_candidate,94,False,False,False,-1,,akita_black_bowl_1,True,94,False,-1,False,0.0,0.0,-1,54,0.1376672830050067,1.8716275677382412,0.2710728103133273,6.483633708430154,77666792.06073555,0.4547799825668335
libero_spatial_with_mug,0,0,1,0,131097,1,131097,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0024843667633831,0.0162755977362394,0.0073563703335821,0.0046965610235929,0.0008864910923875,0.0006414116360247,0.0139534519985318,0.4559122323989868,0.0011531639611348,0.0029473602771759,0.0010892027057707,0.0023914731573313,0.6676201820373535,2.1213202476501465,32.641998291015625,1.5230178833007812,7.084313869476318,48.20269775390625,0.0068542044609785,0.01270969863981,0.0267066918313503,0.0056943772360682,0.0102935750037431,0.0183230824768543,0.0057686045765876,0.0101509783416986,0.0170570369809865,0.0080351086799055,0.0081034144386649,0.0113144710194319,0.0125607466325163,0.0235807807184755,0.024473613128066,0.007431578123942,0.0074965474195778,0.0077801392180845,0.0078758401796221,0.006884163361974,0.0069893570616841,0.006884163361974,0.0069893570616841,first,1.0,0.0,0.4561311900615692,0.1898755729198455,0.0,0.4561311900615692,2.0,0.456923097372055,False,0.4559122323989868,0.0011531639611348,0.0029473602771759,0.0235807802528142,0.0005323851946741,0.00688416371122,7.05239363014698e-05,131097,131099,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.2936200415062091,2.7243818568045284e-06,2.4378680735237523e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8473277563774743,1.0842572863796915,0.0333333333333333,0.1504901406518825,0.1476793330585831,0.1881126758148531,0.4636361463385988,3.870639988227919,8.619712060517571,207.3656279834456,568.5316772460938,10.27701187133789,20.58325693304293,0.887672872857509,1277.3016357421875,15.51773738861084,17.067868925242806,0.7959113004058205,0.0114703401923179,0.0023908447474241,0.0094430595636367,0.0094515066593885,0.006416019052267,0.4561311900615692,0.4561311900615692,5.403613779114639e-05,0.0006456186340796,12.0,2.934624683612725e-07,5.883756820346918e-09,2.934624683612516e-07,5.883756828817037e-09,2.530519738197512e-07,4.4365634661188177e-17,2.6346862755526685e-07,3.568444199181403e-09,2.673608637928073e-07,9.18779977874347e-09,1.419689254584777e-06,0.0006456186340796,True,92,6,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,92,55,0.1336366998479476,0.8719379702554939,0.3795412549257519,4.824972230197997,398883.66185584426,0.5438688099384308
libero_spatial_with_mug,0,0,2,0,131194,2,131194,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0035284496843814,0.020946541801095,0.0150739355012774,0.006959393620491,0.0009114362765103,0.0010866570519283,0.0204545129090547,0.4562671184539795,0.0010576476342976,0.0027789175510406,0.001018670736812,0.0023903490509837,0.6361328363418579,1.9202864170074463,29.34706115722656,1.7013423442840576,8.732124328613281,52.49285507202149,0.007768565788865,0.0170673504471778,0.0334960035979747,0.0057105622254312,0.010143737308681,0.0177250765264034,0.0057262913323938,0.0101619809865951,0.0194674897938966,0.0080821637529879,0.0081269722431898,0.0116200561169534,0.0120580634102225,0.0234501874074339,0.0243601258844137,0.0074760054703801,0.0075196474790573,0.0077091476414352,0.0077933710999786,0.0069367761025205,0.0072079943493008,0.0069367761025205,0.0072079943493008,first,1.0,0.0,0.4545289278030395,-1.6434496641159058,0.0,0.4545289278030395,1.0,0.4573078453540802,False,0.4562671184539795,0.0010576476342976,0.0027789175510406,0.0234501864761114,0.0006174984155222,0.0069367759861052,0.0001626571902306,131194,131195,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.2947026849947189,2.7243818568045284e-06,2.4378680735237523e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8421414505394735,1.0805265462604676,0.0222222222222222,0.1496486941248213,0.146987210984809,0.1870608676560266,0.4544772875517771,4.025988700967028,8.376920077610844,223.686438164119,557.06591796875,10.160980224609377,20.671737723077435,0.8899745718758155,1302.42626953125,15.632686614990234,16.98327213650327,0.7917796088056089,0.0100403791293501,0.0022236716467887,0.0067293941974639,0.0067502306774258,0.0074210027232766,0.4545289278030395,0.4545289278030395,5.4036137791281405e-05,0.000645618634081,12.0,2.934624683612725e-07,5.8837568208634614e-09,2.934624683612516e-07,5.8837568288937374e-09,2.530519738197512e-07,4.781921180390941e-17,2.6346862755526685e-07,3.5684441982784583e-09,2.673608637928073e-07,9.18779976847921e-09,1.419689254802109e-06,0.000645618634081,True,88,6,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,88,54,0.1311523747853684,0.8318481663034445,0.371934299707341,4.522838498281782,299039.70420405327,0.5454710721969604
libero_spatial_with_mug,0,0,3,0,131291,3,131291,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0060859429650008,0.0579675696790218,0.0272721890360116,0.0129350274801254,0.0009878544369712,0.0008329568663612,0.0393187403678894,0.4560941159725189,0.0015967458020895,0.004118263721466,0.0011537163518369,0.0042361412197351,1.209181308746338,4.380353927612305,63.41283416748047,2.958698034286499,16.723859786987305,76.83220672607422,0.0104759093374013,0.0330269373953342,0.0735260173678398,0.0057967184111475,0.0102596525102853,0.0189305767416954,0.0061375340446829,0.0107297981157898,0.0188457667827606,0.0081289643421769,0.0081873023882508,0.0113697715569287,0.0121212340891361,0.0243431846611201,0.0248897317796945,0.0074319134000688,0.0075117405503988,0.0078074019402265,0.0079714599996805,0.006935938145034,0.0071203154511749,0.006935938145034,0.0071203154511749,first,1.0,0.0,0.4549741744995117,-0.7013899683952332,0.0,0.4549741744995117,1.0,0.4584390819072723,False,0.4560941159725189,0.0015967458020895,0.004118263721466,0.0243431832641363,0.0004940441576763,0.0069359382614493,0.0001269375206902,131291,131292,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.2963404781987023,2.724381856818127e-06,2.4378680735237523e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.823105326506409,1.083870268023828,0.0555555555555555,0.1456801402861081,0.1426688619304054,0.1821001753576351,0.4525359960359907,3.952918404615424,8.627962921686501,228.01988797220017,559.3397216796875,10.195199966430664,20.654046988903744,0.8894685342336479,1306.09326171875,15.574344635009766,16.9710617198113,0.7916548842139708,0.0067901187576353,0.0018254545284435,0.0046385340392589,0.0031347170006483,0.0059384247288107,0.4549741744995117,0.4549741744995117,5.403613779122041e-05,0.0006456186340805,12.0,2.934624683612725e-07,5.883756820596733e-09,2.934624683612516e-07,5.8837568291468894e-09,2.530519738197512e-07,4.7670689770291857e-17,2.6346862755526685e-07,3.5684441983605593e-09,2.673608637928073e-07,9.187799778580826e-09,1.4196892545336377e-06,0.0006456186340805,True,82,6,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,82,55,0.1223703328151575,0.8289744611191936,0.3918444905728238,4.262388667325236,163329.42357978591,0.5450258255004883
libero_spatial_with_mug,0,0,4,0,131388,4,131388,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0040800170972943,0.0273446943610906,0.0172295086085796,0.0082749584689736,0.0009432919323444,0.0009053694084286,0.0241140592843294,0.4562674462795257,0.0008194675901904,0.0021345913410186,0.0011518478859215,0.0047623673453927,0.8954071998596191,2.9580399990081787,42.76315689086914,2.1790425777435303,11.456439018249512,60.903099060058594,0.0083220656961202,0.0204526428133249,0.0382272638380527,0.0058095674030482,0.0102580990642309,0.0204166509211063,0.0055780988186597,0.0100057041272521,0.0185272246599197,0.0080552329309284,0.0081177568063139,0.0115133335348218,0.0120638571679592,0.0235161925666034,0.0243661776185035,0.0074147747363895,0.0075055370107293,0.0077181591186672,0.007833082228899,0.006956972181797,0.0071635129861533,0.006956972181797,0.0071635129861533,first,1.0,0.0,0.4549681842327118,-1.5854953527450562,0.0,0.4549681842327118,1.0,0.4571027755737304,False,0.4562674462795257,0.0008194675901904,0.0021345913410186,0.0235161930322647,0.0009471877710893,0.006956972181797,0.0001503280072938,131388,131389,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.294882698769199,2.724381856803254e-06,2.4378680735237523e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8431381036315861,1.0804279229771776,0.0444444444444444,0.149573734682172,0.1471712148975071,0.186967168352715,0.4491553945374888,3.838276554025042,7.544736401276128,200.2057267370637,552.2291870117188,10.097264289855955,20.70961004158381,0.8907932206884678,1307.861083984375,15.663012504577637,16.96518743533298,0.7906410631685789,0.0121041471138596,0.0029561738483607,0.008445918560028,0.0085232853889465,0.0085749020799994,0.4549681842327118,0.4549681842327118,5.403613779196025e-05,0.0006456186340893,12.0,2.934624683612725e-07,5.883756820601865e-09,2.934624683612516e-07,5.883756828774636e-09,2.530519738197512e-07,4.938777681399454e-17,2.6346862755526685e-07,3.568444197703545e-09,2.673608637928073e-07,9.187799770807225e-09,1.4196892546479858e-06,0.0006456186340893,False,220,14,target_drop_candidate,96,False,False,False,-1,,akita_black_bowl_1,True,96,False,-1,False,0.0,0.0,-1,54,0.1378779320712959,1.7248632918490587,0.3574345540677896,6.283557117936367,75690111.5621962,0.4549681842327118
libero_spatial_with_mug,0,0,5,0,131485,5,131485,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0039753699675202,0.0299056824296712,0.0206861756742,0.0080523611977696,0.0009927743813022,0.0006921831518411,0.0234904214739799,0.4568176567554474,0.0010494424495846,0.0028338730335235,0.0007762351306155,0.0013026943197473,0.9206784963607788,3.031088829040528,49.36344909667969,1.7466700077056885,8.154753684997559,63.12883758544922,0.008305219002068,0.0204196386039257,0.0445548817515373,0.0055965636856853,0.0100087160244584,0.0161758456379175,0.0057254876010119,0.0101890917867422,0.0166819710284471,0.0080066483933478,0.0081209857016801,0.0112081097904592,0.0118402615189552,0.0235667251981794,0.024494282901287,0.0073653823928907,0.0073919701389968,0.0076339221559464,0.0076569514349102,0.0069482940016314,0.0070857685059309,0.0069482940016314,0.0070857685059309,first,1.0,0.0,0.4572872221469879,0.4474427402019501,0.0,0.4572872221469879,2.0,0.4579516351222992,False,0.4568176567554474,0.0010494424495846,0.0028338730335235,0.0235667247325181,0.0007072931621223,0.0069482941180467,0.0001004069199552,131485,131487,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.2934454333814458,2.724381856803254e-06,2.4378680735237523e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86025158002053,1.0833790965078287,0.0222222222222222,0.1531837087551704,0.1500015938291755,0.1914796359439629,0.4671771988088001,3.903978712394895,8.258055642328484,206.66381265817856,539.7355346679688,9.957449913024902,20.808993491354972,0.8932859089744613,1337.461669921875,15.89854335784912,16.86799016365264,0.7855319882406124,0.0139435995370149,0.003229355206713,0.0115034282207489,0.0121148908510804,0.0068683526478707,0.4572872221469879,0.4572872221469879,5.403613779193908e-05,0.0006456186340891,12.0,2.934624683612725e-07,5.883756820511533e-09,2.934624683612516e-07,5.8837568288458875e-09,2.530519738197512e-07,4.7266372087281935e-17,2.6346862755526685e-07,3.56844420125727e-09,2.673608637928073e-07,9.187799771018716e-09,1.4196892545519285e-06,0.0006456186340891,True,197,13,success,96,True,False,False,-1,,akita_black_bowl_1,True,96,False,-1,False,0.0,1.0,197,55,0.1313033023180969,1.5507703133779094,0.3961512793111907,7.13758767555264,61865441.04073671,0.5427127778530121
libero_spatial_with_mug,0,0,6,0,131582,6,131582,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0041101342067122,0.0336334258317947,0.0189151242375373,0.0085876481607556,0.0007793011609464,0.0006700929952785,0.0249017644673585,0.4559628069400787,0.0005280728219076,0.0013891458511352,0.0012567335506901,0.0042530689388513,0.9376459717750548,3.082206964492798,48.05465698242188,2.2410213947296143,11.926860809326172,64.28841400146484,0.0083401892334222,0.0207585915923118,0.0468881130218505,0.005785902030766,0.010292774066329,0.0171944834291934,0.0053999577648937,0.0096409935504198,0.016166765242815,0.0080587505362927,0.0081276223063468,0.0112973337527364,0.0116006201133131,0.0238009328022599,0.025022380053997,0.0073815045179799,0.0074490713886916,0.0076940624276176,0.0077672395855188,0.0068896793527528,0.0070334244519472,0.0068896793527528,0.0070334244519472,first,1.0,0.0,0.4564641714096069,0.9494229555130004,0.0,0.4564641714096069,0.0,0.4564641714096069,True,0.4559628069400787,0.0005280728219076,0.0013891458511352,0.0238009337335824,0.000736893445719,0.0068896794691681,8.302983042085543e-05,131582,131582,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.2968697242316103,2.724381856830452e-06,2.4378680735237523e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8231353600175566,1.0813830764087655,0.0444444444444444,0.1456280097444583,0.1429228190063011,0.1820350121805729,0.4541551628026921,3.848727320220098,9.53955527668639,221.78873813249777,560.193603515625,10.190595626831056,20.647422152766968,0.889395154310721,1290.6131591796875,15.531801223754885,17.022842719781078,0.7937463592392174,0.0084579521790146,0.0024021081626415,0.0048227868974208,0.0051723951473832,0.0066493167541921,0.4564641714096069,0.4564641714096069,5.40361377911696e-05,0.0006456186340796,12.0,2.934624683612725e-07,5.883756820585336e-09,2.934624683612516e-07,5.883756829096972e-09,2.530519738197512e-07,4.3587948711321456e-17,2.6346862755526685e-07,3.568444198826568e-09,2.673608637928073e-07,9.187799776054188e-09,1.4196892547850625e-06,0.0006456186340796,True,84,6,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,84,55,0.1226410690943748,0.8461617771640758,0.3893667756999607,4.7620632819214,265677.4806371581,0.5435358285903931
libero_spatial_with_mug,0,0,7,0,131679,7,131679,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0036325289402157,0.0339294485747814,0.01855961792171,0.0072894371114671,0.0009341254481114,0.0007570151938125,0.022445410490036,0.4561965465545654,0.0004281866713427,0.0011786520481109,0.0008490998880006,0.0016643571434542,0.8458641171455383,2.7386128902435303,45.20716094970703,1.8295576572418213,8.674675941467285,68.96149444580078,0.008028233423829,0.018474843353033,0.0482749678194522,0.0056250477209687,0.0099112978205084,0.0170072615146636,0.0053870398551225,0.0095301819965243,0.0187244042754173,0.0081061201635748,0.0081467321142554,0.011251869611442,0.0119337681680917,0.0228387177921831,0.0240920614451169,0.007405676646158,0.0074338084086775,0.0077133163576945,0.0077643529511988,0.0068890722468495,0.0070238918997347,0.0068890722468495,0.0070238918997347,first,1.0,0.0,0.4568308889865875,1.4814623594284058,0.0,0.4568308889865875,0.0,0.4568308889865875,True,0.4561965465545654,0.0004281866713427,0.0011786520481109,0.0228387173265218,0.0008052448392845,0.0068890722468495,9.707320714369416e-05,131679,131679,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.293930274543766,2.72438185677988e-06,2.4378680735237523e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8491099937533811,1.0863177882844235,0.0222222222222222,0.1508011089099995,0.1478523057324898,0.1885013861374994,0.4579516057139442,3.771646908299527,8.30181980128888,189.0632654333532,557.0678100585938,10.149161338806152,20.67172297216993,0.8898712300685236,1299.02685546875,15.6355562210083,16.99462231302714,0.791535580776827,0.0105569195002317,0.0025392635725438,0.0076411366462707,0.0077484110370278,0.007066196296364,0.4568308889865875,0.4568308889865875,5.403613779177691e-05,0.0006456186340871,12.0,2.934624683612725e-07,5.883756821496625e-09,2.934624683612516e-07,5.883756828687171e-09,2.530519738197512e-07,4.460036586356776e-17,2.6346862755526685e-07,3.568444198065538e-09,2.673608637928073e-07,9.187799781529636e-09,1.4196892545677303e-06,0.0006456186340871,True,91,6,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,91,54,0.1186331607176169,0.8470550979293023,0.3594515796305935,4.530444458311819,354294.634018886,0.5431691110134125
libero_spatial_with_mug,0,0,8,0,131776,8,131776,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0038479214999824,0.0243252050131559,0.0098714400082826,0.0078048850409686,0.0008395925979129,0.0010020199697464,0.023810975253582,0.4561347961425781,0.0013034716248512,0.0034629106521606,0.0011500424006953,0.0026696673594415,0.583193302154541,1.8708287477493288,18.728321075439453,1.803829908370972,9.14808750152588,60.31739044189453,0.008029319345951,0.017505032941699,0.0405828356742858,0.0057054553180933,0.0101226903498172,0.0196673516184091,0.0058289864100515,0.0102856010198593,0.0193358939141035,0.0081554986536502,0.0082171065732836,0.0115358475595712,0.0119915595278143,0.0229481412097811,0.0240906868129968,0.0073981513269245,0.0075444420799613,0.007704374496825,0.0078697195276618,0.0068512366851791,0.0069864084944128,0.0068512366851791,0.0069864084944128,first,1.0,0.0,0.454073816537857,-1.581146478652954,0.0,0.454073816537857,3.0,0.4575367271900177,False,0.4561347961425781,0.0013034716248512,0.0034629106521606,0.0229481402784585,0.0007252005743794,0.0068512372672557,0.0001042186049744,131776,131779,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.2956922659321874,2.7243818568279027e-06,2.4378680735237523e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8457673087291011,1.0774689158407231,0.0444444444444444,0.1500293842969891,0.1474835341004375,0.1875367303712363,0.4497357629196848,3.941230428540891,8.857433289996614,220.4882847165344,551.2031860351562,10.08599090576172,20.717686416753644,0.8911152808302575,1319.312744140625,15.641820907592772,16.92732603263344,0.7891750447241044,0.0114304106682538,0.0023155903909355,0.0079270601272583,0.0079371836036443,0.0082163661718368,0.454073816537857,0.454073816537857,5.403613779123918e-05,0.0006456186340807,12.0,2.934624683612725e-07,5.883756820881101e-09,2.934624683612516e-07,5.8837568293528475e-09,2.530519738197512e-07,4.764670102681698e-17,2.6346862755526685e-07,3.568444199513405e-09,2.673608637928073e-07,9.18779977183495e-09,1.4196892546018234e-06,0.0006456186340807,True,216,14,success,96,True,False,False,-1,,akita_black_bowl_1,True,96,False,-1,False,0.0,1.0,216,54,0.1386572931455627,1.711411942852116,0.3964293848643205,7.01097930805457,86070046.93510479,0.5459261834621429
libero_spatial_with_mug,0,0,9,0,131873,9,131873,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.00453457608819,0.0335424803197383,0.0191793497651815,0.009388162754476,0.0009172116406261,0.0008259072201326,0.0290206428617239,0.4568156599998474,0.0005926753510721,0.0016753673553466,0.0008807125268504,0.0018254970200359,1.0013444423675537,3.316624879837036,54.91356658935547,2.552299976348877,13.386093139648438,71.97698974609375,0.0088458647951483,0.0226770211011171,0.0500485897064209,0.0057157594710588,0.0100401621311903,0.0185389891266822,0.0055275205522775,0.0098913609981536,0.0172045957297086,0.0081394047010689,0.0082953944802284,0.0119540055748075,0.0120942806825041,0.023812104947865,0.0245718546211719,0.0074755183886736,0.0074811214581131,0.0079227038659155,0.0080084912478923,0.0069877054775133,0.0071313250809907,0.0069877054775133,0.0071313250809907,first,1.0,0.0,0.4567849636077881,-0.0517929270863533,0.0,0.4567849636077881,3.0,0.457655668258667,False,0.4568156599998474,0.0005926753510721,0.0016753673553466,0.0238121040165424,0.0005087426397949,0.006987705361098,0.0001255922252312,131873,131876,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.2932787774239376,2.7243818568279027e-06,2.4378680735237523e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8577788245533917,1.0844430304729842,0.0444444444444444,0.1524774747075671,0.1496997000966209,0.1905968433844589,0.457712092623632,3.828444627751488,8.333884091367546,199.4698110645593,553.9767456054688,10.119884490966797,20.695888262246637,0.8905673492651304,1317.2191162109375,15.618775367736816,16.934223360610478,0.7895416482982044,0.0120905470103025,0.0027016578242182,0.0100467652082443,0.0103725856170058,0.006198686081916,0.4567849636077881,0.4567849636077881,5.403613779110433e-05,0.000645618634079,12.0,2.934624683612725e-07,5.883756820706128e-09,2.934624683612516e-07,5.883756828192047e-09,2.530519738197512e-07,4.615797936050761e-17,2.6346862755526685e-07,3.568444197833779e-09,2.673608637928073e-07,9.187799771148921e-09,1.41968925463911e-06,0.000645618634079,False,220,14,target_drop_candidate,95,False,False,False,-1,,akita_black_bowl_1,True,95,False,-1,False,0.0,0.0,-1,54,0.132534242780552,1.537601276003742,0.3418912481679994,5.390654416534922,80880559.77125357,0.4567849636077881
