seed_mode,metric,prevalence,auprc,auroc,tpr,fpr,threshold,positive_queries,negative_queries
coupled,overlap_gripper_mismatch,0.0592255125284738,0.1315927807955142,0.5049357422238778,0.0769230769230769,0.0048426150121065,0.25,26,413
coupled,overlap_selected_all_rmse,0.0592255125284738,0.1307050203875496,0.5029800707766809,0.0769230769230769,0.009685230024213,0.4107490536150845,26,413
coupled,previous_prediction_error_future_proprio_l2,0.0592255125284738,0.1244364837319098,0.6018811696777798,0.0769230769230769,0.0193704600484261,1.855341553688049,26,413
coupled,overlap_cosine_distance,0.0592255125284738,0.1160740149775351,0.6752654125535481,0.1153846153846153,0.036319612590799,0.4757946702942926,26,413
coupled,action_first_step_l2_std,0.0592255125284738,0.0986322145072326,0.6431365244924567,0.0384615384615384,0.0242130750605327,0.0196470841765403,26,413
coupled,overlap_selected_rmse,0.0592255125284738,0.0653454682609439,0.520953622648538,0.0384615384615384,0.0411622276029055,0.1555891706439301,26,413
coupled,overlap_set_chamfer,0.0592255125284738,0.0650342387687766,0.5207673682249954,0.0769230769230769,0.0460048426150121,0.1474104437253624,26,413
coupled,overlap_support_min,0.0592255125284738,0.0645624869583555,0.5169491525423728,0.0384615384615384,0.0411622276029055,0.1528211599591133,26,413
coupled,overlap_energy_distance,0.0592255125284738,0.0640979253383332,0.5153659899422611,0.0384615384615384,0.0460048426150121,0.2884145094669846,26,413
coupled,value_std,0.0592255125284738,0.0563926114765409,0.4830508474576271,0.0,0.0242130750605327,0.0030086985789239,26,413
coupled,overlap_mmd2_median,0.0592255125284738,0.056125134659544,0.4444030545725461,0.0,0.0508474576271186,1.3653805106751724,26,413
independent,overlap_selected_all_rmse,0.053763440860215,0.123974148611765,0.4967063210227272,0.0875,0.018465909090909,0.4667230558080321,80,1408
independent,previous_prediction_error_future_proprio_l2,0.053763440860215,0.1115265632513474,0.6203835227272727,0.0375,0.0241477272727272,1.8402637243270876,80,1408
independent,overlap_gripper_mismatch,0.053763440860215,0.1057495967741935,0.5117808948863637,0.0875,0.0092329545454545,0.375,80,1408
independent,overlap_cosine_distance,0.053763440860215,0.0819636750669542,0.6443004261363636,0.0625,0.0482954545454545,0.5114809047232314,80,1408
independent,overlap_mmd2_median,0.053763440860215,0.0646374232507686,0.5235884232954545,0.0375,0.0298295454545454,1.3762166542894412,80,1408
independent,action_first_step_l2_std,0.053763440860215,0.0542385497810884,0.5184659090909091,0.025,0.0333806818181817,0.0194152500480413,80,1408
independent,overlap_selected_rmse,0.053763440860215,0.0500582856799485,0.5008877840909091,0.0625,0.0703125,0.1400116327692378,80,1408
independent,overlap_support_min,0.053763440860215,0.0498129449404871,0.4999911221590909,0.0625,0.0674715909090909,0.1387832625701084,80,1408
independent,overlap_set_chamfer,0.053763440860215,0.0497692903146624,0.4974254261363636,0.0625,0.0724431818181817,0.1341345919097151,80,1408
independent,overlap_energy_distance,0.053763440860215,0.0490898513436887,0.4920720880681818,0.0625,0.0724431818181817,0.2633853810604882,80,1408
independent,value_std,0.053763440860215,0.0388578911083397,0.3646040482954545,0.0,0.0333806818181817,0.0029075806960463,80,1408
