method,Object,Position,Environment,Mean
maxV-H16,0.9800000000000001,0.29555555555555557,0.36,0.5451851851851851
maxV-H8,0.95,0.28444444444444444,0.35,0.5281481481481481
random-H8,0.96,0.2544444444444444,0.35,0.5214814814814814
horizon-only,0.97,0.23444444444444446,0.37,0.5248148148148148
risk-H8,0.93,0.2544444444444444,0.38,0.5214814814814814
