method,episodes,mean_queries,mean_candidate_generations,mean_requeries,mean_query_multiplier,mean_steps
maxV-H16,299,13.264214046822742,53.05685618729097,0.0,1.0,204.4180602006689
maxV-H8,299,26.26086956521739,105.04347826086956,0.0,1.9440430700193634,208.4180602006689
random-H8,299,16.903010033444815,67.61204013377926,7.481605351170568,1.2653756860229415,206.3846153846154
horizon-only,299,16.963210702341136,67.85284280936455,7.280936454849498,1.2565784506223223,208.72240802675586
risk-H8,299,16.959866220735787,67.83946488294315,7.3244147157190636,1.2595147409479497,207.87625418060202
