boundary,cohort,cell,arm,n,successes,sr,full_regrasp,refresh,final_t,candidates,suffix_drop_proxy
72,replication,x0.2_t5,baseline_h16,1,0,0.0,0,0,280.0,72.0,0
72,replication,x0.2_t5,continue_h8,1,1,1.0,0,0,241.0,88.0,0
72,replication,x0.2_t5,physical_regrasp,1,1,1.0,1,0,148.0,28.0,0
72,replication,x0.2_t5,refresh_preserve_only,1,1,1.0,1,0,148.0,28.0,0
72,transfer,x0.3_t1,baseline_h16,1,0,0.0,0,0,280.0,72.0,0
72,transfer,x0.3_t1,continue_h8,1,0,0.0,0,0,280.0,104.0,0
72,transfer,x0.3_t1,physical_regrasp,1,0,0.0,1,0,280.0,92.0,0
72,transfer,x0.3_t1,refresh_preserve_only,1,0,0.0,1,0,280.0,92.0,0
