pool_id,candidate_idx,repeats,successes,estimated_q,value,label_varies
pool_00,0,3,0,0.0,0.24954965710639954,False
pool_00,1,3,0,0.0,0.24929094314575195,False
pool_00,2,3,0,0.0,0.25028470158576965,False
pool_00,3,3,0,0.0,0.24898993968963623,False
pool_00,4,3,0,0.0,0.24891868233680725,False
pool_00,5,3,0,0.0,0.24852824211120605,False
pool_00,6,3,0,0.0,0.24831277132034302,False
pool_00,7,3,0,0.0,0.24832898378372192,False
pool_01,0,3,0,0.0,0.5063810348510742,False
pool_01,1,3,0,0.0,0.5067137479782104,False
pool_01,2,3,0,0.0,0.5064370036125183,False
pool_01,3,3,0,0.0,0.506824791431427,False
pool_01,4,3,0,0.0,0.5072348117828369,False
pool_01,5,3,0,0.0,0.5054670572280884,False
pool_01,6,3,0,0.0,0.506515383720398,False
pool_01,7,3,0,0.0,0.5063535571098328,False
pool_02,0,3,2,0.6666666666666666,0.24653080105781555,True
pool_02,1,3,3,1.0,0.2486650049686432,False
pool_02,2,3,1,0.3333333333333333,0.248350590467453,True
pool_02,3,3,1,0.3333333333333333,0.2488614022731781,True
pool_02,4,3,2,0.6666666666666666,0.24863594770431519,True
pool_02,5,3,3,1.0,0.24854639172554016,False
pool_02,6,3,0,0.0,0.24969136714935303,False
pool_02,7,3,2,0.6666666666666666,0.24981164932250977,True
pool_03,0,3,1,0.3333333333333333,0.47238075733184814,True
pool_03,1,3,3,1.0,0.47272926568984985,False
pool_03,2,3,0,0.0,0.47244682908058167,False
pool_03,3,3,3,1.0,0.47264155745506287,False
pool_03,4,3,3,1.0,0.47274088859558105,False
pool_03,5,3,1,0.3333333333333333,0.4722041189670563,True
pool_03,6,3,0,0.0,0.472027450799942,False
pool_03,7,3,3,1.0,0.47269025444984436,False
pool_04,0,3,3,1.0,0.3206561207771301,False
pool_04,1,3,3,1.0,0.31919658184051514,False
pool_04,2,3,3,1.0,0.31155142188072205,False
pool_04,3,3,3,1.0,0.31699156761169434,False
pool_04,4,3,3,1.0,0.31581753492355347,False
pool_04,5,3,3,1.0,0.3156881630420685,False
pool_04,6,3,3,1.0,0.3115510940551758,False
pool_04,7,3,3,1.0,0.3181133270263672,False
pool_05,0,3,3,1.0,0.5190122723579407,False
pool_05,1,3,3,1.0,0.5183918476104736,False
pool_05,2,3,3,1.0,0.5186291933059692,False
pool_05,3,3,3,1.0,0.5188091397285461,False
pool_05,4,3,3,1.0,0.5186532735824585,False
pool_05,5,3,3,1.0,0.5189625024795532,False
pool_05,6,3,3,1.0,0.5191525220870972,False
pool_05,7,3,3,1.0,0.5191630125045776,False
pool_06,0,3,2,0.6666666666666666,0.26254212856292725,True
pool_06,1,3,2,0.6666666666666666,0.22756946086883545,True
pool_06,2,3,2,0.6666666666666666,0.23094692826271057,True
pool_06,3,3,3,1.0,0.23531100153923035,False
pool_06,4,3,2,0.6666666666666666,0.2275424301624298,True
pool_06,5,3,1,0.3333333333333333,0.22608092427253723,True
pool_06,6,3,3,1.0,0.23085850477218628,False
pool_06,7,3,2,0.6666666666666666,0.22879454493522644,True
pool_07,0,3,3,1.0,0.5245866179466248,False
pool_07,1,3,3,1.0,0.5245503783226013,False
pool_07,2,3,3,1.0,0.5250783562660217,False
pool_07,3,3,3,1.0,0.5245535373687744,False
pool_07,4,3,3,1.0,0.5247700810432434,False
pool_07,5,3,3,1.0,0.5250129699707031,False
pool_07,6,3,3,1.0,0.5249638557434082,False
pool_07,7,3,3,1.0,0.5248305201530457,False
pool_08,0,3,0,0.0,0.2581372857093811,False
pool_08,1,3,0,0.0,0.2587069869041443,False
pool_08,2,3,0,0.0,0.25746744871139526,False
pool_08,3,3,0,0.0,0.25850290060043335,False
pool_08,4,3,0,0.0,0.2588212788105011,False
pool_08,5,3,0,0.0,0.2589086890220642,False
pool_08,6,3,0,0.0,0.2586714029312134,False
pool_08,7,3,0,0.0,0.25934529304504395,False
pool_09,0,3,0,0.0,0.3076591193675995,False
pool_09,1,3,0,0.0,0.30707889795303345,False
pool_09,2,3,0,0.0,0.30787479877471924,False
pool_09,3,3,0,0.0,0.30700087547302246,False
pool_09,4,3,0,0.0,0.3075093626976013,False
pool_09,5,3,0,0.0,0.3076057434082031,False
pool_09,6,3,0,0.0,0.30644166469573975,False
pool_09,7,3,0,0.0,0.3064534664154053,False
pool_10,0,3,0,0.0,0.26258277893066406,False
pool_10,1,3,0,0.0,0.2674483060836792,False
pool_10,2,3,0,0.0,0.2653640806674957,False
pool_10,3,3,0,0.0,0.2653987407684326,False
pool_10,4,3,1,0.3333333333333333,0.26824384927749634,True
pool_10,5,3,0,0.0,0.2636933922767639,False
pool_10,6,3,1,0.3333333333333333,0.26733967661857605,True
pool_10,7,3,1,0.3333333333333333,0.26191121339797974,True
pool_11,0,3,1,0.3333333333333333,0.3168681561946869,True
pool_11,1,3,0,0.0,0.31714266538619995,False
pool_11,2,3,2,0.6666666666666666,0.31676003336906433,True
pool_11,3,3,0,0.0,0.31652194261550903,False
pool_11,4,3,1,0.3333333333333333,0.31775718927383423,True
pool_11,5,3,2,0.6666666666666666,0.316450834274292,True
pool_11,6,3,3,1.0,0.31730127334594727,False
pool_11,7,3,1,0.3333333333333333,0.31847018003463745,True
pool_12,0,3,2,0.6666666666666666,0.33742550015449524,True
pool_12,1,3,2,0.6666666666666666,0.3369685411453247,True
pool_12,2,3,3,1.0,0.33908867835998535,False
pool_12,3,3,3,1.0,0.33747273683547974,False
pool_12,4,3,3,1.0,0.3349289000034332,False
pool_12,5,3,2,0.6666666666666666,0.3365391492843628,True
pool_12,6,3,2,0.6666666666666666,0.3385559916496277,True
pool_12,7,3,3,1.0,0.3367464542388916,False
pool_13,0,3,0,0.0,0.5052886009216309,False
pool_13,1,3,1,0.3333333333333333,0.5045135617256165,True
pool_13,2,3,1,0.3333333333333333,0.5050152540206909,True
pool_13,3,3,3,1.0,0.5046666860580444,False
pool_13,4,3,0,0.0,0.5056585073471069,False
pool_13,5,3,3,1.0,0.5049793720245361,False
pool_13,6,3,1,0.3333333333333333,0.5050325989723206,True
pool_13,7,3,0,0.0,0.5047953724861145,False
pool_14,0,3,3,1.0,0.33788591623306274,False
pool_14,1,3,3,1.0,0.3354472517967224,False
pool_14,2,3,3,1.0,0.33729130029678345,False
pool_14,3,3,3,1.0,0.33371424674987793,False
pool_14,4,3,3,1.0,0.33582013845443726,False
pool_14,5,3,3,1.0,0.33288079500198364,False
pool_14,6,3,2,0.6666666666666666,0.33577919006347656,True
pool_14,7,3,3,1.0,0.3374655246734619,False
pool_15,0,3,3,1.0,0.5099878311157227,False
pool_15,1,3,3,1.0,0.5093575119972229,False
pool_15,2,3,0,0.0,0.5082191824913025,False
pool_15,3,3,1,0.3333333333333333,0.508974552154541,True
pool_15,4,3,0,0.0,0.5088381171226501,False
pool_15,5,3,0,0.0,0.5088099241256714,False
pool_15,6,3,3,1.0,0.5091328620910645,False
pool_15,7,3,3,1.0,0.5093349814414978,False
pool_16,0,3,0,0.0,0.322286993265152,False
pool_16,1,3,0,0.0,0.3236362934112549,False
pool_16,2,3,0,0.0,0.3181445598602295,False
pool_16,3,3,1,0.3333333333333333,0.3182978630065918,True
pool_16,4,3,0,0.0,0.3235154449939728,False
pool_16,5,3,0,0.0,0.3220066428184509,False
pool_16,6,3,0,0.0,0.31902432441711426,False
pool_16,7,3,0,0.0,0.319619357585907,False
pool_17,0,3,0,0.0,0.5187938809394836,False
pool_17,1,3,0,0.0,0.5128770470619202,False
pool_17,2,3,0,0.0,0.5193068385124207,False
pool_17,3,3,0,0.0,0.5162329077720642,False
pool_17,4,3,0,0.0,0.5169278383255005,False
pool_17,5,3,0,0.0,0.5139432549476624,False
pool_17,6,3,0,0.0,0.518128514289856,False
pool_17,7,3,0,0.0,0.5217953324317932,False
pool_18,0,3,0,0.0,0.3196767568588257,False
pool_18,1,3,0,0.0,0.31596171855926514,False
pool_18,2,3,0,0.0,0.3159196972846985,False
pool_18,3,3,0,0.0,0.31784361600875854,False
pool_18,4,3,0,0.0,0.31503915786743164,False
pool_18,5,3,0,0.0,0.3170779347419739,False
pool_18,6,3,0,0.0,0.3169021010398865,False
pool_18,7,3,0,0.0,0.31461578607559204,False
pool_19,0,3,0,0.0,0.5670561194419861,False
pool_19,1,3,0,0.0,0.5670883059501648,False
pool_19,2,3,0,0.0,0.5674293637275696,False
pool_19,3,3,0,0.0,0.5668483376502991,False
pool_19,4,3,0,0.0,0.5667096376419067,False
pool_19,5,3,0,0.0,0.5672144889831543,False
pool_19,6,3,0,0.0,0.5673021674156189,False
pool_19,7,3,0,0.0,0.5662688612937927,False
pool_20,0,3,0,0.0,0.270111620426178,False
pool_20,1,3,0,0.0,0.2687540650367737,False
pool_20,2,3,0,0.0,0.2711035907268524,False
pool_20,3,3,0,0.0,0.2697579860687256,False
pool_20,4,3,0,0.0,0.26804912090301514,False
pool_20,5,3,0,0.0,0.27140018343925476,False
pool_20,6,3,0,0.0,0.2711121141910553,False
pool_20,7,3,0,0.0,0.2667246460914612,False
pool_21,0,3,0,0.0,0.3361089825630188,False
pool_21,1,3,0,0.0,0.33535537123680115,False
pool_21,2,3,0,0.0,0.33651286363601685,False
pool_21,3,3,0,0.0,0.33557572960853577,False
pool_21,4,3,0,0.0,0.33823931217193604,False
pool_21,5,3,0,0.0,0.33585411310195923,False
pool_21,6,3,0,0.0,0.3368982970714569,False
pool_21,7,3,0,0.0,0.3378152847290039,False
pool_22,0,3,0,0.0,0.23877659440040588,False
pool_22,1,3,2,0.6666666666666666,0.24820613861083984,True
pool_22,2,3,1,0.3333333333333333,0.23824894428253174,True
pool_22,3,3,1,0.3333333333333333,0.23787477612495422,True
pool_22,4,3,2,0.6666666666666666,0.24362802505493164,True
pool_22,5,3,2,0.6666666666666666,0.24490287899971008,True
pool_22,6,3,0,0.0,0.24236443638801575,False
pool_22,7,3,2,0.6666666666666666,0.2527771592140198,True
pool_23,0,3,1,0.3333333333333333,0.33873090147972107,True
pool_23,1,3,2,0.6666666666666666,0.3392706513404846,True
pool_23,2,3,1,0.3333333333333333,0.33910471200942993,True
pool_23,3,3,2,0.6666666666666666,0.33841294050216675,True
pool_23,4,3,2,0.6666666666666666,0.34071850776672363,True
pool_23,5,3,1,0.3333333333333333,0.33909502625465393,True
pool_23,6,3,1,0.3333333333333333,0.33895164728164673,True
pool_23,7,3,1,0.3333333333333333,0.33818602561950684,True
pool_24,0,3,0,0.0,0.3217746615409851,False
pool_24,1,3,0,0.0,0.31840449571609497,False
pool_24,2,3,0,0.0,0.3195790648460388,False
pool_24,3,3,0,0.0,0.3233188986778259,False
pool_24,4,3,0,0.0,0.31948673725128174,False
pool_24,5,3,0,0.0,0.32006746530532837,False
pool_24,6,3,0,0.0,0.3227927088737488,False
pool_24,7,3,0,0.0,0.3230268359184265,False
pool_25,0,3,0,0.0,0.35935860872268677,False
pool_25,1,3,0,0.0,0.36595630645751953,False
pool_25,2,3,0,0.0,0.35989105701446533,False
pool_25,3,3,0,0.0,0.3630404472351074,False
pool_25,4,3,0,0.0,0.36497819423675537,False
pool_25,5,3,0,0.0,0.3663705289363861,False
pool_25,6,3,0,0.0,0.36597585678100586,False
pool_25,7,3,0,0.0,0.36478570103645325,False
pool_26,0,3,0,0.0,0.32692283391952515,False
pool_26,1,3,1,0.3333333333333333,0.3284050226211548,True
pool_26,2,3,1,0.3333333333333333,0.33039653301239014,True
