pool_id,k,max_value_mean_success,empirical_best_mean_success,all_measured_fail
pool_00,4,0.0,0.0,True
pool_00,8,0.0,0.0,True
pool_01,4,0.0,0.0,True
pool_01,8,0.0,0.0,True
pool_02,4,0.3333333333333333,1.0,False
pool_02,8,0.6666666666666666,1.0,False
pool_03,4,1.0,1.0,False
pool_03,8,1.0,1.0,False
pool_04,4,1.0,1.0,False
pool_04,8,1.0,1.0,False
pool_05,4,1.0,1.0,False
pool_05,8,1.0,1.0,False
pool_06,4,0.6666666666666666,1.0,False
pool_06,8,0.6666666666666666,1.0,False
pool_07,4,1.0,1.0,False
pool_07,8,1.0,1.0,False
pool_08,4,0.0,0.0,True
pool_08,8,0.0,0.0,True
pool_09,4,0.0,0.0,True
pool_09,8,0.0,0.0,True
pool_10,4,0.0,0.0,True
pool_10,8,0.3333333333333333,0.3333333333333333,False
pool_11,4,0.0,0.6666666666666666,False
pool_11,8,0.3333333333333333,1.0,False
pool_12,4,1.0,1.0,False
pool_12,8,1.0,1.0,False
pool_13,4,0.0,1.0,False
pool_13,8,0.0,1.0,False
pool_14,4,1.0,1.0,False
pool_14,8,1.0,1.0,False
pool_15,4,1.0,1.0,False
pool_15,8,1.0,1.0,False
pool_16,4,0.0,0.3333333333333333,False
pool_16,8,0.0,0.3333333333333333,False
pool_17,4,0.0,0.0,True
pool_17,8,0.0,0.0,True
pool_18,4,0.0,0.0,True
pool_18,8,0.0,0.0,True
pool_19,4,0.0,0.0,True
pool_19,8,0.0,0.0,True
pool_20,4,0.0,0.0,True
pool_20,8,0.0,0.0,True
pool_21,4,0.0,0.0,True
pool_21,8,0.0,0.0,True
pool_22,4,0.6666666666666666,0.6666666666666666,False
pool_22,8,0.6666666666666666,0.6666666666666666,False
pool_23,4,0.6666666666666666,0.6666666666666666,False
pool_23,8,0.6666666666666666,0.6666666666666666,False
pool_24,4,0.0,0.0,True
pool_24,8,0.0,0.0,True
pool_25,4,0.0,0.0,True
pool_25,8,0.0,0.0,True
pool_26,4,0.3333333333333333,0.3333333333333333,False
pool_26,8,0.3333333333333333,0.3333333333333333,False
pool_27,4,0.0,0.3333333333333333,False
pool_27,8,0.0,0.3333333333333333,False
pool_28,4,1.0,1.0,False
pool_28,8,0.6666666666666666,1.0,False
pool_29,4,0.3333333333333333,0.6666666666666666,False
pool_29,8,0.3333333333333333,0.6666666666666666,False
pool_30,4,0.6666666666666666,1.0,False
pool_30,8,0.3333333333333333,1.0,False
pool_31,4,0.6666666666666666,1.0,False
pool_31,8,0.6666666666666666,1.0,False
pool_32,4,0.3333333333333333,0.6666666666666666,False
pool_32,8,0.3333333333333333,0.6666666666666666,False
pool_33,4,1.0,1.0,False
pool_33,8,1.0,1.0,False
pool_34,4,0.0,0.3333333333333333,False
pool_34,8,0.0,0.3333333333333333,False
pool_35,4,0.6666666666666666,0.6666666666666666,False
pool_35,8,0.6666666666666666,0.6666666666666666,False
