mode,branches,successes,sr,drop_proxy,wrong_object_proxy,continuation_queries,extra_queries
fresh8,108,41,0.37962962962962965,10,6,12.712962962962964,1.0
open16,108,44,0.4074074074074074,10,5,12.87037037037037,0.0
stale8,108,45,0.4166666666666667,5,3,12.842592592592593,1.0
