method,reference,pairs,task_init_clusters,delta_sr,ci95_low,ci95_high,rescues,harms,cluster_signflip_p,holm_p
fresh8,stale8,108,10,-0.037037037037037035,-0.20512820512820512,0.09724264705882324,13,17,0.71484375,1.0
fresh8,open16,108,10,-0.027777777777777776,-0.16666666666666666,0.09166666666666666,13,16,0.796875,1.0
