method,states,successes,success_rate,success_ci_low,success_ci_high,mean_queries,mean_query_multiplier,timeout_rate,drop_rate,wrong_object_rate,safety_violation_rate
maxV-H16,90,53,0.5888888888888889,0.5222222222222223,0.6555555555555556,12.844444444444445,1.0,0.4111111111111111,0.011111111111111112,0.1111111111111111,0.0
maxV-gripper-H8/H16,90,48,0.5333333333333333,0.4666666666666667,0.6,17.022222222222222,1.264272142164299,0.4666666666666667,0.1,0.17777777777777778,0.0
factor-routed-H16/adaptive,90,47,0.5222222222222223,0.45555555555555555,0.5888888888888889,16.58888888888889,1.1997339026260594,0.4777777777777778,0.1,0.17777777777777778,0.0
