query_cost,method,mean_utility
0.01,maxV-H16,0.5888888888888889
0.01,maxV-gripper-H8/H16,0.5306906119116903
0.01,factor-routed-H16/adaptive,0.5202248831959616
0.025,maxV-H16,0.5888888888888889
0.025,maxV-gripper-H8/H16,0.5267265297792257
0.025,factor-routed-H16/adaptive,0.5172288746565706
0.05,maxV-H16,0.5888888888888889
0.05,maxV-gripper-H8/H16,0.5201197262251184
0.05,factor-routed-H16/adaptive,0.5122355270909192
