state_key,method,factor,case_id,suite,task_id,init_state_id,rollout_seed,success,final_t,query_count,h16_reference_queries,query_multiplier,requery_count,trigger_rate,max_value_selected_rate,timeout,time_to_success,target_drop_candidate,wrong_object_interaction,official_safety_violation,routed_source_method
Environment|libero_object_env|task1|init40|seed8200000,factor-routed-H16/adaptive,Environment,route_transfer_environment,libero_object_env,1,40,8200000,False,280,32,18,1.7777777777777777,29,0.90625,1.0,True,,False,False,False,maxV-gripper-H8/H16
Environment|libero_object_env|task1|init41|seed8210000,factor-routed-H16/adaptive,Environment,route_transfer_environment,libero_object_env,1,41,8210000,True,268,26,17,1.5294117647058822,17,0.6538461538461539,1.0,False,268.0,False,True,False,maxV-gripper-H8/H16
Environment|libero_object_env|task1|init42|seed8220000,factor-routed-H16/adaptive,Environment,route_transfer_environment,libero_object_env,1,42,8220000,True,113,9,8,1.125,2,0.2222222222222222,1.0,False,113.0,False,False,False,maxV-gripper-H8/H16
Environment|libero_object_env|task1|init43|seed8230000,factor-routed-H16/adaptive,Environment,route_transfer_environment,libero_object_env,1,43,8230000,False,280,30,18,1.6666666666666667,24,0.8,1.0,True,,False,False,False,maxV-gripper-H8/H16
Environment|libero_object_env|task1|init44|seed8240000,factor-routed-H16/adaptive,Environment,route_transfer_environment,libero_object_env,1,44,8240000,True,117,9,8,1.125,3,0.3333333333333333,1.0,False,117.0,False,False,False,maxV-gripper-H8/H16
Environment|libero_object_env|task1|init45|seed8250000,factor-routed-H16/adaptive,Environment,route_transfer_environment,libero_object_env,1,45,8250000,True,183,17,12,1.4166666666666667,10,0.5882352941176471,1.0,False,183.0,False,False,False,maxV-gripper-H8/H16
Environment|libero_object_env|task1|init46|seed8260000,factor-routed-H16/adaptive,Environment,route_transfer_environment,libero_object_env,1,46,8260000,False,280,32,18,1.7777777777777777,29,0.90625,1.0,True,,False,False,False,maxV-gripper-H8/H16
Environment|libero_object_env|task1|init47|seed8270000,factor-routed-H16/adaptive,Environment,route_transfer_environment,libero_object_env,1,47,8270000,True,174,16,11,1.4545454545454546,9,0.5625,1.0,False,174.0,False,False,False,maxV-gripper-H8/H16
Environment|libero_object_env|task1|init48|seed8280000,factor-routed-H16/adaptive,Environment,route_transfer_environment,libero_object_env,1,48,8280000,True,119,9,8,1.125,2,0.2222222222222222,1.0,False,119.0,False,False,False,maxV-gripper-H8/H16
Environment|libero_object_env|task1|init49|seed8290000,factor-routed-H16/adaptive,Environment,route_transfer_environment,libero_object_env,1,49,8290000,True,117,9,8,1.125,2,0.2222222222222222,1.0,False,117.0,False,False,False,maxV-gripper-H8/H16
