factor,method,states,successes,success_rate,success_ci_low,success_ci_high,mean_query_multiplier
Object,maxV-H16,30,28,0.9333333333333333,0.8333333333333334,1.0,1.0
Object,maxV-gripper-H8/H16,30,29,0.9666666666666667,0.9,1.0,1.1936147186147186
Object,factor-routed-H16/adaptive,30,28,0.9333333333333333,0.8333333333333334,1.0,1.0
Position,maxV-H16,30,3,0.1,0.0,0.23333333333333334,1.0
Position,maxV-gripper-H8/H16,30,1,0.03333333333333333,0.0,0.1,1.3264957264957264
Position,factor-routed-H16/adaptive,30,1,0.03333333333333333,0.0,0.1,1.3264957264957264
Environment,maxV-H16,30,22,0.7333333333333333,0.5666666666666667,0.8666666666666667,1.0
Environment,maxV-gripper-H8/H16,30,18,0.6,0.43333333333333335,0.7666666666666667,1.2727059813824524
Environment,factor-routed-H16/adaptive,30,18,0.6,0.43333333333333335,0.7666666666666667,1.2727059813824524
