method,factor,case_id,suite,task_id,init_state_id,rollout_seed,success,final_t,query_count,h16_reference_queries,query_multiplier,requery_count,trigger_rate,max_value_selected_rate,timeout,time_to_success,target_drop_candidate,wrong_object_interaction,official_safety_violation,state_key
maxV-H16,Environment,route_transfer_environment,libero_object_env,4,49,8490000,False,280,18,18,1.0,0,0.0,1.0,True,,False,True,False,Environment|libero_object_env|task4|init49|seed8490000
maxV-H16,Object,route_transfer_object,libero_object_object,1,40,8100000,True,119,8,8,1.0,0,0.0,1.0,False,119.0,False,False,False,Object|libero_object_object|task1|init40|seed8100000
maxV-H16,Object,route_transfer_object,libero_object_object,1,41,8110000,True,124,8,8,1.0,0,0.0,1.0,False,124.0,False,False,False,Object|libero_object_object|task1|init41|seed8110000
maxV-H16,Object,route_transfer_object,libero_object_object,1,42,8120000,True,152,10,10,1.0,0,0.0,1.0,False,152.0,False,False,False,Object|libero_object_object|task1|init42|seed8120000
maxV-H16,Object,route_transfer_object,libero_object_object,1,43,8130000,False,280,18,18,1.0,0,0.0,1.0,True,,False,False,False,Object|libero_object_object|task1|init43|seed8130000
maxV-H16,Object,route_transfer_object,libero_object_object,1,44,8140000,True,125,8,8,1.0,0,0.0,1.0,False,125.0,False,False,False,Object|libero_object_object|task1|init44|seed8140000
maxV-H16,Object,route_transfer_object,libero_object_object,1,45,8150000,True,152,10,10,1.0,0,0.0,1.0,False,152.0,False,False,False,Object|libero_object_object|task1|init45|seed8150000
maxV-H16,Object,route_transfer_object,libero_object_object,1,46,8160000,True,123,8,8,1.0,0,0.0,1.0,False,123.0,False,False,False,Object|libero_object_object|task1|init46|seed8160000
maxV-H16,Object,route_transfer_object,libero_object_object,1,47,8170000,True,120,8,8,1.0,0,0.0,1.0,False,120.0,False,False,False,Object|libero_object_object|task1|init47|seed8170000
maxV-H16,Object,route_transfer_object,libero_object_object,1,48,8180000,True,127,8,8,1.0,0,0.0,1.0,False,127.0,False,False,False,Object|libero_object_object|task1|init48|seed8180000
maxV-H16,Object,route_transfer_object,libero_object_object,1,49,8190000,True,121,8,8,1.0,0,0.0,1.0,False,121.0,False,False,False,Object|libero_object_object|task1|init49|seed8190000
maxV-H16,Object,route_transfer_object,libero_object_object,2,40,8200000,True,119,8,8,1.0,0,0.0,1.0,False,119.0,False,False,False,Object|libero_object_object|task2|init40|seed8200000
maxV-H16,Object,route_transfer_object,libero_object_object,2,41,8210000,True,115,8,8,1.0,0,0.0,1.0,False,115.0,False,False,False,Object|libero_object_object|task2|init41|seed8210000
maxV-H16,Object,route_transfer_object,libero_object_object,2,42,8220000,True,114,8,8,1.0,0,0.0,1.0,False,114.0,False,False,False,Object|libero_object_object|task2|init42|seed8220000
maxV-H16,Object,route_transfer_object,libero_object_object,2,43,8230000,True,119,8,8,1.0,0,0.0,1.0,False,119.0,False,False,False,Object|libero_object_object|task2|init43|seed8230000
maxV-H16,Object,route_transfer_object,libero_object_object,2,44,8240000,True,120,8,8,1.0,0,0.0,1.0,False,120.0,False,False,False,Object|libero_object_object|task2|init44|seed8240000
