planning_strategy,planning_risk_lambda,episodes,successes,success_rate,mean_final_t,mean_queries,selected_not_max_value_rate,selected_value_mean,max_value_mean,selected_risk_mean
max_value_random_requery_43,0.0,10,10,1.0,129.6,11.0,0.0,0.5679365663473562,0.5679365663473562,0.0
max_value_disagreement_requery,1.0,10,9,0.9,154.9,12.6,0.0,0.590156078993586,0.590156078993586,-0.1714494852800645
