terminal_outcome,baseline_failure_type,method_failure_type,pairs
rescue,timeout_no_goal,success,16
rescue,target_drop_candidate,success,5
harm,success,target_drop_candidate,3
rescue,wrong_object_interaction_candidate,success,3
harm,success,timeout_no_goal,2
harm,success,wrong_object_interaction_candidate,1
rescue,kinematic_deadlock_candidate,success,1
