subset,pairs,baseline_success_rate,method_success_rate,success_delta,success_delta_ci_low,success_delta_ci_high,rescues,harms,mcnemar_pvalue,adjusted_delta,baseline_mean_queries,method_mean_queries
nominal,100,0.35,0.54,0.19,0.09,0.29,25,6,0.0008779102936387062,0.16500000000000004,15.24,15.55
strict,34,0.4117647058823529,0.5588235294117647,0.14705882352941177,0.0,0.29411764705882354,7,2,0.1796875,0.12205882352941172,14.588235294117647,15.382352941176471
