campaign,run_name,suite,task_id,init_state_id,rollout_id,rollout_seed,action_std_mean__mean,action_std_mean__count,action_std_max__mean,action_std_max__count,action_first_step_l2_std__mean,action_first_step_l2_std__count,action_xyz_std_mean__mean,action_xyz_std_mean__count,action_rot_std_mean__mean,action_rot_std_mean__count,action_gripper_std_mean__mean,action_gripper_std_mean__count,action_pairwise_l2_mean__mean,action_pairwise_l2_mean__count,value_mean__mean,value_mean__count,value_std__mean,value_std__count,value_range__mean,value_range__count,future_proprio_std_mean__mean,future_proprio_std_mean__count,future_image_pixel_std_mean__mean,future_image_pixel_std_mean__count,future_wrist_pixel_std_mean__mean,future_wrist_pixel_std_mean__count,latent_action_across_seed_std_mean__mean,latent_action_across_seed_std_mean__count,latent_future_proprio_across_seed_std_mean__mean,latent_future_proprio_across_seed_std_mean__count,latent_value_across_seed_std_mean__mean,latent_value_across_seed_std_mean__count,latent_action_copy_std_mean_mean_over_samples__mean,latent_action_copy_std_mean_mean_over_samples__count,latent_action_first_step_copy_l2_std_mean_over_samples__mean,latent_action_first_step_copy_l2_std_mean_over_samples__count,latent_future_proprio_copy_std_mean_mean_over_samples__mean,latent_future_proprio_copy_std_mean_mean_over_samples__count,latent_value_element_std_mean_mean_over_samples__mean,latent_value_element_std_mean_mean_over_samples__count,success,failed
phase1_boundary_20260724,phase1_boundary_20260724__easy_control_mug,libero_spatial_with_mug,0,0,0,131000,0.002541511203162372,4,0.016635355073958635,4,0.011028386885300279,4,0.004713578033261001,4,0.0009005437314044684,4,0.0009482128807576373,4,0.014585951343178749,4,0.5756237953901291,4,0.0007425497824442573,4,0.0019131749868392944,4,0.0007577275391668081,4,0.7501375675201416,4,2.364487588405609,4,0.006944267894141376,4,0.0055781236151233315,4,0.005566930980421603,4,0.008398799516726285,4,0.023252829327248037,4,0.007430293277138844,4,0.006945347471628338,4,False,True
phase1_boundary_20260724,phase1_boundary_20260724__easy_control_mug,libero_spatial_with_mug,0,0,1,131097,0.002772825362626463,4,0.019821362337097526,4,0.00825044303201139,4,0.004970665671862662,4,0.0009840206330409274,4,0.0015457175759365782,4,0.015875906217843294,4,0.5719754099845886,4,0.0006866239273222163,4,0.0017557516694068909,4,0.001057691260939464,4,0.8263819366693497,4,2.5762763023376465,4,0.00717800622805953,4,0.005722630186937749,4,0.00551701569929719,4,0.008540053095202893,4,0.02451254427433014,4,0.0074655179341789335,4,0.006945173779968172,4,True,False
phase1_boundary_20260724,phase1_boundary_20260724__easy_control_mug,libero_spatial_with_mug,0,0,2,131194,0.002762508229352534,4,0.013740570517256856,4,0.013606528751552105,4,0.0050356884021312,4,0.00106025995046366,4,0.0010497123876120895,4,0.015442123170942068,4,0.57630755007267,4,0.0008131564245559275,4,0.0020630136132240295,4,0.0008541143906768411,4,0.7430848330259323,4,2.4262109994888306,4,0.007087605190463364,4,0.005620980984531343,4,0.005595829337835312,4,0.00836797506781295,4,0.022884983336552978,4,0.007459796092007309,4,0.006958066893275827,4,True,False
phase1_boundary_20260724,phase1_boundary_20260724__easy_control_mug,libero_spatial_with_mug,0,0,3,131291,0.0040601613582111895,4,0.09228228777647018,4,0.012634789221920073,4,0.006367746973410249,4,0.0010982867825077847,4,0.006023028021445498,4,0.026447286130860448,4,0.5788894072175026,4,0.0009576172451488674,4,0.0025286227464675903,4,0.0008771734283072874,4,0.9210149794816971,4,2.6893725395202637,4,0.008484723628498614,4,0.005659980466589332,4,0.00571093475446105,4,0.008552183047868311,4,0.02333223505411297,4,0.007496123173041269,4,0.006951965129701421,4,True,False
phase1_boundary_20260724,phase1_boundary_20260724__easy_control_mug,libero_spatial_with_mug,0,0,4,131388,0.0025555907341185957,4,0.014408122282475233,4,0.010209069470874965,4,0.004711202520411462,4,0.0009779974934644997,4,0.0008215352718252689,4,0.014336200663819909,4,0.5742517933249474,4,0.0007753313839202747,4,0.002018652856349945,4,0.0009387681056978181,4,0.8457458764314651,4,2.4124466478824615,4,0.006972844828851521,4,0.005659850779920816,4,0.005628572544082999,4,0.008386063622310758,4,0.023069157847203314,4,0.0074198273359797895,4,0.006996834330493584,4,False,True
phase1_boundary_20260724,phase1_boundary_20260724__easy_control_mug,libero_spatial_with_mug,0,0,5,131485,0.0027307727723382413,4,0.014499370940029621,4,0.012389751733280718,4,0.005012646142859012,4,0.0010478136100573465,4,0.0009340306860394776,4,0.01516762375831604,4,0.577727235853672,4,0.0005320329801179469,4,0.0014395341277122498,4,0.0007964962860569358,4,0.8129063099622726,4,2.334264576435089,4,0.007124517345800996,4,0.005639455863274634,4,0.0054605064215138555,4,0.008385865890886635,4,0.02312663511838764,4,0.007419879490043968,4,0.0069273721892386675,4,True,False
phase1_boundary_20260724,phase1_boundary_20260724__easy_control_mug,libero_spatial_with_mug,0,0,6,131582,0.002571676071966067,4,0.016096156323328614,4,0.012541571632027626,4,0.0046479543088935316,4,0.001019466551952064,4,0.0009994707943405956,4,0.0145013309083879,4,0.578950934112072,4,0.0007668111356906593,4,0.0020369887351989746,4,0.0008548458499717526,4,0.7445498704910278,4,2.208448201417923,4,0.006998694036155939,4,0.005615241010673344,4,0.005572824855335057,4,0.008362447493709624,4,0.023540591122582555,4,0.007390691607724875,4,0.006940258375834674,4,True,False
phase1_boundary_20260724,phase1_boundary_20260724__easy_control_mug,libero_spatial_with_mug,0,0,7,131679,0.002513768820790574,4,0.015275059267878532,4,0.01122755988035351,4,0.004490648570936173,4,0.0010175092320423573,4,0.0010719082783907652,4,0.01414491981267929,4,0.5760262757539749,4,0.0006881850567879155,4,0.0017958804965019226,4,0.0006295954226516187,4,0.7669602036476135,4,2.1264038383960724,4,0.006953105796128511,4,0.0055696251802146435,4,0.005541162332519889,4,0.008453508897218853,4,0.02329123322851956,4,0.007439908105880022,4,0.006934410805115476,4,True,False
phase1_boundary_20260724,phase1_boundary_20260724__easy_control_mug,libero_spatial_with_mug,0,0,8,131776,0.002628659480251372,4,0.013067023595795035,4,0.009327002335339785,4,0.004805305623449385,4,0.0010199809621553868,4,0.0009247565903933719,4,0.014947203686460853,4,0.5746174305677414,4,0.000797237160441,4,0.0020819753408432007,4,0.0007312833331525326,4,0.7698909342288971,4,2.2440242171287537,4,0.006979670841246843,4,0.005602582939900458,4,0.005603967467322946,4,0.00838573242072016,4,0.02274272358044982,4,0.007428570999763906,4,0.0069361202185973525,4,True,False
phase1_boundary_20260724,phase1_boundary_20260724__easy_control_mug,libero_spatial_with_mug,0,0,9,131873,0.003705405513755977,4,0.021507852245122194,4,0.018647593795321882,4,0.007180132495705038,4,0.001160683241323568,4,0.0009153904829872772,4,0.02219174988567829,4,0.5841048210859299,4,0.000714293128112331,4,0.001856103539466858,4,0.00100337115873117,4,0.9262615144252777,4,2.979375123977661,4,0.008076517609879375,4,0.005667150020599365,4,0.005552942748181522,4,0.008470101049169898,4,0.02354415215086192,4,0.007491789787309244,4,0.006981563608860597,4,False,True
