job_id,alternative,baseline,pairs,delta,ci_low,ci_high,rescues,harms,p,holm_p,conditional_replication_pass
repeat_pool_13,3,4,10,0.9,0.7,1.0,9,0,0.00390625,0.01171875,True
repeat_pool_13,5,4,10,0.9,0.7,1.0,9,0,0.00390625,0.01171875,True
repeat_pool_11,6,7,10,0.2,-0.3,0.7,4,2,0.6875,0.6875,False
