metric,aggregation,n,success_mean,fail_mean,failure_auc,failure_auc_strength
candidate_value_internal_consistency_mean,mean,72,0.007246626854807086,0.00789836062123531,0.9599037690457097,0.45990376904570973
candidate_value_internal_consistency_mean,max,72,0.008105817164272763,0.011253307589554581,0.9238171611868484,0.4238171611868484
candidate_value_range,first,72,0.0024903423564378606,0.008872337382415245,0.8861267040898155,0.38612670408981553
candidate_value_std,first,72,0.0009765274080564268,0.0034200601572781032,0.8837209302325582,0.38372093023255816
candidate_value_range,max,72,0.010338259990825209,0.03153571280939826,0.867682437850842,0.367682437850842
candidate_value_range,mean,72,0.0023138866363264323,0.005037142914244676,0.867682437850842,0.367682437850842
candidate_value_std,mean,72,0.0009214504913705629,0.0019854887458704566,0.8604651162790697,0.36046511627906974
candidate_value_std,max,72,0.0042214545023324355,0.012536374033139697,0.8476343223736968,0.34763432237369685
candidate_value_internal_consistency_mean,first,72,0.007035675252852745,0.00923475761223456,0.846832397754611,0.34683239775461105
candidate_future_proprio_internal_consistency_mean,mean,72,0.007683117550669355,0.007955450585130825,0.8340016038492382,0.33400160384923816
candidate_action_internal_consistency_mean,first,72,0.02262579298816448,0.026167897957152332,0.7874899759422614,0.28748997594226144
planning_predicted_proprio_error,first,72,0.061777935713310146,0.08679485154379489,0.7618283881315157,0.26182838813151565
candidate_value_mean,max,72,0.9922795697700145,0.8570521514991234,0.25140336808340014,0.24859663191659986
candidate_action_chunk_consistency_mean,first,72,0.008172048179995875,0.00878869040451687,0.7353648757016841,0.23536487570168407
candidate_value_mean,first,72,0.44927918564441593,0.48841744044731406,0.7305533279871692,0.2305533279871692
candidate_future_proprio_internal_consistency_mean,max,72,0.008828666797557543,0.009408779056935474,0.7273456295108259,0.22734562951082593
candidate_future_proprio_across_sample_std_mean,max,72,0.009380794891026304,0.013893205238955802,0.7080994386527666,0.2080994386527666
planning_predicted_proprio_error,max,72,0.11399563776889314,0.14452503184805648,0.7056936647955092,0.2056936647955092
candidate_future_proprio_across_sample_std_mean,mean,72,0.001936122639401675,0.0026023790669060225,0.6840417000801925,0.1840417000801925
candidate_action_internal_consistency_mean,max,72,0.027898980001377506,0.030518268524058933,0.6760224538893344,0.17602245388933435
candidate_future_proprio_internal_consistency_mean,first,72,0.008460518622467684,0.008933500868493113,0.6728147554129912,0.17281475541299118
candidate_value_mean,mean,72,0.6792703996998247,0.600733565809815,0.33119486768243783,0.16880513231756217
candidate_action_chunk_consistency_mean,mean,72,0.008016539291064344,0.008171413807830923,0.6503608660785886,0.15036086607858856
candidate_future_proprio_across_sample_std_mean,first,72,0.0031425198641616505,0.004087608574552397,0.6375300721732157,0.13753007217321567
candidate_action_internal_consistency_mean,mean,72,0.02189414604632596,0.022302849616423467,0.6335204490777867,0.1335204490777867
candidate_action_consensus_chunk_mean,max,72,1.284492577014621,1.543191614335981,0.615878107457899,0.11587810745789895
candidate_action_consensus_chunk_mean,first,72,0.5452195865123771,0.2658707107064025,0.4073777064955894,0.09262229350441059
candidate_action_consensus_first_mean,mean,72,0.06245208731030864,0.0400123810421197,0.4210104250200481,0.0789895749799519
candidate_action_chunk_consistency_mean,max,72,0.009240800254913263,0.009563475718785977,0.5749799518845229,0.07497995188452289
planning_predicted_proprio_error,mean,72,0.058135773783773555,0.06353048075400194,0.5493183640737771,0.0493183640737771
candidate_action_consensus_first_mean,max,72,0.48360965275313966,0.42228233891314476,0.4747393744987971,0.025260625501202894
candidate_action_consensus_chunk_mean,mean,72,0.28340550929225283,0.3144798778084296,0.520449077786688,0.02044907778668803
candidate_action_consensus_first_mean,first,72,0.1063997553509855,0.032113283631745086,0.5164394546912591,0.01643945469125907
