proposal,metric,n,successes,failures,success_mean,fail_mean,pooled_failure_auc,same_cell_failure_auc,comparable_cells,comparable_pairs,pooled_auc_strength
perception_regrasp_h8,candidate_value_std,80,49,31,0.0014670008439475633,0.004717584329257314,0.8025016458196181,0.6461538461538462,4,65,0.30250164581961814
perception_regrasp_h8,candidate_value_range,80,49,31,0.003750351618747322,0.012262837540718817,0.8025016458196181,0.6461538461538462,4,65,0.30250164581961814
perception_regrasp_h8,candidate_value_internal_consistency_mean,80,49,31,0.007701368783885727,0.008499477479246354,0.7774851876234364,0.6461538461538462,4,65,0.27748518762343644
perception_regrasp_h8,candidate_value_mean,80,49,31,0.37267124105472954,0.41750228116589205,0.7630019749835418,0.6307692307692307,4,65,0.26300197498354183
perception_regrasp_h8,candidate_future_proprio_internal_consistency_mean,80,49,31,0.008448512616510294,0.008745402593405978,0.663594470046083,0.3384615384615385,4,65,0.16359447004608296
perception_regrasp_h8,planning_predicted_proprio_error,80,49,31,0.06521683445495713,0.07154108859846146,0.5898617511520737,0.4,4,65,0.08986175115207373
perception_regrasp_h8,candidate_future_proprio_across_sample_std_mean,80,49,31,0.005739865850714244,0.005527381045413354,0.4226464779460171,0.3384615384615385,4,65,0.07735352205398288
perception_regrasp_h8,candidate_action_chunk_consistency_mean,80,49,31,0.008738995700770495,0.00863945703472822,0.4371296905859118,0.49230769230769234,4,65,0.06287030941408822
perception_regrasp_h8,candidate_action_consensus_first_mean,80,49,31,0.02281676498906953,0.055301612618589596,0.5589203423304806,0.4307692307692308,4,65,0.0589203423304806
perception_regrasp_h8,candidate_action_internal_consistency_mean,80,49,31,0.02304791894798376,0.023092707498900352,0.5253456221198156,0.7076923076923077,4,65,0.025345622119815614
perception_regrasp_h8,candidate_action_consensus_chunk_mean,80,49,31,0.5251515694722837,0.3767616008558581,0.4930875576036866,0.5692307692307692,4,65,0.00691244239631339
