position_level,task_id,states,learned_successes,learned_sr,privileged_successes,privileged_sr,delta
x0.2,5,10,8,0.8,8,0.8,0.0
x0.2,6,10,9,0.9,10,1.0,-0.09999999999999998
x0.2,9,10,0,0.0,9,0.9,-0.9
y0.2,4,10,0,0.0,1,0.1,-0.1
y0.2,6,10,10,1.0,10,1.0,0.0
y0.2,9,10,8,0.8,10,1.0,-0.19999999999999996
y0.3,1,10,10,1.0,10,1.0,0.0
y0.3,5,10,4,0.4,4,0.4,0.0
