head,epoch,train_loss,oob_loss
0,1,0.482148963958025,0.4461410939693451
0,2,0.4013659693300724,0.4173625707626343
0,3,0.32261865213513374,0.3813878893852234
0,4,0.2151228841394186,0.3545979857444763
0,5,0.11039574258029461,0.3132646679878235
0,6,0.03307205031160265,0.33033061027526855
0,7,-0.029791908335027983,0.3261927366256714
0,8,-0.09302486944943666,0.36123400926589966
0,9,-0.14729233272373676,0.371981143951416
0,10,-0.17727556638419628,0.4219551682472229
0,11,-0.21253127977252007,0.4279535412788391
0,12,-0.2530370969325304,0.4991609454154968
0,13,-0.28623879700899124,0.5459671020507812
0,14,-0.321415189653635,0.5773850083351135
0,15,-0.3519328646361828,0.6413892507553101
0,16,-0.3806385509669781,0.7495412826538086
0,17,-0.4037095494568348,0.8301565051078796
0,18,-0.41858284175395966,0.8126326203346252
0,19,-0.43539098650217056,0.9483059644699097
0,20,-0.47327322140336037,1.1022688150405884
1,1,0.4770927093923092,0.4411144554615021
1,2,0.39591027423739433,0.4088950455188751
1,3,0.31117910146713257,0.3745536506175995
1,4,0.20178519189357758,0.3464062809944153
1,5,0.09341626288369298,0.34514325857162476
1,6,0.023848846147302538,0.3570854067802429
1,7,-0.04609361744951457,0.3874427378177643
1,8,-0.11103842500597239,0.4177319407463074
1,9,-0.1570382621139288,0.46139565110206604
1,10,-0.21166417002677917,0.49716851115226746
1,11,-0.25221231766045094,0.5443288683891296
1,12,-0.2776862792670727,0.6075612306594849
1,13,-0.3254769518971443,0.7156785726547241
1,14,-0.348307017236948,0.751106321811676
1,15,-0.3865780010819435,0.8342046737670898
1,16,-0.41186557710170746,0.8780390620231628
1,17,-0.4093664586544037,0.9873452186584473
1,18,-0.4580458551645279,1.1020976305007935
1,19,-0.4881773889064789,1.2149219512939453
1,20,-0.4962747283279896,1.115043044090271
2,1,0.47519853711128235,0.44962841272354126
2,2,0.39780767634510994,0.4183881878852844
2,3,0.30886175483465195,0.3786000609397888
2,4,0.19521804340183735,0.34511417150497437
2,5,0.09221525769680738,0.3391442894935608
2,6,0.010388542839791626,0.3534501791000366
2,7,-0.05814719735644758,0.39917880296707153
2,8,-0.11808054521679878,0.412386953830719
2,9,-0.16326231136918068,0.4553806483745575
2,10,-0.21040855534374714,0.5288257598876953
2,11,-0.25789141841232777,0.596308171749115
2,12,-0.3060671500861645,0.7014210224151611
2,13,-0.34246979281306267,0.7876806259155273
2,14,-0.36187009140849113,0.7868873476982117
2,15,-0.4025638625025749,0.9553399085998535
2,16,-0.4417977072298527,1.0272364616394043
2,17,-0.47229479998350143,1.1514474153518677
2,18,-0.473531074821949,1.132534146308899
2,19,-0.50755350664258,1.295427680015564
2,20,-0.5263000056147575,1.3926074504852295
3,1,0.48008641600608826,0.4593166410923004
3,2,0.40011340007185936,0.4321170747280121
3,3,0.31453490629792213,0.39882999658584595
3,4,0.20422102510929108,0.40934979915618896
3,5,0.10560547793284059,0.49672213196754456
3,6,0.04023661813698709,0.487703412771225
3,7,-0.02355335437459871,0.7406560778617859
3,8,-0.08508177474141121,0.8905794620513916
3,9,-0.12597411684691906,0.9680772423744202
3,10,-0.1739935614168644,1.1675244569778442
3,11,-0.2315390631556511,1.2667016983032227
3,12,-0.258233405649662,1.2736916542053223
3,13,-0.3033032454550266,1.5954155921936035
3,14,-0.33739611506462097,2.0045065879821777
3,15,-0.35603394731879234,1.8897956609725952
3,16,-0.4074886180460453,2.36958646774292
3,17,-0.41872767359018326,2.422079563140869
3,18,-0.4410784989595413,2.630223035812378
4,1,0.469588790088892,0.46261775493621826
4,2,0.3929215595126152,0.4289966821670532
4,3,0.3105997331440449,0.384316086769104
4,4,0.20196211710572243,0.3453555107116699
4,5,0.10701092891395092,0.3358704745769501
4,6,0.03607317560818046,0.31694626808166504
4,7,-0.02017087460262701,0.33129802346229553
4,8,-0.08492284500971437,0.34781721234321594
4,9,-0.13653609436005354,0.3649577796459198
4,10,-0.18494956381618977,0.3951020836830139
4,11,-0.22754239290952682,0.41937264800071716
4,12,-0.2598060891032219,0.4541182219982147
4,13,-0.2998950481414795,0.5360058546066284
4,14,-0.3352752886712551,0.6292409896850586
4,15,-0.3500501587986946,0.5753130912780762
4,16,-0.3815390095114708,0.6986622214317322
4,17,-0.3975287266075611,0.7449784278869629
4,18,-0.43558451160788536,0.9125381112098694
4,19,-0.4628840982913971,0.9351334571838379
4,20,-0.4903498403728008,1.0414245128631592
4,21,-0.5138452500104904,1.0707361698150635
