head,seed,bootstrap_rows,bootstrap_unique_groups,oob_rows,best_epoch,best_oob_loss,stopped_epoch
0,20260907,1868,98,648,5,0.3132646679878235,20
1,20261916,1868,89,752,5,0.34514325857162476,20
2,20262925,1888,95,668,5,0.3391442894935608,20
3,20263934,1884,97,660,3,0.39882999658584595,18
4,20264943,1892,95,664,6,0.31694626808166504,21
