case_id,factor,suite,task_id,init_state_id,rollout_seed,max_value_video,max_value_success,max_value_final_t,max_value_video_num_frames,max_value_video_expected_frames,frozen_factor_ridge_video,frozen_factor_ridge_success,frozen_factor_ridge_final_t,frozen_factor_ridge_video_num_frames,frozen_factor_ridge_video_expected_frames,primary_case_id,primary_discordance,max_value_primary_success,max_value_primary_final_t,max_value_outcome_reproduced,max_value_query0_selected_index_reproduced,max_value_query0_value_max_abs_diff,max_value_query0_score_max_abs_diff,max_value_query0_first_action_max_abs_diff,frozen_factor_ridge_primary_success,frozen_factor_ridge_primary_final_t,frozen_factor_ridge_outcome_reproduced,frozen_factor_ridge_query0_selected_index_reproduced,frozen_factor_ridge_query0_value_max_abs_diff,frozen_factor_ridge_query0_score_max_abs_diff,frozen_factor_ridge_query0_first_action_max_abs_diff,paired_outcome_reproduced
frozen_video__frozen_closed_loop__Environment__frozen_gain_00,Environment,libero_object_env,8,7,5270485,videos/Environment__task8__init7__seed5270485__max_value__successFalse.mp4,False,280,280,280,videos/Environment__task8__init7__seed5270485__frozen_factor_ridge__successTrue.mp4,True,219,219,219,frozen_closed_loop__Environment,frozen_gain,False,280,True,True,0.0,0.0,0.0,True,215,True,True,0.0003535151481628418,0.0010009656729309177,0.001898445188999176,True
frozen_video__frozen_closed_loop__Environment__frozen_loss_00,Environment,libero_object_env,8,7,5270388,videos/Environment__task8__init7__seed5270388__max_value__successTrue.mp4,True,179,179,179,videos/Environment__task8__init7__seed5270388__frozen_factor_ridge__successFalse.mp4,False,280,280,280,frozen_closed_loop__Environment,frozen_loss,True,178,True,True,0.00035837292671203613,0.0004931337880966571,0.0022289156913757324,False,280,True,True,0.0,0.0,0.0,True
frozen_video__frozen_closed_loop__Environment__frozen_loss_01,Environment,libero_object_env,9,7,5320097,videos/Environment__task9__init7__seed5320097__max_value__successTrue.mp4,True,112,112,112,videos/Environment__task9__init7__seed5320097__frozen_factor_ridge__successTrue.mp4,True,110,110,110,frozen_closed_loop__Environment,frozen_loss,True,112,True,True,9.801983833312988e-05,0.0005452633876864114,0.0013250112533569336,False,280,False,True,9.801983833312988e-05,0.0005452633876864114,0.0013250112533569336,False
frozen_video__frozen_closed_loop__Environment__frozen_loss_02,Environment,libero_object_env,9,9,5340097,videos/Environment__task9__init9__seed5340097__max_value__successTrue.mp4,True,111,111,111,videos/Environment__task9__init9__seed5340097__frozen_factor_ridge__successTrue.mp4,True,112,112,112,frozen_closed_loop__Environment,frozen_loss,True,111,True,True,0.0008165538311004639,0.0010624562496791734,0.003181658685207367,False,280,False,True,0.0008030235767364502,0.0009607790590039026,0.003702901303768158,False
frozen_video__frozen_closed_loop__Environment__frozen_loss_03,Environment,libero_object_env,9,9,5340582,videos/Environment__task9__init9__seed5340582__max_value__successTrue.mp4,True,111,111,111,videos/Environment__task9__init9__seed5340582__frozen_factor_ridge__successFalse.mp4,False,280,280,280,frozen_closed_loop__Environment,frozen_loss,True,111,True,True,0.0,0.0,0.0,False,280,True,True,0.0005921721458435059,0.0007987537434373149,0.0032501667737960815,True
frozen_video__frozen_closed_loop__Environment__frozen_loss_04,Environment,libero_object_env,9,9,5340679,videos/Environment__task9__init9__seed5340679__max_value__successTrue.mp4,True,111,111,111,videos/Environment__task9__init9__seed5340679__frozen_factor_ridge__successTrue.mp4,True,111,111,111,frozen_closed_loop__Environment,frozen_loss,True,111,True,True,0.00048735737800598145,0.0011327381268417082,0.003573372960090637,False,280,False,False,0.00048735737800598145,0.0011327381268417082,0.003573372960090637,False
frozen_video__frozen_closed_loop__Position_y0p3__frozen_gain_01,Position,libero_object_temp,8,7,5420291,videos/Position__task8__init7__seed5420291__max_value__successFalse.mp4,False,280,280,280,videos/Position__task8__init7__seed5420291__frozen_factor_ridge__successFalse.mp4,False,280,280,280,frozen_closed_loop__Position_y0p3,frozen_gain,False,280,True,True,0.0,0.0,0.0,True,257,False,True,0.0020054876804351807,0.0017010665970459084,0.0020236149430274963,False
frozen_video__frozen_closed_loop__Position_y0p3__frozen_gain_02,Position,libero_object_temp,9,5,5450097,videos/Position__task9__init5__seed5450097__max_value__successFalse.mp4,False,280,280,280,videos/Position__task9__init5__seed5450097__frozen_factor_ridge__successTrue.mp4,True,222,222,222,frozen_closed_loop__Position_y0p3,frozen_gain,False,280,True,True,0.00015476346015930176,0.004262932422112512,0.0014520809054374695,True,238,True,False,0.00018984079360961914,0.0029485844478290154,0.002632811665534973,True
frozen_video__frozen_closed_loop__Position_y0p3__frozen_gain_03,Position,libero_object_temp,9,7,5470388,videos/Position__task9__init7__seed5470388__max_value__successFalse.mp4,False,280,280,280,videos/Position__task9__init7__seed5470388__frozen_factor_ridge__successTrue.mp4,True,227,227,227,frozen_closed_loop__Position_y0p3,frozen_gain,False,280,True,True,0.0,0.0,0.0,True,227,True,True,0.0,0.0,0.0,True
