case_id,suite,task_id,init_state_id,rollout_seed,success_reference,success_replay,reference_id,replay_id,outcome_disagreement,q0_candidate_value_max_abs_diff
long_milk_task9_init0_adaptive_confirm,libero_10_with_milk,9,0,752134,True,True,max_value,max_value_replay,False,0.0
long_milk_task9_init0_adaptive_confirm,libero_10_with_milk,9,0,752231,True,True,max_value,max_value_replay,False,0.0
long_milk_task9_init0_adaptive_confirm,libero_10_with_milk,9,0,752328,False,False,max_value,max_value_replay,False,0.0
long_milk_task9_init0_adaptive_confirm,libero_10_with_milk,9,0,752425,False,False,max_value,max_value_replay,False,0.0
long_milk_task9_init0_adaptive_confirm,libero_10_with_milk,9,0,752522,True,True,max_value,max_value_replay,False,0.0
long_milk_task9_init0_adaptive_confirm,libero_10_with_milk,9,0,752619,True,True,max_value,max_value_replay,False,0.0
long_milk_task9_init0_adaptive_confirm,libero_10_with_milk,9,0,752716,True,True,max_value,max_value_replay,False,0.0
long_milk_task9_init0_adaptive_confirm,libero_10_with_milk,9,0,752813,False,False,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,740000,True,True,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,740097,True,True,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,740194,True,True,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,740291,True,True,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,740388,True,True,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,740485,True,True,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,740582,False,False,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,740679,True,True,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,740776,True,True,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,740873,True,True,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,740970,True,True,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,741067,True,True,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,741164,False,False,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,741261,True,True,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,741358,True,True,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,741455,False,False,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,741552,False,False,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,741649,True,True,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,741746,True,True,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,741843,True,True,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,741940,False,False,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,742037,True,True,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,742134,True,True,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,742231,True,True,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,742328,True,True,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,742425,True,True,max_value,max_value_replay,False,0.0
spatial_mug_task0_init0_adaptive_confirm,libero_spatial_with_mug,0,0,742522,True,True,max_value,max_value_replay,False,0.0
